amenities,bathroom,bedroom,furnishing,location,parking,price,property_name,property_type,sale_rent,size,url
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Kazipara , Dhaka",Parking 1,BDT 72.20 Lac,Mohazan Properties Ltd.,Apartment/Flats,Sale, 1350 sqft ,https://www.bdhousing.com/details/245677/1350-sqft-3-beds-ready-apartment-flats-sale-kazipara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",02,02,"
                Furnished        ","Rupnagar , Dhaka",No Parking,BDT 32.10 Lac,Mohazan Properties Ltd,Apartment/Flats,Sale, 700 sqft ,https://www.bdhousing.com/details/245676/700-sqft-2-beds-ready-apartment-flats-sale-rupnagar
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Satellite or cable TV,Garden",03,03,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,Call for price,NPL Fair View,Apartment/Flats,Sale, 1600 sqft ,https://www.bdhousing.com/details/245321/1600-sqft-3-beds-apartment-flats-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Furnished        ","Pirerbag , Dhaka",No Parking,BDT 63.20 Lac,Mohazan Properties Ltd,Apartment/Flats,Sale, 1200 sqft ,https://www.bdhousing.com/details/245511/3-beds-ready-apartment-flats-sale-pirerbag
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV",04,03,"
                Unfurnished        ","Uttara , Dhaka",Parking 1,BDT 1.21 Cr.,Rangs Kalpotoru-210- 1610,Apartment/Flats,Sale, 1610 sqft ,https://www.bdhousing.com/details/245545/1610-sqft-3-beds-ready-apartment-flats-for-sale-at-uttara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,04,"
        N/A","Mohammadpur , Dhaka",Parking 1,Call for price,Chayaneer,Apartment/Flats,Sale, 2300 sqft ,https://www.bdhousing.com/details/245671/2300-sqft-4-beds-apartment-flats-sale-mohammadpur
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",02,02,"
                Unfurnished        ","Monipur , Dhaka",No Parking,BDT 40.50 Lac,Mohazan Properties Ltd,Apartment/Flats,Sale, 700 sqft ,https://www.bdhousing.com/details/245764/2-beds-apartment-flats-sale-monipur
"Security,Lift,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Inter com,CCTV,Servent Room,Fire Protection",03,03,"
                Semi-Furnished        ","Baridhara , Dhaka",Parking 1,Call for price,Lilium Memoirs,Apartment/Flats,Sale, 2100 sqft ,https://www.bdhousing.com/details/245783/2100-sqft-3-beds-ready-apartment-flats-sale-baridhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,05,"
                Furnished        ","Gulshan 02 , Dhaka",Parking 1,Call for price,Navana Daisy Florenzo,Apartment/Flats,Sale, 2881 sqft ,https://www.bdhousing.com/details/230626/2881-sqft-5-beds-under-construction-flat-for-sale-at-gulshan
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 2,Call for price,"4 beds apartment in Basundhara R/A, Block B",Apartment/Flats,Sale, 2935 sqft ,https://www.bdhousing.com/details/245309/4-beds-apartment-flats-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
        N/A","Khilgaon , Dhaka",Parking 1,BDT 1.36 Cr.,Gold Palace,Apartment/Flats,Sale, 1600 sqft ,https://www.bdhousing.com/details/245668/1600-sqft-3-beds-ready-apartment-flats-sale-khilgaon
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Mohammadpur , Dhaka",,20.00 Lac,Modhucity-3,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/245780/3-katha-under-development-residential-plot-sale-mohammadpur
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 93.19 Lac,Fortress Tuberose,Land Sharing Flat,Sale, 2050 sqft ,https://www.bdhousing.com/details/245056/bashundhara-2050sft-single-unit-land-share
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 1.18 Cr.,Fortress South Park,Land Sharing Flat,Sale, 2250 sqft ,https://www.bdhousing.com/details/245158/2250-sqft-4-beds-flat-sale-bashundhara
