amenities,bathroom,bedroom,furnishing,location,parking,price,property_name,property_type,sale_rent,size,url
"Security,Lift,Fire exit,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Electronic security,Servent Room,Servent Toilet,Fire Protection",04,03,"
                Unfurnished        ","Badda , Dhaka",Parking 1,Call for price,Kazi Kuthi,Apartment/Flats,Sale, 1340 sqft ,https://www.bdhousing.com/details/245435/3-beds-apartment-flats-sale-badda
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,04,,"Adabor , Dhaka",Parking 1,BDT 1.10 Cr.,LUCKY RIMJHIM,Apartment/Flats,Sale, 1700 sqft ,https://www.bdhousing.com/details/243795/4-beds-under-construction-apartment-flats-sale-adabor
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Keraniganj , Dhaka",,11.00 Lac,Modhu City  - 3,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/244328/%E0%A7%AC%E0%A7%A6-%E0%A6%B8%E0%A6%B9%E0%A6%9C-%E0%A6%95-%E0%A6%B8-%E0%A6%A4-%E0%A6%A4-%E0%A6%B8-%E0%A6%A8-%E0%A6%B6-%E0%A6%9A-%E0%A6%A4-%E0%A6%AA-%E0%A6%B2%E0%A6%9F-%E0%A6%AC-%E0%A6%A8-%E0%A7%9F-%E0%A6%97-%E0%A6%95%E0%A6%B0-%E0%A6%A8
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Mohammadpur , Dhaka",,33.00 Lac,Modhucity,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/245779/ready-residential-plot-sale-mohammadpur
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Keraniganj , Dhaka",,13.00 Lac,Modhu city,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/244784/3-katha-residential-plot-sale-keraniganj-modhu-city
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",,,,"Banani , Dhaka",,Call for price,Navana Jalil De Riviera,Apartment/Flats,Sale, 1928 sqft ,https://www.bdhousing.com/details/233113/1928-sqft-3-beds-ready-apartment-for-sale-at-banani
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Keraniganj , Dhaka",,12.50 Lac,Modhu City  -  3,Residential Plot,Sale, 5 Katha ,https://www.bdhousing.com/details/244329/5-katha-upcoming-residential-plot-for-sale-at-keraniganj
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Furnished        ","Baridhara , Dhaka",Parking 1,Call for price,Navana Mashiat,Apartment/Flats,Sale, 2795 sqft ,https://www.bdhousing.com/details/230617/2795-sqft-3-beds-under-construction-flat-for-sale-at-baridhara
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Solar panels",03,03,"
                Unfurnished        ","Banasree , Dhaka",Parking 4,BDT 46.80 Lac,Spiral Bankers Tower,Apartment/Flats,Sale, 1170 sqft ,https://www.bdhousing.com/details/243646/1170-sft-3-bed-ongoing-apartment-at-banasree
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",01,01,,"Gollamari , Khulna",,BDT 70.00 Lac,test,Apartment/Flats,Sale, 1400 sqft ,https://www.bdhousing.com/details/244442/1400-sqft-1-bed-ready-apartment-flats-for-sale-at-gollamari
"Security,Lift,Fire exit,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Inter com,CCTV,Security Alarm System,Fire Protection",03,03,"
                Furnished        ","Khulshi , Chittagong",Parking 1,BDT 62.17 Lac,Khulshi neer flats,Apartment/Flats,Sale, 1535 sqft ,https://www.bdhousing.com/details/244131/1535-sqft-3-beds-ready-apartment-flats-for-sale-at-khulshi
,,,,"Gollamari , Khulna",,5.10 Lac,একক মালিকানাধীন নির্ভেজাল জমি জরূরী বিক্রয়,Residential Plot,Sale, 9 Katha ,https://www.bdhousing.com/details/244303/9-katha-ready-residential-plot-for-sale-at-gollamari
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Sonadanga , Khulna",,Call for price,2.25 Sotok Fresh Land for Residential Plot,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/245386/3-katha-ready-residential-plot-sale-sonadanga
"Eid congregation place,Mosque,Play Ground,Lakes,Parks,School,Universities,Hospital,Bazaar,Water Supply,Post Office,Banks",,,,"Khan Jahan Ali , Khulna",,4.60 Lac,Sabbir,Commercial Plot,Sale, 7 Katha ,https://www.bdhousing.com/details/244694/7-katha-used-commercial-plot-sale-khan-jahan-ali
"Lakes,School,Bazaar,Post Office,Banks",,,,"Khan Jahan Ali , Khulna",,8.50 Lac,১০ কাঠা নিষ্কন্টক ও নির্ভেজাল জমি/বাড়ি বিক্রি হবে,Residential Plot,Sale, 10 Katha ,https://www.bdhousing.com/details/244882/10-katha-ready-residential-plot-sale-banikpara-daulatpur-khulna
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Fire Protection",,,,"Agrabad , Chittagong",,Call for price,Tower-71,Showroom/Shop/Restaurant,Sale, 3599 sqft ,https://www.bdhousing.com/details/240216/3399-sqft-ready-showroom-shop-restaurant-for-sale-at-agrabad
,,,,"Sonadanga , Khulna",,30.00 Lac,Own,Residential Plot,Sale, 2 Katha ,https://www.bdhousing.com/details/244522/1-5-katha-ready-residential-plot-for-sale-at-sonadanga
"Mosque/Prayer Room,Security,Lift,Fire exit,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Guest Parking,Servent Room,Servent Toilet,Fire Protection",02,03,"
        N/A","Puran Bogra , Bogra",Parking 1,Call for price,Dream Land,Land Sharing Flat,Sale, 1050 sqft ,https://www.bdhousing.com/details/244201/1050-sqft-3-beds-almost-ready-land-sharing-flat-for-sale-at-puran-bogra
"Mosque,School,Bazaar,Post Office,Banks",,,,"Narayangonj Sadar , Narayanganj",,9.50 Lac,LAND,Residential Plot,Sale, 20 Katha ,https://www.bdhousing.com/details/245299/20-katha-ready-residential-plot-sale-narayangonj-sadar
"Lakes,Bazaar,Gas,Water Supply,Police Box,Post Office,Banks",,,,"sadar , Mymensingh",,Call for price,Industrial Land for sale,Agriculture/Farm Land,Sale, 30000 Katha ,https://www.bdhousing.com/details/244132/1500-bigha-ready-industrial-agricultural-land-for-sale-at-sadar
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Narayangonj Sadar , Narayanganj",,Call for price,Probashi Palli Group,Residential Plot,Sale, 5 Katha ,https://www.bdhousing.com/details/233695/3-katha-under-development-residential-plot-for-sale-at
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Narayangonj Sadar , Narayanganj",,Call for price,Land,Residential Plot,Sale, 15 Katha ,https://www.bdhousing.com/details/243695/15%20katha%20%20Narayangonj%20Sadar%20-%20Land
,,,,"Comilla Cantonment , Comilla",,33.00 Lac,অশোকতলা।,Residential Plot,Sale, 7 Katha ,https://www.bdhousing.com/details/244970/%E0%A6%85%E0%A6%B6-%E0%A6%95%E0%A6%A4%E0%A6%B2-%E0%A6%AF-7-27-%E0%A6%95-%E0%A6%A0-%E0%A6%9C%E0%A6%AE-%E0%A6%B0-%E0%A6%AE-%E0%A6%B2-%E0%A6%95-%E0%A6%B0-%E0%A6%95-%E0%A6%9B-%E0%A6%A5-%E0%A6%95-%E0%A6%B8%E0%A6%B0-%E0%A6%B8%E0%A6%B0-%E0%A6%95-%E0%A6%A8-%E0%A6%A8
,,,,"sadar , Mymensingh",,Call for price,Industrial Plot,Commercial Plot,Sale, 615 Katha ,https://www.bdhousing.com/details/244891/149-katha-industrial-plot-sale-gouripur-mymensingh
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Narayangonj Sadar , Narayanganj",,Call for price,Bestway Purbachal,Residential Plot,Sale, 4 Katha ,https://www.bdhousing.com/details/244770/4-katha-ready-residential-plot-sale-narayangonj-sadar
"Security,Fire exit,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Telephone line,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Guest Parking,Servent Toilet,Fire Protection",03,05,"
                Furnished        ","Comilla Cantonment , Comilla",No Parking,BDT 28.80 Lac,ABDUS SATTAR HOME,Apartment/Flats,Sale, 960 sqft ,https://www.bdhousing.com/details/243775/under-construction-apartment-flats-sale-comilla-cantonment
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Satellite or cable TV,Servent Toilet",,,,"Rampura , Dhaka",,BDT 30000,Sobujbon Noor Tower,Apartment/Flats,Rent,"
        1400 sqft 
    ",https://www.bdhousing.com/details/244624/1400-sqft-3-beds-apartment-flats-rent-rampura
"Security,Lift",,,,"Agargaon , Dhaka",,BDT 1200,1 room flat,Apartment/Flats,Rent,"
        124 sqft 
    ",https://www.bdhousing.com/details/245606/2-beds-apartment-flats-rent-agargaon
"Security,Lift,Electricity,Generator,Servent Room",,,,"Khulshi , Chittagong",,BDT 32000,Last Building Habib Lane,Apartment/Flats,Rent,"
        2000 sqft 
    ",https://www.bdhousing.com/details/245688/sunny-apartment-2000-sqft-3-beds-rent-khulshi
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",,,,"Mirpur 1 , Dhaka",,BDT 30000,Sheltech Bithika,Apartment/Flats,Rent,"
        1575 sqft 
    ",https://www.bdhousing.com/details/245794/1575-sqft-3-beds-apartment-flats-rent-mirpur-1
"Security,Lift,WASA connection,Gas Connection,Electricity,Generator,Guest Parking",,,,"Gohail Road , Bogra",,BDT 15000,"Abkon Tower , (এ্যবকন টাওয়ার)",Apartment/Flats,Rent,"
        1422 sqft 
    ",https://www.bdhousing.com/details/244346/3-beds-apartment-flats-for-rent-at-%E0%A6%97-%E0%A6%B9-%E0%A6%87%E0%A6%B2-%E0%A6%B0-%E0%A6%A1-gohail-road-sutrapur-bogra-abkon-tower
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden",,,,"Uttara , Dhaka",,BDT 23000,SEL Taruchaya,Apartment/Flats,Rent,"
        1400 sqft 
    ",https://www.bdhousing.com/details/243987/1400-sqft-3-beds-apartment-flats-rent-uttara
"Security,Lift,Fire exit,Self Water supply,Cylinder Gas,Generator,Inter com,CCTV,Electronic security,Fire Protection",,,,"Uttara , Dhaka",,BDT 30000,Ranavola tower,Showroom/Shop/Restaurant,Rent,"
        880 sqft 
    ",https://www.bdhousing.com/details/242728/880-sqft-showroom-shop-restaurant-for-rent-at-uttara
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Fire Protection",,,,"Tongi , Gazipur",,BDT 4000,Oman Tower,Sublet/Room,Rent,"
        90 sqft 
    ",https://www.bdhousing.com/details/245343/female-only-90-sqft-1-bed-sublet-room-for-rent-at-tongi
,,,,"Kolatoli , Coxs Bazar",,Call for price,Service Apartment,Apartment/Flats,Rent,"
        1350 sqft 
    ",https://www.bdhousing.com/details/245013/1350-sqft-4-beds-ready-apartment-flats-sale-kolatoli
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Gymnasium,Garden,Guest Parking,Servent Room,Servent Toilet",,,,"Banasree , Dhaka",,BDT 38000,Shanta Vantage,Apartment/Flats,Rent,"
        2100 sqft 
    ",https://www.bdhousing.com/details/245468/2100-sqft-3-beds-apartment-flats-for-rent-at-banasree
"Security,Lift,Fire exit,WASA connection,Self Water supply,Cylinder Gas,Electricity,CCTV,Garden",,,,"Dakshin khan , Dhaka",,BDT 13000,FDS Tower,Apartment/Flats,Rent,"
        1200 sqft 
    ",https://www.bdhousing.com/details/245807/1200-sqft-3-beds-apartment-flats-rent-dakshin-khan
,,,,"Mirpur 14 , Dhaka",,BDT 150000,5800 sqft Commercial Space for Sale,Showroom/Shop/Restaurant,Rent,"
        5800 sqft 
    ",https://www.bdhousing.com/details/245558/5400-sqft-ready-showroom-shop-restaurant-sale-mirpur-14
"Security,Lift,WASA connection,Self Water supply,Electricity,Generator,CCTV,Security Alarm System,Fire Protection",,,,"Badda , Dhaka",,BDT 414000,AJ Heights,Office Space,Rent,"
        4600 sqft 
    ",https://www.bdhousing.com/details/241170/9000-sqft-office-space-for-rent-at-badda
"Mosque/Prayer Room,Security,Self Water supply,Cylinder Gas,Electricity,CCTV",,,,"Narayangonj Sadar , Narayanganj",,BDT 60000,হাজী আব্দুল হাই মোল্লাহ সুপার মার্কেট,Office Space,Rent,"
        3000 sqft 
    ",https://www.bdhousing.com/details/244655/3000-sqft-office-space-rent-narayangonj-sadar
"Security,Lift,Self Water supply,Cylinder Gas,Electricity,Generator,Fire Protection",,,,"sadar , Mymensingh",,BDT 297500,Aloka Nodi Bangla Complex,Showroom/Shop/Restaurant,Rent,"
        8500 sqft 
    ",https://www.bdhousing.com/details/243240/8500-sqft-showroom-shop-restaurant-for-rent-at-sadar
"Security,Self Water supply,Electricity,Telephone line,CCTV,Fire Protection",,,,"Puran Bogra , Bogra",,BDT 20000,Showroom/Shop/Restaurant for rent,Showroom/Shop/Restaurant,Rent,"
        1000 sqft 
    ",https://www.bdhousing.com/details/244702/1000-sqft-showroom-shop-restaurant-rent-puran-bogra
"Mosque/Prayer Room,Security,WASA connection,Cylinder Gas,Electricity,CCTV",,,,"Rampura , Dhaka",,BDT 18000,East Rampura New Flat rent,Apartment/Flats,Rent,"
        1130 sqft 
    ",https://www.bdhousing.com/details/243801/1130-sqft-3-beds-apartment-flats-rent-rampura
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Fire Protection",,,,"Mirpur 13 , Dhaka",,BDT 30000,Flat rent @ Rakeen City Mirpur,Apartment/Flats,Rent,"
        1553 sqft 
    ",https://www.bdhousing.com/details/245539/1553-sqft-3-beds-apartment-flats-for-rent-at-mirpur-15
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Electronic security,Pool,Solar panels",,,,"Shyamoli , Dhaka",,BDT 2500,SEL Anowar’s Dream,Apartment/Flats,Rent,"
        1200 sqft 
    ",https://www.bdhousing.com/details/244754/1200-sqft-3-beds-apartment-flats-rent-shyamoli
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Electronic security,Solar panels,Guest Parking,Servent Toilet,Fire Protection",,,,"Motijheel , Dhaka",,BDT 18000,Flat,Apartment/Flats,Rent,"
        1200 sqft 
    ",https://www.bdhousing.com/details/243764/apartment-flats-rent-prestigious-gopibagh-area
"Security,Lift,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Inter com,CCTV,Electronic security,Servent Room,Servent Toilet",,,,"Dhanmondi , Dhaka",,BDT 37000,Alindo,Apartment/Flats,Rent,"
        1600 sqft 
    ",https://www.bdhousing.com/details/245681/1600-sqft-3-beds-apartment-flats-rent-dhanmondi
"Security,Lift,Fire exit,WASA connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Solar panels",,,,"Rayerbazar , Dhaka",,BDT 2 Mont,স্ম্রাট ভবন ২,Apartment/Flats,Rent,"
        1450 sqft 
    ",https://www.bdhousing.com/details/244726/1450-sqft-3-beds-apartment-flats-for-rent-at-rayerbazar
,,,,"Banasree , Dhaka",,BDT 468000,Alam's Villa,Showroom/Shop/Restaurant,Rent,"
        3600 sqft 
    ",https://www.bdhousing.com/details/245564/3600-sqft-showroom-shop-restaurant-for-rent-at-banasree
"Self Water supply,Electricity,CCTV",02,03,,"Gazipur Sadar , Gazipur",No Parking,Call for price,Shed house,Independent House,Sale, 0 sqft ,https://www.bdhousing.com/details/245683/3-beds-ready-independent-house-sale-gazipur-sadar
"Security,Lift,Fire exit,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Electronic security,Solar panels,Fire Protection",03,03,"
                Unfurnished        ","Maijdee , Noakhali",Parking 1,Call for price,Conspert Dream,Apartment/Flats,Sale, 1350 sqft ,https://www.bdhousing.com/details/245586/1350-sqft-3-beds-apartment-flats-sale-maijdee
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",,,,"Uttara , Dhaka",,BDT 60000,Rupayan City Uttara,Apartment/Flats,Rent,"
        2200 sqft 
    ",https://www.bdhousing.com/details/243829/2170-sqft-4-beds-apartment-flats-for-rent-at-uttara
"Security,Lift,Fire exit,Gas Connection,Generator,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Fire Protection",,,,"Badda , Dhaka",,BDT 12000,Bachelor House Tolet From April,Apartment/Flats,Rent,"
        1039 sqft 
    ",https://www.bdhousing.com/details/244127/1039-sqft-1-bed-apartment-flats-for-rent-at-badda
"Mosque/Prayer Room,Security,Lift,Fire exit,Self Water supply,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Garden,Guest Parking,Fire Protection",03,03,"
                Unfurnished        ","Shahporan  , Sylhet",Parking 1,BDT 6.52 Cr.,Al-Salam Real Estate,Apartment/Flats,Sale, 1445 sqft ,https://www.bdhousing.com/details/245167/1445-sqft-3-beds-ready-apartment-flats-sale-shahporan
"Eid congregation place,Mosque,Play Ground,Security,Gas,Water Supply",,,,"Gazipur Sadar , Gazipur",,12.00 Lac,Niloy Residential Area,Residential Plot,Sale, 4 Katha ,https://www.bdhousing.com/details/244244/4-katha-ready-residential-plot-sale
"Eid congregation place,Mosque,Play Ground,Security,Lakes,School,College,Hospital,Bazaar,Gas,Water Supply,Fire Services,Police Box,Post Office,Banks",,,,"Gazipur Sadar , Gazipur",,7.00 Lac,Chandupara,Agriculture/Farm Land,Sale, 3 Katha ,https://www.bdhousing.com/details/244497/3-katha-used-agriculture-farm-land-sale-gazipur-sadar
"Security,Lift",03,03,"
                Unfurnished        ","Shahporan  , Sylhet",No Parking,Call for price,Khanam lodge,Apartment/Flats,Sale, 1275 sqft ,https://www.bdhousing.com/details/244011/1275-sqft-3-beds-almost-ready-apartment-flats-sale-shahporan
"Security,Lift,Fire exit,WASA connection,Gas Connection,Electricity,Generator,Telephone line,CCTV",03,03,"
                Unfurnished        ","Pahartali , Chittagong",Parking 1,BDT 49.00 Lac,TMT PIR ALI SHAH TOWER,Apartment/Flats,Sale, 1225 sqft ,https://www.bdhousing.com/details/244809/1225-sqft-3-beds-almost-ready-apartment-flats-sale-pahartali
"Security,Lift,Fire exit,WASA connection,Self Water supply,Cylinder Gas,Electricity,Generator,CCTV,Satellite or cable TV,Fire Protection",03,03,"
        N/A","Agrabad , Chittagong",No Parking,BDT 60.50 Lac,Fg.mader vila,Apartment/Flats,Sale, 1210 sqft ,https://www.bdhousing.com/details/245117/1210-sqft-3-beds-ready-apartment-flats-sale-agrabad
"Mosque/Prayer Room,Security,Lift,Self Water supply,Cylinder Gas,Electricity,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Fire Protection",02,02,"
                Unfurnished        ","Gazipur Sadar , Gazipur",No Parking,BDT 38.00 Lac,NaSha Garden,Apartment/Flats,Sale, 950 sqft ,https://www.bdhousing.com/details/245197/950-sqft-2-beds-almost-ready-apartment-flats-for-sale-at-gazipur-sadar
,03,03,"
                Unfurnished        ","Chandgaon , Chittagong",Parking 1,BDT 52.00 Lac,Land with Building,Independent House,Sale, 864 sqft ,https://www.bdhousing.com/details/243750/864-sqft-3-beds-almost-ready-independent-house-for-sale-at-chandgaon
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Garden,Solar panels,Fire Protection",02,02,,"Agrabad , Chittagong",Parking 1,Call for price,Ready Apartment 2/3 bed,Apartment/Flats,Sale, 1125 sqft ,https://www.bdhousing.com/details/244424/1125-sqft-2-beds-ready-apartment-flats-sale-agrabad
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Basila , Dhaka",Parking 1,BDT 46.74 Lac,Reon RPL LR Tower,Apartment/Flats,Sale, 1230 sqft ,https://www.bdhousing.com/details/244791/1230-sqft-3-beds-almost-ready-apartment-flats-sale-basila
"Mosque/Prayer Room,Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,CCTV,Fire Protection",02,03,"
                Unfurnished        ","Khulshi , Chittagong",Parking 1,Call for price,Carnation Nur Nahar Garden,Apartment/Flats,Sale, 1150 sqft ,https://www.bdhousing.com/details/244185/1150-sqft-3-beds-under-construction-apartment-flats-for-sale-at-khulshi
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Security Alarm System,Solar panels",03,03,"
                Unfurnished        ","Banasree , Dhaka",Parking 1,Call for price,1395 sft flat at Banasree,Apartment/Flats,Sale, 1395 sqft ,https://www.bdhousing.com/details/245359/almost-ready-apartment-flats-sale-banasree
"Security,Lift,Fire exit,WASA connection,Hot water and heating,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Garden,Solar panels,Guest Parking,Fire Protection",,,,"Ukilpara , Naogaon",,Call for price,Runner Rowshanara,Apartment/Flats,Sale, 1453 sqft ,https://www.bdhousing.com/details/242475/1453-sqft-3-beds-under-construction-apartment-flats-for-sale-at-ukilpara
"Security,Lift,Fire exit,WASA connection,Gas Connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Solar panels,Fire Protection",03,03,"
                Unfurnished        ","Mohammadpur , Dhaka",Parking 1,Call for price,Muslim Heights,Apartment/Flats,Sale, 1467 sqft ,https://www.bdhousing.com/details/244058/1467sft-flat-sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Kaliakoir , Gazipur",,Call for price,Personal Land,Residential Plot,Sale, 92 Katha ,https://www.bdhousing.com/details/245791/92-katha-residential-plot-sale-kaliakoir
"Security,Lift,WASA connection,Hot water and heating,Gas Connection,Electricity",03,03,"
                Unfurnished        ","Panchlaish , Chittagong",No Parking,BDT 86.40 Lac,M.M Tower,Apartment/Flats,Sale, 1200 sqft ,https://www.bdhousing.com/details/245164/1200-sqft-3-beds-ready-apartment-flats-sale-panchlaish
"Mosque,Play Ground,Security,School,College,Universities,Hospital,Bazaar",,,,"Savar , Dhaka",,Call for price,সাভারে সেমি পাকা ৩টি ঘর সহ ২ শতাংশ নিষ্কণ্টক জমি,Residential Plot,Sale, 2 Katha ,https://www.bdhousing.com/details/245805/3-semipaka-ready-rooms-residential-plot-1-2-katha-2-decimal-for-sale-at-savar
,,,,"Lobon Chora , Khulna",,Call for price,Khulna Rupsha - Mongla Highway Property,Commercial Plot,Sale, 130 Katha ,https://www.bdhousing.com/details/244613/130-katha-ready-commercial-plot-for-sale-at-lobon-chora
"Security,Lakes",,,,"Bandar , Chittagong",,Call for price,চট্টগ্রামে একদাগে ৪৫০০ কাঠা জমি বিক্রয়,Agriculture/Farm Land,Sale, 4500 Katha ,https://www.bdhousing.com/details/244688/4500-katha-ready-agriculture-farm-land-sale-bandar
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Garden,Solar panels,Servent Room,Servent Toilet",04,03,"
                Unfurnished        ","Mohammadpur , Dhaka",Parking 1,BDT 75.00 Lac,Detech south breeze,Apartment/Flats,Sale, 1400 sqft ,https://www.bdhousing.com/details/245060/3-beds-almost-ready-apartment-flats-sale-mohammadpur
