area,building_type,num_bath_rooms,price,purpose,locality,id,security_amenity_count,maintenance_or_cleaning_amenity_count,expendable_amenity_count,unclassify_amenity_count,building_nature,num_bed_rooms
1185.0,Apartment,0.0,6100000.0,Sale,Khilgaon,bproperty-0,1.0,2.0,2,3,,
1140.0,Apartment,0.0,7500000.0,Sale,Mirpur,bproperty-2,2.0,2.0,2,4,,
1445.0,Apartment,3.0,10800000.0,Sale,Banasree,bproperty-4,0.0,2.0,1,4,,
1475.0,Apartment,3.0,10500000.0,Sale,Uttara,bproperty-7,2.0,3.0,3,4,,
1600.0,Apartment,3.0,13100000.0,Sale,Rampura,bproperty-12,0.0,2.0,2,3,,
750.0,Apartment,2.0,4900000.0,Sale,Mirpur,bproperty-14,0.0,2.0,4,4,,
1522.0,Apartment,3.0,11000000.0,Sale,Mirpur,bproperty-15,2.0,2.0,2,4,,
1150.0,Apartment,3.0,8600000.0,Sale,Rampura,bproperty-16,1.0,1.0,3,4,,
1722.0,Apartment,0.0,12000000.0,Sale,Turag,bproperty-21,2.0,2.0,4,4,,
1758.0,Apartment,0.0,12000000.0,Sale,Turag,bproperty-22,2.0,2.0,4,4,,
1368.0,Apartment,3.0,12000000.0,Sale,Shyamoli,bproperty-25,1.0,2.0,5,3,,
1550.0,Apartment,3.0,12200000.0,Sale,Aftab Nagar,bproperty-39,0.0,1.0,3,3,,
1550.0,Apartment,3.0,12200000.0,Sale,Aftab Nagar,bproperty-42,0.0,1.0,3,3,,
1150.0,Apartment,3.0,8900000.0,Sale,Rampura,bproperty-44,2.0,2.0,4,3,,
1522.0,Apartment,3.0,11000000.0,Sale,Mirpur,bproperty-45,2.0,2.0,2,4,,
1120.0,Apartment,3.0,6200000.0,Sale,Mohammadpur,bproperty-46,2.0,1.0,3,3,,
1400.0,Apartment,3.0,12000000.0,Sale,Bashundhara R-A,bproperty-48,1.0,2.0,3,3,,
1170.0,Apartment,3.0,8900000.0,Sale,Rampura,bproperty-49,2.0,2.0,4,3,,
1650.0,Apartment,3.0,11700000.0,Sale,Rampura,bproperty-53,0.0,2.0,2,3,,
1150.0,Apartment,0.0,9000000.0,Sale,Bashundhara R-A,bproperty-54,1.0,2.0,3,3,,
1480.0,Apartment,0.0,13500000.0,Sale,Badda,bproperty-55,0.0,2.0,5,4,,
