area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,locality,id,expendable_amenity_count,unclassify_amenity_count
400.0,Apartment,Commercial,1.0,1.0,15000.0,Rent,Kafrul,pbazaar-577,0,0
1200.0,Apartment,Commercial,2.0,3.0,25000.0,Rent,Uttara West,pbazaar-578,0,0
300.0,Apartment,Commercial,1.0,2.0,20000.0,Rent,Lalmatia,pbazaar-598,0,0
1600.0,Apartment,Commercial,1.0,2.0,30000.0,Rent,DOHS Banani,pbazaar-600,0,0
1000.0,Apartment,Commercial,2.0,2.0,28000.0,Rent,DOHS Mohakhali,pbazaar-619,0,0
700.0,Apartment,Commercial,2.0,2.0,22000.0,Rent,DOHS Mohakhali,pbazaar-620,0,0
1500.0,Apartment,Commercial,4.0,3.0,45000.0,Rent,Niketan,pbazaar-621,0,0
1450.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,Niketan,pbazaar-622,0,0
520.0,Apartment,Commercial,1.0,1.0,32000.0,Rent,Moghbazar,pbazaar-624,0,0
1000.0,Apartment,Commercial,1.0,1.0,25000.0,Rent,Badda,pbazaar-634,0,0
900.0,Apartment,Commercial,2.0,2.0,25000.0,Rent,DOHS Mohakhali,pbazaar-635,0,0
1000.0,Apartment,Commercial,2.0,3.0,30000.0,Rent,DOHS Mohakhali,pbazaar-638,0,0
1400.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,DOHS Mohakhali,pbazaar-640,0,0
400.0,Apartment,Commercial,1.0,1.0,16000.0,Rent,DOHS Mohakhali,pbazaar-641,0,0
1350.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,DOHS Mohakhali,pbazaar-643,0,0
500.0,Apartment,Commercial,1.0,1.0,20000.0,Rent,DOHS Mohakhali,pbazaar-644,0,0
1100.0,Apartment,Commercial,3.0,2.0,40000.0,Rent,DOHS Mohakhali,pbazaar-656,0,0
800.0,Apartment,Commercial,1.0,2.0,23000.0,Rent,Nikunja,pbazaar-657,0,0
900.0,Apartment,Commercial,2.0,2.0,30000.0,Rent,Nikunja,pbazaar-660,0,0
1600.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,Nikunja,pbazaar-661,0,0
500.0,Apartment,Commercial,1.0,2.0,35000.0,Rent,Banani,pbazaar-677,0,0
1300.0,Apartment,Commercial,2.0,3.0,30000.0,Rent,DOHS Banani,pbazaar-678,0,0
900.0,Apartment,Commercial,2.0,2.0,23000.0,Rent,DOHS Mohakhali,pbazaar-682,0,0
2078.0,Apartment,Commercial,3.0,3.0,50000.0,Rent,Banani,pbazaar-683,0,0
2100.0,Apartment,Commercial,2.0,2.0,50000.0,Rent,DOHS Mohakhali,pbazaar-685,0,0
1050.0,Apartment,Commercial,2.0,3.0,40000.0,Rent,DOHS Mohakhali,pbazaar-686,0,0
1000.0,Apartment,Commercial,1.0,1.0,50000.0,Rent,Baridhara,pbazaar-698,0,0
1200.0,Apartment,Commercial,2.0,3.0,45000.0,Rent,Banani,pbazaar-712,0,0
500.0,Apartment,Commercial,1.0,1.0,18000.0,Rent,Banashree,pbazaar-713,0,0
900.0,Apartment,Commercial,2.0,3.0,14000.0,Rent,Banashree,pbazaar-715,0,0
1400.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,DOHS Mohakhali,pbazaar-717,0,0
800.0,Apartment,Commercial,1.0,1.0,25000.0,Rent,Badda,pbazaar-737,0,0
400.0,Apartment,Commercial,1.0,2.0,16000.0,Rent,DOHS Mohakhali,pbazaar-738,0,0
600.0,Apartment,Commercial,1.0,2.0,20000.0,Rent,Banani,pbazaar-739,0,0
900.0,Apartment,Commercial,2.0,2.0,19000.0,Rent,DOHS Mohakhali,pbazaar-740,0,0
600.0,Apartment,Commercial,2.0,2.0,13000.0,Rent,DOHS Mohakhali,pbazaar-741,0,0
300.0,Apartment,Commercial,1.0,1.0,25000.0,Rent,DOHS Mohakhali,pbazaar-742,0,0
1250.0,Apartment,Commercial,2.0,3.0,35000.0,Rent,DOHS Mohakhali,pbazaar-743,0,0
1500.0,Apartment,Commercial,2.0,3.0,50000.0,Rent,DOHS Mohakhali,pbazaar-744,0,0
700.0,Apartment,Commercial,1.0,2.0,50000.0,Rent,Gulshan 1,pbazaar-759,0,0
1850.0,Apartment,Commercial,2.0,3.0,45000.0,Rent,Gulshan 1,pbazaar-760,0,0
1500.0,Apartment,Commercial,3.0,3.0,50000.0,Rent,Niketan,pbazaar-768,0,0
1400.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,Niketan,pbazaar-778,0,0
2000.0,Apartment,Commercial,3.0,3.0,50000.0,Rent,Niketan,pbazaar-781,0,0
700.0,Apartment,Commercial,1.0,2.0,20000.0,Rent,Mirpur,pbazaar-783,0,0
1500.0,Apartment,Commercial,2.0,3.0,45000.0,Rent,DOHS Mohakhali,pbazaar-785,0,0
1600.0,Apartment,Commercial,2.0,2.0,50000.0,Rent,DOHS Banani,pbazaar-790,0,0
1310.0,Apartment,Commercial,2.0,4.0,50000.0,Rent,Gulshan 2,pbazaar-791,0,0
2200.0,Apartment,Commercial,4.0,4.0,35000.0,Rent,DOHS Mirpur,pbazaar-792,0,0
400.0,Apartment,Commercial,1.0,2.0,13500.0,Rent,Uttara West,pbazaar-793,0,0
1650.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,Uttara West,pbazaar-794,0,0
1550.0,Apartment,Commercial,3.0,4.0,45000.0,Rent,Niketan,pbazaar-797,0,0
1650.0,Apartment,Commercial,4.0,3.0,45000.0,Rent,Uttara West,pbazaar-799,0,0
1500.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,Uttara West,pbazaar-802,0,0
550.0,Apartment,Commercial,1.0,2.0,16000.0,Rent,Banashree,pbazaar-803,0,0
300.0,Apartment,Commercial,1.0,1.0,10000.0,Rent,Bangshal,pbazaar-814,0,0
1500.0,Apartment,Commercial,2.0,3.0,39000.0,Rent,Paltan,pbazaar-815,0,0
1275.0,Apartment,Commercial,3.0,3.0,28000.0,Rent,DOHS Baridhara,pbazaar-816,0,0
300.0,Apartment,Commercial,1.0,1.0,10000.0,Rent,Paltan,pbazaar-817,0,0
750.0,Apartment,Commercial,1.0,2.0,15000.0,Rent,Banashree,pbazaar-818,0,0
1500.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,Aftabnagar,pbazaar-820,0,0
800.0,Apartment,Commercial,2.0,2.0,25000.0,Rent,DOHS Mohakhali,pbazaar-821,0,0
900.0,Apartment,Commercial,1.0,2.0,30000.0,Rent,DOHS Mohakhali,pbazaar-824,0,0
600.0,Apartment,Commercial,1.0,2.0,18000.0,Rent,Badda,pbazaar-838,0,0
800.0,Apartment,Commercial,2.0,2.0,25000.0,Rent,Badda,pbazaar-839,0,0
900.0,Apartment,Commercial,1.0,1.0,40000.0,Rent,Badda,pbazaar-840,0,0
1000.0,Apartment,Commercial,1.0,1.0,50000.0,Rent,Badda,pbazaar-841,0,0
450.0,Apartment,Commercial,1.0,1.0,18000.0,Rent,Badda,pbazaar-842,0,0
1650.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,Niketan,pbazaar-843,0,0
1650.0,Apartment,Commercial,3.0,3.0,25000.0,Rent,Bashundhara RA,pbazaar-844,0,0
