area,building_type,num_bath_rooms,price,purpose,locality,id,security_amenity_count,maintenance_or_cleaning_amenity_count,expendable_amenity_count,unclassify_amenity_count
1185.0,Apartment,0.0,6100000.0,Sale,Khilgaon,bproperty-0,1,2,2,3
1140.0,Apartment,0.0,7500000.0,Sale,Mirpur,bproperty-2,2,2,2,4
1445.0,Apartment,3.0,10800000.0,Sale,Banasree,bproperty-4,0,2,1,4
1475.0,Apartment,3.0,10500000.0,Sale,Uttara,bproperty-7,2,3,3,4
1600.0,Apartment,3.0,13100000.0,Sale,Rampura,bproperty-12,0,2,2,3
750.0,Apartment,2.0,4900000.0,Sale,Mirpur,bproperty-14,0,2,4,4
1522.0,Apartment,3.0,11000000.0,Sale,Mirpur,bproperty-15,2,2,2,4
1150.0,Apartment,3.0,8600000.0,Sale,Rampura,bproperty-16,1,1,3,4
1722.0,Apartment,0.0,12000000.0,Sale,Turag,bproperty-21,2,2,4,4
1758.0,Apartment,0.0,12000000.0,Sale,Turag,bproperty-22,2,2,4,4
1368.0,Apartment,3.0,12000000.0,Sale,Shyamoli,bproperty-25,1,2,5,3
1550.0,Apartment,3.0,12200000.0,Sale,Aftab Nagar,bproperty-39,0,1,3,3
1550.0,Apartment,3.0,12200000.0,Sale,Aftab Nagar,bproperty-42,0,1,3,3
1150.0,Apartment,3.0,8900000.0,Sale,Rampura,bproperty-44,2,2,4,3
1522.0,Apartment,3.0,11000000.0,Sale,Mirpur,bproperty-45,2,2,2,4
1120.0,Apartment,3.0,6200000.0,Sale,Mohammadpur,bproperty-46,2,1,3,3
1400.0,Apartment,3.0,12000000.0,Sale,Bashundhara R-A,bproperty-48,1,2,3,3
1170.0,Apartment,3.0,8900000.0,Sale,Rampura,bproperty-49,2,2,4,3
1650.0,Apartment,3.0,11700000.0,Sale,Rampura,bproperty-53,0,2,2,3
1150.0,Apartment,0.0,9000000.0,Sale,Bashundhara R-A,bproperty-54,1,2,3,3
1480.0,Apartment,0.0,13500000.0,Sale,Badda,bproperty-55,0,2,5,4
1550.0,Apartment,3.0,11200000.000000002,Sale,Rampura,bproperty-56,0,2,2,3
1250.0,Apartment,0.0,8200000.0,Sale,Mirpur,bproperty-57,0,0,1,3
1499.0,Apartment,3.0,11299999.999999998,Sale,Bashabo,bproperty-60,2,2,4,4
1250.0,Apartment,0.0,8000000.0,Sale,Turag,bproperty-64,1,1,1,3
1450.0,Apartment,0.0,8600000.0,Sale,Turag,bproperty-66,1,1,1,3
1164.0,Apartment,3.0,9600000.0,Sale,Mirpur,bproperty-67,0,1,2,4
1283.0,Apartment,0.0,10500000.0,Sale,Mirpur,bproperty-69,1,2,4,5
1517.0,Apartment,4.0,11500000.0,Sale,Uttara,bproperty-70,2,3,3,4
1522.0,Apartment,0.0,11000000.0,Sale,Mirpur,bproperty-75,2,2,2,4
1499.0,Apartment,3.0,11299999.999999998,Sale,Bashabo,bproperty-76,2,2,3,4
730.0,Apartment,0.0,5000000.0,Sale,Mirpur,bproperty-78,2,2,1,3
1543.0,Apartment,4.0,11600000.0,Sale,Bashabo,bproperty-83,2,2,4,4
1380.0,Apartment,0.0,9500000.0,Sale,Aftab Nagar,bproperty-84,1,2,3,4
1250.0,Apartment,0.0,9300000.0,Sale,Badda,bproperty-85,0,1,3,3
1499.0,Apartment,3.0,11299999.999999998,Sale,Bashabo,bproperty-86,2,2,4,4
1326.0,Apartment,0.0,11000000.0,Sale,Bashundhara R-A,bproperty-87,1,2,3,3
1250.0,Apartment,0.0,7500000.0,Sale,Mirpur,bproperty-89,0,0,1,3
1496.0,Apartment,3.0,11299999.999999998,Sale,Bashabo,bproperty-90,2,2,4,4
1565.0,Apartment,0.0,11000000.0,Sale,Uttara,bproperty-91,2,3,3,4
1430.0,Apartment,3.0,11500000.0,Sale,Mirpur,bproperty-92,2,2,2,4
1720.0,Apartment,3.0,13700000.000000002,Sale,Mirpur,bproperty-94,2,2,2,4
1630.0,Apartment,3.0,13000000.0,Sale,Mirpur,bproperty-95,2,2,2,4
1350.0,Apartment,3.0,7200000.0,Sale,Mirpur,bproperty-99,0,0,3,4
1633.0,Apartment,3.0,11200000.000000002,Sale,Bashabo,bproperty-103,2,2,3,4
1310.0,Apartment,3.0,7900000.0,Sale,Badda,bproperty-104,0,2,2,3
1633.0,Apartment,3.0,11200000.000000002,Sale,Bashabo,bproperty-105,2,2,3,4
1580.0,Apartment,3.0,12600000.0,Sale,Mirpur,bproperty-106,2,2,2,4
1586.0,Apartment,3.0,11000000.0,Sale,Bashabo,bproperty-107,2,2,3,4
1586.0,Apartment,3.0,11000000.0,Sale,Bashabo,bproperty-109,2,2,3,4
1250.0,Apartment,0.0,7500000.0,Sale,Mirpur,bproperty-110,0,0,1,3
1200.0,Apartment,0.0,8600000.0,Sale,Banasree,bproperty-111,1,1,2,4
1000.0,Apartment,2.0,6000000.0,Sale,Mirpur,bproperty-112,0,2,2,3
950.0,Apartment,2.0,5000000.0,Sale,Mirpur,bproperty-114,0,0,1,3
1300.0,Apartment,0.0,7400000.0,Sale,Cantonment,bproperty-115,1,2,5,5
930.0,Apartment,3.0,5800000.0,Sale,Mirpur,bproperty-117,0,0,1,3
1350.0,Apartment,3.0,11000000.0,Sale,Mirpur,bproperty-118,2,2,2,4
930.0,Apartment,3.0,5800000.0,Sale,Mirpur,bproperty-119,0,0,1,3
1150.0,Apartment,2.0,7000000.0,Sale,Mirpur,bproperty-121,0,0,3,3
1350.0,Apartment,0.0,10500000.0,Sale,Aftab Nagar,bproperty-122,2,2,4,3
1075.0,Apartment,2.0,8700000.0,Sale,Kalabagan,bproperty-123,1,1,6,3
1350.0,Apartment,0.0,10500000.0,Sale,Aftab Nagar,bproperty-124,2,2,4,3
1410.0,Apartment,3.0,12000000.0,Sale,Khilgaon,bproperty-125,1,1,2,4
1350.0,Apartment,3.0,9500000.0,Sale,Adabor,bproperty-127,0,2,4,4
1595.0,Apartment,3.0,10500000.0,Sale,Adabor,bproperty-128,1,1,4,4
1543.0,Apartment,3.0,11600000.0,Sale,Bashabo,bproperty-129,2,2,4,4
1550.0,Apartment,3.0,11700000.0,Sale,Rampura,bproperty-130,2,2,3,4
950.0,Apartment,2.0,5800000.0,Sale,Mirpur,bproperty-131,0,2,2,3
1200.0,Apartment,3.0,7300000.0,Sale,Banasree,bproperty-134,2,2,5,3
1200.0,Apartment,3.0,8800000.0,Sale,Mirpur,bproperty-136,2,3,3,5
1666.0,Apartment,3.0,13500000.0,Sale,Bashundhara R-A,bproperty-137,1,0,3,3
1270.0,Apartment,3.0,10000000.0,Sale,Uttara,bproperty-140,2,3,3,4
1000.0,Apartment,0.0,11200000.000000002,Sale,Bashundhara R-A,bproperty-144,1,2,3,3
1300.0,Apartment,3.0,11000000.0,Sale,Uttara,bproperty-148,2,3,3,4
1565.0,Apartment,3.0,11000000.0,Sale,Mirpur,bproperty-152,2,2,2,4
1620.0,Apartment,3.0,12000000.0,Sale,Aftab Nagar,bproperty-153,0,2,2,3
1420.0,Apartment,4.0,7500000.0,Sale,Turag,bproperty-154,2,3,3,3
1550.0,Apartment,0.0,13500000.0,Sale,Bashundhara R-A,bproperty-155,1,2,4,3
1654.0,Apartment,3.0,9500000.0,Sale,Uttara,bproperty-156,1,1,1,3
1506.0,Apartment,3.0,11500000.0,Sale,Aftab Nagar,bproperty-157,0,2,2,3
1365.0,Apartment,0.0,8200000.0,Sale,Badda,bproperty-160,0,2,2,3
1310.0,Apartment,0.0,7900000.0,Sale,Badda,bproperty-161,0,2,2,3
1000.0,Apartment,2.0,6000000.0,Sale,Mirpur,bproperty-163,0,2,2,3
1654.0,Apartment,0.0,8500000.0,Sale,Uttara,bproperty-166,2,2,5,3
1402.0,Apartment,2.0,7500000.0,Sale,Badda,bproperty-168,1,3,4,3
1500.0,Apartment,3.0,7800000.0,Sale,Mirpur,bproperty-170,0,1,5,3
1500.0,Apartment,0.0,13500000.0,Sale,Uttara,bproperty-172,1,2,5,3
1340.0,Apartment,0.0,15200000.0,Sale,Uttara,bproperty-177,1,1,1,3
1340.0,Apartment,0.0,15200000.0,Sale,Uttara,bproperty-178,1,1,1,3
1352.0,Apartment,3.0,12500000.0,Sale,Badda,bproperty-179,0,3,4,4
1350.0,Apartment,3.0,12800000.0,Sale,Motijheel,bproperty-182,0,2,2,3
1600.0,Apartment,3.0,9500000.0,Sale,Mirpur,bproperty-183,2,2,2,4
1365.0,Apartment,3.0,7500000.0,Sale,Turag,bproperty-189,1,0,2,4
1450.0,Apartment,3.0,7000000.0,Sale,Shyampur,bproperty-190,1,0,1,3
1140.0,Apartment,3.0,7500000.0,Sale,Mirpur,bproperty-192,2,2,2,4
1450.0,Apartment,3.0,9500000.0,Sale,Uttara,bproperty-198,2,3,3,4
1200.0,Apartment,3.0,7500000.0,Sale,Mirpur,bproperty-200,0,0,2,3
1175.0,Apartment,3.0,7350000.0,Sale,Mirpur,bproperty-201,0,0,2,3
1140.0,Apartment,3.0,7500000.0,Sale,Mirpur,bproperty-202,2,2,2,4
1265.0,Apartment,3.0,7890000.000000001,Sale,Mirpur,bproperty-205,0,0,2,3
1450.0,Apartment,3.0,11500000.0,Sale,Banasree,bproperty-206,0,3,4,3
1489.0,Apartment,4.0,15000000.0,Sale,Uttara,bproperty-212,0,2,3,4
1120.0,Apartment,0.0,7500000.0,Sale,Turag,bproperty-215,1,0,1,3
1311.0,Apartment,0.0,8200000.0,Sale,Banasree,bproperty-217,1,2,2,3
1700.0,Apartment,3.0,13500000.0,Sale,Uttara,bproperty-218,0,1,3,4
1220.0,Apartment,0.0,8500000.0,Sale,Turag,bproperty-219,1,0,1,3
1300.0,Apartment,0.0,7000000.0,Sale,Mohammadpur,bproperty-221,1,1,1,3
