title,num_bed,num_bath,area,amenities,location,building_type,purpose,price_in_BDT,details,listing_url
2500 SQFT FURNISHED APARTMENT @GULSHAN-2, 3 bd, 3 ba, 2500 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent, 200000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  400000,",http://www.rentalhomebd.com/properties/2500-sqft-furnished-apartment-at-gulshan-2/478
An unfurnished 2165 SQFT apartment up for rent @Banani, 3 bd, 3 ba, 2165 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 145000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  290000,",http://www.rentalhomebd.com/properties/an-unfurnished-2165-sqft-apartment-up-for-rent-at-banani/481
A furnished apartment of 2300SQFT @Gulshan area, 3 bd, 3 ba, 2300 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 170000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  340000,",http://www.rentalhomebd.com/properties/a-furnished-apartment-of-2300sqft-at-gulshan-area/479
A SEMI FURNISHED APARTMENT @GULSHAN, 3 bd, 3 ba, 1550 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  7000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-at-gulshan/480
An unfurnished 2165 SQFT apartment up for rent @Banani, 3 bd, 3 ba, 2165 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties/an-unfurnished-2165-sqft-apartment-up-for-rent-at-banani/482
Furnished apartment up for rent @Gulshan, 3 bd, 3 ba, 2200 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties/furnished-apartment-up-for-rent-at-gulshan/483
A fully furnished apartment is up for rent @ Banani, 3 bd, 4 ba, 2500 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 200000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  400000,",http://www.rentalhomebd.com/properties/a-fully-furnished-apartment-is-up-for-rent-at-banani/454
A SEMI FURNISHED APARTMENT @BANANI, 4 bd, 5 ba, 3200 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 210000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  13000,,Advance Deposit:  420000,",http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-at-banani/455
A 5500SQFT apartment is up for rent @Banani, 5 bd, 5 ba, 5500 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 600000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  30000,,Advance Deposit:  1200000,",http://www.rentalhomebd.com/properties/a-5500sqft-apartment-is-up-for-rent-at-banani/456
Unfurnished apartment is now up for rent at @Gulshan area, 4 bd, 4 ba, 3500 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan-1, Gulshan-1, Dhaka",Apartment/Flats,Rent, 320000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  640000,",http://www.rentalhomebd.com/properties/unfurnished-apartment-is-now-up-for-rent-at-at-gulshan-area/458
