title,num_bed,num_bath,area,amenities,location,building_type,purpose,price_in_BDT,details,listing_url
2700 sqft Furnished Apartment for Rent @ Banani, 3 bd, 4 ba, 2700 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Visitor's Car Parking,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  13000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties/2700-sqft-furnished-apartment-for-rent-at-banani/253
2300 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 4 ba, 2300 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 95000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  8000,,Advance Deposit:  190000,",http://www.rentalhomebd.com/properties/2300-sqft-unfurnished-apartment-for-rent-at-banani/254
3300 sqft Unfurnished Duplex Apartment for Rent @ Banani, 4 bd, 5 ba, 3300 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Duplex Home,Rent, 130000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties/3300-sqft-unfurnished-apartment-for-rent-at-banani/223
1790 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 3 ba, 1790 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 80000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  160000,",http://www.rentalhomebd.com/properties/1790-sqft-unfurnished-apartment-for-rent-at-banani/224
1833 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 4 ba, 1833 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 110000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  220000,",http://www.rentalhomebd.com/properties/1833-sqft-unfurnished-apartment-for-rent-at-banani/225
2600 sqft Furnished Apartment for Rent @ Banani, 3 bd, 3 ba, 2600 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  9,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Service Charge:  15000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties/2600-sqft-furnished-apartment-for-rent-at-banani/226
2200 sqft Semi-furnished Apartment for Rent @ Banani, 3 bd, 3 ba, 2200 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 100000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  7500,,Advance Deposit:  200000,",http://www.rentalhomebd.com/properties/2200-sqft-semi-furnished-apartment-for-rent-at-banani/227
1675 sqft Unfurnished Apartment for Rent @ Banani, 4 bd, 4 ba, 1675 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 95000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  6500,,Advance Deposit:  190000,",http://www.rentalhomebd.com/properties/1675-sqft-unfurnished-apartment-for-rent-at-banani/228
2110 sqft furnished Apartment for Rent @ Banani, 3 bd, 3 ba, 2110 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 110000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  8000,,Advance Deposit:  220000,",http://www.rentalhomebd.com/properties/2110-sqft-furnished-apartment-for-rent-at-banani/229
2100 sqft Unfurnished Apartments for Rent @ Baridhara J Block, 3 bd, 4 ba, 2100 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 80000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  7000,,Advance Deposit:  160000,",http://www.rentalhomebd.com/properties/2100-sqft-unfurnished-apartments-for-rent-at-baridhara-j-block/230
4000 sqft Semi-furnished Apartment for Rent @ Baridhara Diplomatic Zone, 4 bd, 5 ba, 4000 sqft,"Intercom,Wi-Fi,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 330000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  20000,,Advance Deposit:  660000,",http://www.rentalhomebd.com/properties/4000-sqft-semi-furnished-apartment-for-rent-at-baridhara-diplomatic-zone/231
2600 sqft Furnished Apartment for Rent @ Gulshan-1, 3 bd, 3 ba, 2600 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Gulshan-1, Dhaka, Gulshan-1, Dhaka",Apartment/Flats,Rent, 230000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  12000,,Advance Deposit:  460000,",http://www.rentalhomebd.com/properties/2600-sqft-furnished-apartment-for-rent-at-gulshan-1/232
2700 sqft Semi-furnished Apartment with Swimming Pool and Gym facilities for Rent @ Gulshan-1, 3 bd, 3 ba, 2700 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Emergency Exit,Elevator,Security Guard,CCTV,WASA,Guard's Room,Gymnasium,Swimming Pool,Child Allowed","Gulshan-1, Dhaka, Gulshan-1, Dhaka",Apartment/Flats,Rent, 235000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  470000,",http://www.rentalhomebd.com/properties/2700-sqft-semi-furnished-apartment-for-rent-at-gulshan-1/233
2800 sqft Furnished Apartment for Rent @ Gulshan-2, 3 bd, 4 ba, 2800 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Gulshan-2, Dhaka, Gulshan-2, Dhaka",Apartment/Flats,Rent, 220000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  440000,",http://www.rentalhomebd.com/properties/2800-sqft-furnished-apartment-for-rent-at-gulshan-2/236
2700 sqft Unfurnished Apartment for Rent @ Gulshan-2, 3 bd, 3 ba, 2700 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Gulshan-2, Dhaka, Gulshan-2, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties/2700-sqft-unfurnished-apartment-for-rent-at-gulshan-2/235
2000 sqft Apartment for Rent @ Gulshan-2, 3 bd, 4 ba, 2000 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Gulshan-2, Dhaka, Gulshan-2, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties/2000-sqft-apartment-for-rent-at-gulshan-2/234
2800 sqft Furnished Apartment with Swimming Pool and Gym facilities for Rent @ Gulshan-2, 4 bd, 5 ba, 2800 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Visitor's Car Parking,Gymnasium,Swimming Pool,Child Allowed","Gulshan-2, Dhaka, Gulshan-2, Dhaka",Apartment/Flats,Rent, 200000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  12,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  17000,,Advance Deposit:  400000,",http://www.rentalhomebd.com/properties/2800-sqft-furnished-apartment-with-swimming-pool-and-gym-facilities-for-rent-at-gulshan-2/237
3200 sqft Furnished Apartment with for Rent @ Baridhara Diplomatic Zone, 4 bd, 5 ba, 3200 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 280000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  560000,",http://www.rentalhomebd.com/properties/3000-sqft-furnished-apartment-with-for-rent-at-baridhara-diplomatic-zone/238
2450 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 4 ba, 2450 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 175000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  350000,",http://www.rentalhomebd.com/properties/2450-sqft-unfurnished-apartment-for-rent-at-banani/207
2600 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 3 ba, 2600 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  11000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties/2600-sqft-unfurnished-apartment-for-rent-at-banani/208
2500 sqft Furnished Apartment for Rent @ Banani, 3 bd, 3 ba, 2500 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 155000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Balcony:  No,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  12000,,Advance Deposit:  465000,",http://www.rentalhomebd.com/properties/2500-sqft-furnished-apartment-for-rent-at-banani/209
2515 sqft Unfurnished Apartment for Rent @ Banani, 4 bd, 5 ba, 2515 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 150000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  8000,,Advance Deposit:  300000,",http://www.rentalhomebd.com/properties/2515-sqft-unfurnished-apartment-for-rent-at-banani/210
1350 sqft Unfurnished Apartment for Rent @ Baridhara J Block, 3 bd, 2 ba, 1350 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 75000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Service Charge:  5000,,Advance Deposit:  150000,",http://www.rentalhomebd.com/properties/1350-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/212
1500 sqft Unfurnished Apartment for Rent @ Baridhara J Block, 3 bd, 3 ba, 1500 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 80000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  5000,,Advance Deposit:  160000,",http://www.rentalhomebd.com/properties/1500-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/211
2200 sqft Unfurnished Apartment for Rent @ Baridhara J Block, 3 bd, 4 ba, 2200 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 98000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  7000,,Advance Deposit:  196000,",http://www.rentalhomebd.com/properties/2200-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/213
1100 sqft Unfurnished Apartment for Rent @ Baridhara J Block, 3 bd, 3 ba, 1100 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 82000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Balcony:  Yes,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  4700,,Advance Deposit:  164000,",http://www.rentalhomebd.com/properties/1100-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/214
2000 sqft Semi-furnished Apartment for Rent @ Baridhara J Block, 3 bd, 4 ba, 2000 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 80000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  5000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties/2000-sqft-semi-furnished-apartment-for-rent-at-baridhara-j-block/216
1400 sqft Furnished Apartment for Rent @ Baridhara J Block, 2 bd, 3 ba, 1400 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 70000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  7,,Balcony:  No,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  5000,,Advance Deposit:  140000,",http://www.rentalhomebd.com/properties/1400-sqft-furnished-apartment-for-rent-at-baridhara-j-block/215
3400 sqft Unfurnished Apartment for Rent @ Baridhara J Block, 4 bd, 4 ba, 3400 sqft,"Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 100000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  200000,",http://www.rentalhomebd.com/properties/3400-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/217
1150 sqft Unfurnished Apartment for Rent @ Baridhara J Block, 3 bd, 2 ba, 1150 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 77000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Advance Deposit:  154000,",http://www.rentalhomebd.com/properties/1150-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/218
2000 sqft Unfurnished Apartment for Rent @ Baridhara J Block, 3 bd, 3 ba, 2000 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room,Child Allowed","Baridhara J Block, Dhaka, Baridhara J Block, Dhaka",Apartment/Flats,Rent, 90000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  5000,,Advance Deposit:  180000,",http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-apartment-for-rent-at-baridhara-j-block/219
1700 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 3 ba, 1700 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 95000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  6500,,Advance Deposit:  190000,",http://www.rentalhomebd.com/properties/1700-sqft-unfurnished-apartment-for-rent-at-banani/221
1700 sqft Unfurnished Apartment for Rent @ Banani, 2 bd, 3 ba, 1700 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 100000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  5000,,Advance Deposit:  200000,",http://www.rentalhomebd.com/properties/1700-sqft-unfurnished-apartment-for-rent-at-banani/220
2000 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 3 ba, 2000 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 100000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  6000,,Advance Deposit:  200000,",http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-apartment-for-rent-at-banani/222
1620 sqft Furnished Apartment for Rent @ Banani, 2 bd, 3 ba, 1620 sqft,"Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed,Driver Room","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 95000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  5500,,Advance Deposit:  190000,",http://www.rentalhomebd.com/properties/1620-sqft-furnished-apartment-for-rent-at-banani/191
1880 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 3 ba, 1880 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties/1880-sqft-unfurnished-apartment-for-rent-at-banani/192
1700 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 4 ba, 1700 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 110000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  7000,,Advance Deposit:  220000,",http://www.rentalhomebd.com/properties/1700-sqft-unfurnished-apartment-for-rent-at-banani/193
2300 sqft Furnished Apartment for Rent @ Banani, 3 bd, 3 ba, 2300 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 125000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  250000,",http://www.rentalhomebd.com/properties/2300-sqft-furnished-apartment-for-rent-at-banani/194
2700 sqft Semi-furnished Apartment for Rent @ Banani, 3 bd, 2 ba, 2700 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  9000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties/2700-sqft-semi-furnished-apartment-for-rent-at-banani/195
1740 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 4 ba, 1740 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 90000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Service Charge:  6000,,Advance Deposit:  180000,",http://www.rentalhomebd.com/properties/1740-sqft-unfurnished-apartment-for-rent-at-banani/196
2100 sqft Unfurnished Apartment for Rent @ Banani, 3 bd, 3 ba, 2100 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  10000,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties/2100-sqft-unfurnished-apartment-for-rent-at-banani/197
