area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,dining,floor,floor_type,living,location,parking_space,price_per_month,property_type
1200,2,2,3,1,Space,1st,,Space,"Uttara West, Dhaka, Bangladesh",1,"45,000.00৳",Furnished Apartment
1950,3,,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"2,00,000.00৳",Furnished Apartment
2200,1,2,1,1,Space,13th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2400,2,,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2700,2,,4,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2200,4,2,4,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,80,00,000.00৳",Furnished Apartment
1750,2,3,3,1,Space,2nd,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"37,000.00৳",Furnished Apartment
1000,1,2,3,1,Space,6th,,Space,"Motijheel, Dhaka, Bangladesh",1,"20,000.00৳",Furnished Apartment
1350,2,3,3,1,Room,1st,,Room,"Rampura, Dhaka, Bangladesh",1,"35,000.00৳",Furnished Apartment
1600,2,3,3,1,Space,4th,,Space,"Uttara East, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2200,2,3,3,1,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3400,2,,4,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
4500,5,4,7,1,Space,2nd,,Space,"DOHS Mohakhali, Dhaka, Bangladesh",2,"80,000.00৳",Furnished Apartment
1500,2,2,3,1,Space,1st,,Space,"Uttara West, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
4500,4,4,4,,Space,2nd,,Room,"DOHS Banani, Dhaka, Bangladesh",2,"2,20,000.00৳",Furnished Apartment
1250,2,1,3,1,Space,2nd,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
1985,2,2,3,1,Space,3rd,,Space,"Uttara West, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1200,1,2,2,1,Space,8th,,Space,"Uttara West, Dhaka, Bangladesh",1,"40,000.00৳",Furnished Apartment
1800,2,2,3,1,Space,4th,,Space,"Uttara West, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1200,2,2,3,1,Space,Ground,,Space,"Uttara West, Dhaka, Bangladesh",1,"45,000.00৳",Furnished Apartment
1620,3,3,3,,Room,3rd,,Room,"Aftabnagar, Dhaka, Bangladesh",1,"30,000.00৳",Furnished Apartment
1557,2,2,3,1,Space,4th,,Space,"Adabor, Dhaka, Bangladesh",,"25,000.00৳",Furnished Apartment
2800,3,2,3,1,Space,1st,,Room,"Gulshan 1, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
4500,5,,5,1,Room,2,,Room,"Baridhara, Dhaka, Bangladesh",2,"4,00,000.00৳",Furnished Apartment
3000,3,4,3,1,Room,2nd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
1650,2,2,3,1,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
3962,4,3,4,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"3,00,000.00৳",Furnished Apartment
4500,5,2,5,1,Room,1st,,Room,"Baridhara, Dhaka, Bangladesh",2,"4,00,000.00৳",Furnished Apartment
4100,3,2,3,1,Room,2nd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"2,60,000.00৳",Furnished Apartment
2700,3,,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2550,4,1,4,,Space,2nd,,Space,"DOHS Mohakhali, Dhaka, Bangladesh",,"1,00,000.00৳",Furnished Apartment
2000,3,2,3,1,Room,2nd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2500,3,3,3,1,Room,3rd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2300,3,2,3,1,Room,4th,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2200,1,2,2,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2750,4,2,4,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2400,3,3,3,1,Space,7th,,Space,"Baridhara, Dhaka, Bangladesh",1,"3,70,000.00৳",Furnished Apartment
4000,3,2,4,1,Room,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"4,25,000.00৳",Furnished Apartment
2200,3,1,3,,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
