area,attach_bathrooms,bedrooms,common_bathrooms,floor,floor_type,location,price_per_sft
1550,3,3,1,1st,3,"Mirpur, Dhaka, Bangladesh","6,400.00৳"
3515,4,4,Space,4th,2,"Baridhara, Dhaka, Bangladesh","9,00,00,000.00৳"
1727,3,3,1,9th,Tiled,"Banani, Dhaka, Bangladesh",Negotiable
3650,5,6,1,1st,5,"Baridhara, Dhaka, Bangladesh","27,000.00৳"
2460,4,3,1,4th,3,"Gulshan 2, Dhaka, Bangladesh","13,300.00৳"
3000,3,3,1,3rd,3,"Gulshan 1, Dhaka, Bangladesh","17,000.00৳"
800,1,3,1,3rd,Tiled,"Kamrangir Char, Dhaka, Bangladesh","3,000.00৳"
1360,2,3,1,8th,Tiled,"Mohakhali, Dhaka, Bangladesh","5,900.00৳"
1150,1,3,1,1st,Tiled,"Airport, Dhaka, Bangladesh","4,500.00৳"
1950,3,4,1,4th,3,"Pallabi , Dhaka, Bangladesh","6,500.00৳"
1865,3,3,1,4th,3,"Mirpur, Dhaka, Bangladesh","6,600.00৳"
150,2,3,1,4th,Tiled,"Vatara , Dhaka, Bangladesh","5,500.00৳"
8,2365,5.50,8,1st,Room,"Uttara West, Dhaka, Bangladesh","2,15,00,000.00৳"
1250,2,3,1,3rd,Tiled,"DOHS Mirpur, Dhaka, Bangladesh","7,200.00৳"
3200,2,3,1,1st,2,"Baridhara, Dhaka, Bangladesh","14,063.00৳"
2600,3,3,1,5th,3,"DOHS Mohakhali, Dhaka, Bangladesh","11,000.00৳"
1615,2,3,1,Ground,1,"Chapainawabganj Sadar, Nawabganj, Bangladesh","3,50,00,000.00৳"
1150,2,2,1,5th,Tiled,"DOHS Mirpur, Dhaka, Bangladesh","7,000.00৳"
1059,2,2,Space,3rd,1,"Bashundhara RA, Dhaka, Bangladesh","6,375.00৳"
5365,4,4,1,7th,3,"Gulshan 2, Dhaka, Bangladesh","19,000.00৳"
3300,1,2,1,6th,3,"Badda, Dhaka, Bangladesh",Negotiable
2880,3,3,Space,5th,Tiled,"Gulshan 1, Dhaka, Bangladesh",Negotiable
1690,2,3,1,5th,1,"Uttara West, Dhaka, Bangladesh","6,300.00৳"
1100,2,3,1,1st,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,300.00৳"
1700,2,3,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,470.00৳"
1100,2,3,1,1st,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,300.00৳"
1300,2,3,1,2nd,Tiled,"DOHS Baridhara, Dhaka, Bangladesh","7,600.00৳"
1650,2,2,1,8th,Tiled,"Baridhara, Dhaka, Bangladesh","6,000.00৳"
3500,3,3,1,3rd,4,"Gulshan 2, Dhaka, Bangladesh","28,000.00৳"
3400,2,4,1,2nd,5,"Gulshan 2, Dhaka, Bangladesh","18,000.00৳"
1350,3,3,Space,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","5,600.00৳"
3350,3,3,1,9th,2,"Banani, Dhaka, Bangladesh","13,500.00৳"
1300,2,3,1,6th,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,000.00৳"
1850,3,3,1,6th,3,"Banani, Dhaka, Bangladesh","14,000.00৳"
1440,3,3,1,8th,Tiled,"Pallabi , Dhaka, Bangladesh","5,300.00৳"
3000,2,3,1,4th,1,"Gulshan 1, Dhaka, Bangladesh",Negotiable
2200,3,4,1,3rd,4,"Mirpur, Dhaka, Bangladesh","10,000.00৳"
2200,2,3,1,3rd,1,"Mirpur, Dhaka, Bangladesh","7,500.00৳"
2200,4,4,Space,3rd,1,"DOHS Mirpur, Dhaka, Bangladesh","8,636.00৳"
1638,4,3,1,1st,2,"DOHS Banani, Dhaka, Bangladesh","16,000.00৳"
13000,2,2,1,5th,Tiled,"Mirpur, Dhaka, Bangladesh","3,900.00৳"
1300,2,3,1,4th,Tiled,"DOHS Mohakhali, Dhaka, Bangladesh","12,000.00৳"
550,1,2,Space,5th,,"Lalbag, Dhaka, Bangladesh","4,300.00৳"
775,2,2,Space,7th,Tiled,"Uttara West, Dhaka, Bangladesh","5,170.00৳"
1440,2,4,1,5th,2,"Gulshan 1, Dhaka, Bangladesh","14,000.00৳"
1570,2,3,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh","7,500.00৳"
2200,2,3,1,6th,2,"DOHS Mirpur, Dhaka, Bangladesh",Negotiable
1685,3,3,Space,7th,1,"Moghbazar, Dhaka, Bangladesh","6,825.00৳"
1915,3,3,Space,4th,Tiled,"Baridhara, Dhaka, Bangladesh","15,700.00৳"
1300,2,3,1,2nd,Tiled,"Cantonment, Dhaka, Bangladesh","4,300.00৳"
1217,2,3,1,11th,Tiled,"Hazaribag , Dhaka, Bangladesh",Negotiable
1500,2,3,1,4th,Tiled,"Mohammadpur , Dhaka, Bangladesh","1,40,00,000.00৳"
3000,3,4,1,5th,4,"Gulshan 1, Dhaka, Bangladesh","13,000.00৳"
1522,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1800,2,3,1,Ground,1,"Gulshan 1, Dhaka, Bangladesh","9,000.00৳"
4350,6,1,Space,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","8,500.00৳"
1385,3,3,Space,2nd,Tiled,"Badda, Dhaka, Bangladesh","6,000.00৳"
1600,2,3,1,6th,Tiled,"Banani, Dhaka, Bangladesh","11,000.00৳"
1350,2,3,1,1st,Tiled,"Gulshan 1, Dhaka, Bangladesh","10,000.00৳"
1300,2,3,1,2nd,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,200.00৳"
1403,2,4,1,14th,Tiled,"Wari, Dhaka, Bangladesh",Negotiable
970,2,3,1,8th,2,"Wari, Dhaka, Bangladesh","6,000.00৳"
2900,2,4,1,3rd,2,"Banani, Dhaka, Bangladesh","13,800.00৳"
1150,1,3,1,5th,2,"Wari, Dhaka, Bangladesh","7,000.00৳"
1150,1,3,1,3rd,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,782.00৳"
1200,2,3,1,4th,Tiled,"Wari, Dhaka, Bangladesh",Negotiable
1368,2,3,1,1st,Tiled,"Wari, Dhaka, Bangladesh","6,000.00৳"
2770,3,3,Space,8th,Tiled,"Banani, Dhaka, Bangladesh","13,000.00৳"
1125,3,3,Space,2nd,1,"Mohammadpur , Dhaka, Bangladesh","5,245.00৳"
1520,1,3,1,2nd,Tiled,"Wari, Dhaka, Bangladesh",Negotiable
1120,2,2,Space,7th,,"Vatara , Dhaka, Bangladesh","6,000.00৳"
1675,2,2,1,8th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","85,00,000.00৳"
1570,1,3,1,3rd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,400.00৳"
1587,3,3,Space,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","7,300.00৳"
990,1,2,1,5th,Tiled,"Vatara , Dhaka, Bangladesh","4,500.00৳"
1250,2,3,1,4th,Tiled,"Vatara , Dhaka, Bangladesh","5,040.00৳"
900,2,3,1,2nd,Tiled,"Vatara , Dhaka, Bangladesh","5,000.00৳"
1650,2,3,1,8th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,500.00৳"
1235,1,3,1,3rd,Tiled,"Vatara , Dhaka, Bangladesh","4,600.00৳"
4,2,2,1,2nd,Tiled,"Uttarkhan, Dhaka, Bangladesh",Negotiable
1250,3,3,1,6th,Tiled,"Vatara , Dhaka, Bangladesh","5,600.00৳"
1100,2,3,1,2nd,2,"Uttara West, Dhaka, Bangladesh",Negotiable
4200,4,4,Room,8th, Other,"Uttara East, Dhaka, Bangladesh","9,500.00৳"
1850,2,3,1,6th,Tiled,"Vatara , Dhaka, Bangladesh","6,532.00৳"
1500,3,4,1,1st,Tiled,"Uttarkhan, Dhaka, Bangladesh","3,500.00৳"
1727,3,1,Room,9th,,"Banani, Dhaka, Bangladesh",Negotiable
950,1,2,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh","6,500.00৳"
1250,1,3,1,4th,Tiled,"Badda, Dhaka, Bangladesh","6,800.00৳"
970,1,3,1,2nd,Tiled,"Badda, Dhaka, Bangladesh","5,100.00৳"
1150,2,3,1,7th,Tiled,"Uttara West, Dhaka, Bangladesh","4,800.00৳"
950,1,2,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh","4,800.00৳"
860,1,2,1,5th,Tiled,"Uttarkhan, Dhaka, Bangladesh","4,200.00৳"
1207,2,3,1,3rd,Tiled,"Vatara , Dhaka, Bangladesh","4,500.00৳"
1238,1,3,1,2nd,Tiled,"Vatara , Dhaka, Bangladesh","5,000.00৳"
1400,2,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1335,2,3,1,2nd,2,"Uttara West, Dhaka, Bangladesh","6,745.00৳"
1755,3,3,1,5th,3,"Uttara West, Dhaka, Bangladesh","4,700.00৳"
850,1,2,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","5,800.00৳"
1850,3,3,1,5th,,"Uttara West, Dhaka, Bangladesh","4,702.00৳"
725,2,2,Space,4th,,"Uttarkhan, Dhaka, Bangladesh","3,200.00৳"
1100,1,3,1,6th,Tiled,"Daskhinkhan, Dhaka, Bangladesh","4,100.00৳"
930,2,2,Space,2nd,1,"Badda, Dhaka, Bangladesh","4,400.00৳"
1650,3,3,Space,10th,Tiled,"Uttara West, Dhaka, Bangladesh","4,900.00৳"
970,3,3,1,2nd,Tiled,"Badda, Dhaka, Bangladesh","5,200.00৳"
1600,3,3,Space,6th,Tiled,"Uttara West, Dhaka, Bangladesh","4,600.00৳"
1300,2,3,1,4th,Tiled,"Aftabnagar, Dhaka, Bangladesh","5,500.00৳"
1300,2,3,1,3rd,Tiled,"Uttarkhan, Dhaka, Bangladesh","4,200.00৳"
3350,3,3,Space,3rd,Tiled,"Dhanmondi, Dhaka, Bangladesh","15,000.00৳"
1900,2,2,Space,5th,,"Uttara West, Dhaka, Bangladesh","8,000.00৳"
1575,2,3,1,4th,3,"Uttara West, Dhaka, Bangladesh","6,800.00৳"
5000,3,4,1,6th,Tiled,"Uttara West, Dhaka, Bangladesh","6,000.00৳"
1400,3,3,Space,3rd,Tiled,"Uttara East, Dhaka, Bangladesh","4,300.00৳"
1720,3,3,Space,6th,1,"Uttara West, Dhaka, Bangladesh","11,000.00৳"
1630,2,3,1,6th,Tiled,"Uttara West, Dhaka, Bangladesh","8,000.00৳"
850,1,2,1,6th,Tiled,"Uttara West, Dhaka, Bangladesh","6,120.00৳"
1350,3,3,Space,6th,,"Mirpur, Dhaka, Bangladesh","4,445.00৳"
1600,2,3,1,3rd,Tiled,"Badda, Dhaka, Bangladesh","56,00,000.00৳"
850,1,2,1,4th,Tiled,"Vatara , Dhaka, Bangladesh","5,625.00৳"
1150,2,3,Space,4th,Tiled,"Daskhinkhan, Dhaka, Bangladesh","4,800.00৳"
2467,2,3,1,6th,2,"Badda, Dhaka, Bangladesh","10,134.00৳"
1895,3,4,1,3rd,2,"Uttara West, Dhaka, Bangladesh","1,36,44,000.00৳"
1895,3,4,Space,7th,Tiled,"Uttara West, Dhaka, Bangladesh","6,500.00৳"
1510,2,3,1,3rd,Tiled,"Uttara West, Dhaka, Bangladesh","5,900.00৳"
1338,2,2,1,6th,1,"Uttara West, Dhaka, Bangladesh","5,605.00৳"
1877,1,2,1,10th,Tiled,"Badda, Dhaka, Bangladesh",Negotiable
1450,2,3,1,2nd,Tiled,"Badda, Dhaka, Bangladesh",Negotiable
1805,5,4,Space,4th,Tiled,"Uttara West, Dhaka, Bangladesh","1,75,00,000.00৳"
1050,2,3,Room,7th,,"Uttara West, Dhaka, Bangladesh","4,900.00৳"
1951,2,3,1,3rd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,700.00৳"
1800,4,4,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","6,000.00৳"
1400,2,3,1,8th,Tiled,"Mirpur, Dhaka, Bangladesh","4,500.00৳"
2,1,3,Space,2nd,,"Uttara West, Dhaka, Bangladesh","6,000.00৳"
1300,2,3,1,4th,1,"Uttara West, Dhaka, Bangladesh","8,500.00৳"
1800,5,5,Room,Ground,,"Moghbazar, Dhaka, Bangladesh","4,000.00৳"
900,1,2,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","6,700.00৳"
1626,3,3,Space,3rd,,"Badda, Dhaka, Bangladesh",Negotiable
850,1,2,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","6,000.00৳"
3000,3,4,1,6th,4,"Uttara West, Dhaka, Bangladesh","10,000.00৳"
650,1,2,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","4,300.00৳"
1064,2,3,1,1st,Tiled,"Badda, Dhaka, Bangladesh","5,500.00৳"
1000,2,3,Space,6th,,"Mirpur, Dhaka, Bangladesh","3,200.00৳"
850,2,3,1,1st,Tiled,"Badda, Dhaka, Bangladesh","4,235.00৳"
1132,1,2,1,10th,Tiled,"Badda, Dhaka, Bangladesh","6,000.00৳"
3200,4,4,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","10,500.00৳"
2500,3,3,1,5th,Tiled,"Uttara West, Dhaka, Bangladesh","18,000.00৳"
1530,2,3,1,7th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,000.00৳"
1200,2,3,1,1st,Tiled,"Uttara West, Dhaka, Bangladesh",Negotiable
1760,2,3,1,1st,Tiled,"Uttara West, Dhaka, Bangladesh","12,800.00৳"
1900,2,4,1,3rd,3,"Uttara West, Dhaka, Bangladesh","9,000.00৳"
1971,3,3,1,6th,Tiled,"Uttara West, Dhaka, Bangladesh","9,000.00৳"
1612,2,3,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","7,444.00৳"
1160,2,3,1,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,466.00৳"
900,1,2,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh",Negotiable
1100,1,2,1,12th,1,"Badda, Dhaka, Bangladesh","6,500.00৳"
750,1,2,1,5th,Tiled,"Badda, Dhaka, Bangladesh","5,000.00৳"
3208,3,4,1,3rd,2,"Uttara West, Dhaka, Bangladesh","12,468.00৳"
900,1,2,1,6th,Tiled,"Mirpur, Dhaka, Bangladesh","4,444.00৳"
1540,1,3,1,5th,3,"Uttara West, Dhaka, Bangladesh","5,500.00৳"
700,1,2,1,5th,Tiled,"Adabor, Dhaka, Bangladesh","4,500.00৳"
600,1,2,1,Ground,,"Adabor, Dhaka, Bangladesh",Negotiable
1700,2,3,1,5th,3,"Uttara West, Dhaka, Bangladesh",Negotiable
2033,2,3,1,14th,Tiled,"Uttara West, Dhaka, Bangladesh","6,000.00৳"
1950,3,3,1,7th,Tiled,"Uttara West, Dhaka, Bangladesh","5,000.00৳"
1472,3,4,1,8th,Tiled,"Uttara West, Dhaka, Bangladesh",Negotiable
650,1,2,Space,1st,,"Kalabagan, Dhaka, Bangladesh","10,000.00৳"
1587,3,3,1,1st,Tiled,"Uttara West, Dhaka, Bangladesh","7,561.00৳"
1575,3,4,1,6th,Tiled,"Uttara West, Dhaka, Bangladesh","6,350.00৳"
1850,2,4,1,6th,4,"Bashundhara RA, Dhaka, Bangladesh","6,500.00৳"
830,1,2,1,3rd,Tiled,"Adabor, Dhaka, Bangladesh","5,422.00৳"
1045,2,3,1,4th,Tiled,"Aftabnagar, Dhaka, Bangladesh",Negotiable
1735,3,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","8,000.00৳"
1410,2,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,400.00৳"
1650,3,4,1,Ground,Tiled,"Banani, Dhaka, Bangladesh","12,200.00৳"
1470,2,3,1,2nd,Tiled,"Adabor, Dhaka, Bangladesh","4,625.85৳"
1350,2,3,1,6th,Tiled,"Adabor, Dhaka, Bangladesh","4,444.00৳"
1450,1,3,1,5th,3,"Uttara West, Dhaka, Bangladesh","4,900.00৳"
1275,2,3,1,7th,Tiled,"Adabor, Dhaka, Bangladesh","5,000.00৳"
1050,2,3,1,6th,Tiled,"Uttara East, Dhaka, Bangladesh","4,286.00৳"
1150,2,3,1,5th,2,"Mirpur, Dhaka, Bangladesh","3,500.00৳"
1630,2,3,1,1st,3,"Uttara West, Dhaka, Bangladesh",Negotiable
1000,1,3,1,4th, Other,"Bashundhara RA, Dhaka, Bangladesh","3,000.00৳"
2400,2,3,1,10th,2,"Uttara West, Dhaka, Bangladesh","5,000.00৳"
1600,3,3,1,5th,Tiled,"Uttara West, Dhaka, Bangladesh",Negotiable
1520,2,3,1,5th,Tiled,"Uttara West, Dhaka, Bangladesh",Negotiable
1600,3,3,1,8th,Tiled,"Mohammadpur , Dhaka, Bangladesh","3,500.00৳"
1650,4,3,Space,3rd,Tiled,"Uttara East, Dhaka, Bangladesh","5,900.00৳"
2394,2,3,1,3rd,5,"Bashundhara RA, Dhaka, Bangladesh","7,200.00৳"
1430,3,3,1,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,500.00৳"
1125,2,3,1,4th,Tiled,"Moghbazar, Dhaka, Bangladesh","8,500.00৳"
2750,4,4,1,4th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,273.00৳"
1500,2,3,1,6th,3,"Uttara East, Dhaka, Bangladesh",Negotiable
4500,4,5,1,2nd,4,"Bashundhara RA, Dhaka, Bangladesh","9,500.00৳"
1610,2,3,2,4th,2,"Uttara West, Dhaka, Bangladesh","5,600.00৳"
1705,2,3,1,2nd,2,"Mirpur, Dhaka, Bangladesh","6,500.00৳"
950,1,2,1,6th,,"Uttara West, Dhaka, Bangladesh","4,300.00৳"
1567,2,3,1,3rd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,700.00৳"
1215,3,1,Room,3rd,,"Daskhinkhan, Dhaka, Bangladesh","4,500.00৳"
1470,1,3,1,4th,1,"Bashundhara RA, Dhaka, Bangladesh","6,122.00৳"
1550,2,4,1,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,000.00৳"
1550,2,4,1,3rd,Tiled,"Uttara West, Dhaka, Bangladesh","7,000.00৳"
1500,3,3,Space,1st,1,"Uttara West, Dhaka, Bangladesh","7,000.00৳"
1550,3,3,Space,4th,,"Bashundhara RA, Dhaka, Bangladesh","8,800.00৳"
1580,2,3,1,6th,3,"Uttara West, Dhaka, Bangladesh","9,150.00৳"
1296,2,3,1,8th,Tiled,"Mirpur, Dhaka, Bangladesh","4,900.00৳"
1200,2,3,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh",Negotiable
1550,2,3,1,3rd,3,"Bashundhara RA, Dhaka, Bangladesh","95,00,000.00৳"
1250,2,3,1,3rd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,400.00৳"
1500,2,3,1,4th,4,"Bashundhara RA, Dhaka, Bangladesh","7,500.00৳"
1900,3,3,1,4th,2,"Uttara West, Dhaka, Bangladesh","8,000.00৳"
1480,3,4,1,3rd,4,"Bashundhara RA, Dhaka, Bangladesh","4,500.00৳"
900,1,2,1,3rd,Tiled,"Mirpur, Dhaka, Bangladesh","5,600.00৳"
1300,3,4,1,4th,Mosaic,"Mirpur, Dhaka, Bangladesh","4,000.00৳"
1661,4,3,1,1st,4,"Banani, Dhaka, Bangladesh",Negotiable
1500,2,3,1,3rd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","8,000.00৳"
1315,2,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,000.00৳"
1035,2,3,Space,6th,,"Mohammadpur , Dhaka, Bangladesh","42,00,000.00৳"
1550,2,3,1,3rd,1,"Bashundhara RA, Dhaka, Bangladesh","1,10,00,000.00৳"
1200,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
2100,3,4,1,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","5,999.00৳"
1050,1,3,1,5th,Tiled,"Demra, Dhaka, Bangladesh","2,800.00৳"
1563,3,3,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","1,00,00,000.00৳"
2280,3,3,1,5th,Tiled,"Uttara East, Dhaka, Bangladesh","2,00,80,000.00৳"
1500,2,2,1,6th,3,"Bashundhara RA, Dhaka, Bangladesh","8,000.00৳"
3000,4,4,Space,4th,2,"Gulshan 1, Dhaka, Bangladesh","12,000.00৳"
1750,3,4,1,5th,Tiled,"Dhanmondi, Dhaka, Bangladesh","1,35,00,000.00৳"
1500,3,3,1,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","1,00,00,000.00৳"
1800,2,3,1,2nd,Mosaic,"Mirpur, Dhaka, Bangladesh","5,300.00৳"
2467,3,4,1,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,700.00৳"
1643,3,3,Space,9th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,500.00৳"
1435,2,3,1,4th,Tiled,"Ramna, Dhaka, Bangladesh","6,000.00৳"
1500,3,3,Space,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,133.00৳"
1727,2,3,1,12th,1,"Ramna, Dhaka, Bangladesh","10,000.00৳"
1450,2,3,1,3rd,Tiled,"Aftabnagar, Dhaka, Bangladesh","5,500.00৳"
1695,3,4,1,17th,Tiled,"Paltan, Dhaka, Bangladesh","10,325.00৳"
1500,3,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,670.00৳"
1400,2,3,1,9th,2,"Bashundhara RA, Dhaka, Bangladesh","7,857.00৳"
1530,3,3,Space,5th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,600.00৳"
1630,2,3,1,6th,Tiled,"Uttara West, Dhaka, Bangladesh","8,000.00৳"
1044,1,3,1,5th,Tiled,"Adabor, Dhaka, Bangladesh","4,790.00৳"
1700,3,3,1,3rd,3,"Bashundhara RA, Dhaka, Bangladesh","8,900.00৳"
1450,2,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,500.00৳"
2254,3,4,1,15th,Tiled,"Paltan, Dhaka, Bangladesh","12,000.00৳"
1650,2,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,200.00৳"
850,1,2,1,1st,Tiled,"Uttara West, Dhaka, Bangladesh","5,295.00৳"
2600,3,4,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","8,000.00৳"
1900,3,4,1,3rd,Tiled,"Uttara West, Dhaka, Bangladesh","5,000.00৳"
1000,2,3,1,5th,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,500.00৳"
1735,3,3,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,262.00৳"
2232,3,3,Space,3rd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,500.00৳"
1650,2,3,1,3rd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","8,000.00৳"
1975,3,3,Space,1st,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,000.00৳"
1450,1,3,1,5th,4,"Adabor, Dhaka, Bangladesh","5,863.00৳"
1050,3,3,1,10th,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,000.00৳"
2000,4,4,1,5th,2,"Bashundhara RA, Dhaka, Bangladesh","7,500.00৳"
1400,2,2,1,6th,Tiled,"Mohammadpur , Dhaka, Bangladesh","7,000.00৳"
1779,2,3,1,6th,4,"Mohammadpur , Dhaka, Bangladesh",Negotiable
1650,1,3,2,5th,2,"Paltan, Dhaka, Bangladesh","8,000.00৳"
1320,2,3,1,5th,Tiled,"Uttara West, Dhaka, Bangladesh","4,924.00৳"
1650,2,4,1,6th,Tiled,"Mohammadpur , Dhaka, Bangladesh","3,600.00৳"
2400,4,4,Space,7th,Tiled,"Uttara West, Dhaka, Bangladesh","10,000.00৳"
1677,2,3,1,1st,2,"Mohammadpur , Dhaka, Bangladesh","8,000.00৳"
1470,2,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,000.00৳"
1553,3,3,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh","5,000.00৳"
1000,1,2,1,1st,Tiled,"Banashree, Dhaka, Bangladesh","4,445.00৳"
1800,3,3,1,4th,Tiled,"Baridhara, Dhaka, Bangladesh","8,000.00৳"
1300,2,3,1,1st,Tiled,"Mohammadpur , Dhaka, Bangladesh","6,100.00৳"
1550,3,3,1,1st,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,000.00৳"
1900,3,4,Space,5th,Tiled,"Ramna, Dhaka, Bangladesh","13,000.00৳"
1285,1,3,1,6th,Tiled,"Mohammadpur , Dhaka, Bangladesh","40,00,000.00৳"
1595,2,3,1,13th,Tiled,"Mohammadpur , Dhaka, Bangladesh","7,500.00৳"
1900,2,4,1,6th,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,500.00৳"
1500,2,3,1,5th,Tiled,"Khilgaon, Dhaka, Bangladesh","7,500.00৳"
1350,3,4,1,2nd,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,900.00৳"
1020,2,3,Space,8th,,"Mohammadpur , Dhaka, Bangladesh","5,000.00৳"
900,1,2,1,4th,Tiled,"Mohammadpur , Dhaka, Bangladesh",Negotiable
850,1,2,1,6th,Tiled,"Nikunja, Dhaka, Bangladesh","8,750.00৳"
1530,2,3,1,3rd,Tiled,"Uttara East, Dhaka, Bangladesh","4,500.00৳"
1060,1,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","5,850.00৳"
1650,2,3,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh","1,05,00,000.00৳"
1285,2,3,1,5th,Tiled,"Malibagh, Dhaka, Bangladesh","7,400.00৳"
950,1,3,1,4th,,"Banashree, Dhaka, Bangladesh","3,200.00৳"
1863,3,3,Space,7th,Tiled,"Uttara West, Dhaka, Bangladesh","10,500.00৳"
1550,2,3,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","7,741.00৳"
1625,3,3,Space,7th,1,"Kalabagan, Dhaka, Bangladesh","6,600.00৳"
1200,2,3,1,8th,Tiled,"Rampura, Dhaka, Bangladesh",Negotiable
1170,2,3,1,2nd,Tiled,"Nikunja, Dhaka, Bangladesh","6,900.00৳"
1311,2,3,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","4,580.00৳"
1275,2,3,1,1st,Tiled,"Badda, Dhaka, Bangladesh","5,650.00৳"
1900,2,3,Space,8th,Tiled,"Baridhara, Dhaka, Bangladesh","8,500.00৳"
1045,1,3,1,2nd,Tiled,"Baridhara, Dhaka, Bangladesh","51,00,000.00৳"
1000,1,3,1,3rd,Mosaic,"Banashree, Dhaka, Bangladesh","5,00,000.00৳"
1750,2,3,1,2nd,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,290.00৳"
1100,2,3,1,3rd,Tiled,"Banashree, Dhaka, Bangladesh","5,000.00৳"
1225,1,3,1,15th,Tiled,"Khilkhet, Dhaka, Bangladesh","4,800.00৳"
1727,3,3,Room,9th,Tiled,"Banani, Dhaka, Bangladesh","1,95,00,000.00৳"
1125,2,3,1,7th,Tiled,"Banashree, Dhaka, Bangladesh","50,00,000.00৳"
1125,2,3,Space,6th,,"Banashree, Dhaka, Bangladesh","4,622.00৳"
700,1,3,Space,3rd,,"Kamrangir Char, Dhaka, Bangladesh","3,000.00৳"
1362,3,3,1,3rd,Tiled,"Banashree, Dhaka, Bangladesh","7,350.00৳"
1250,2,3,1,5th,Tiled,"Badda, Dhaka, Bangladesh",Negotiable
875,1,2,1,4th,Tiled,"Adabor, Dhaka, Bangladesh",Negotiable
1350,3,3,1,1st,Tiled,"Wari, Dhaka, Bangladesh","8,150.00৳"
1200,3,3,1,4th,Tiled,"Badda, Dhaka, Bangladesh",Negotiable
3340,3,3,1,8th,Tiled,"Banani, Dhaka, Bangladesh","4,50,00,000.00৳"
