area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
2180,3,4,4,1,7th,,"Bashundhara RA, Dhaka, Bangladesh",,"8,500.00৳",Apartment
3060,3,3,3,1,6th,,"Banani, Dhaka, Bangladesh",1,"1,750.00৳",Apartment
1238,1,1,2,1,4th,,"Vatara , Dhaka, Bangladesh",,"5,008.07৳",Apartment
1500,2,2,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",1,"2,600.00৳",Apartment
1450,2,2,3,1,4th,,"Badda, Dhaka, Bangladesh",,"5,000.00৳",Apartment
2248,2,3,3,1,6th,,"DOHS Mirpur, Dhaka, Bangladesh",1,"16,015.00৳",Apartment
866,1,1,2,1,1st,,"Nikunja, Dhaka, Bangladesh",1,"7,622.00৳",Apartment
1550,2,2,3,1,8th,,"Pallabi , Dhaka, Bangladesh",1,"6,774.19৳",Apartment
1700,3,4,4,1,4th,,"Mohammadpur , Dhaka, Bangladesh",1,"8,500.00৳",Apartment
830,1,2,2,1,4th,,"Mohammadpur , Dhaka, Bangladesh",,"5,602.00৳",Apartment
975,2,2,2,1,4th,,"Aftabnagar, Dhaka, Bangladesh",1,"8,718.00৳",Apartment
1560,3,2,3,,Ground,,"Gulshan 1, Dhaka, Bangladesh",,Negotiable,Apartment
1050,2,2,3,1,6th,,"Mohammadpur , Dhaka, Bangladesh",,Negotiable,Apartment
1263,2,2,3,1,7th,,"Basabo, Dhaka, Bangladesh",1,"7,126.00৳",Apartment
1750,2,2,3,1,Ground,,"Banashree, Dhaka, Bangladesh",1,"8,572.00৳",Apartment
1065,2,1,3,1,3rd,,"Wari, Dhaka, Bangladesh",1,"9,390.00৳",Apartment
1200,2,2,3,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"9,270.00৳",Apartment
1250,3,2,3,,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"10,000.00৳",Apartment
5000,,,6,4,4th,,"Malibagh, Dhaka, Bangladesh",1,"12,000.00৳",Apartment
900,1,2,2,1,6th,,"Nikunja, Dhaka, Bangladesh",1,"5,556.00৳",Apartment
1275,4,3,3,1,1st,,"Savar, Dhaka, Bangladesh",,"4,000.00৳",Apartment
850,1,1,3,1,6th,,"Mirpur, Dhaka, Bangladesh",1,"5,530.00৳",Apartment
13489,4,4,4,1,1st,,"Bashundhara RA, Dhaka, Bangladesh",,"10,500.00৳",Apartment
1600,2,2,3,1,7th,,"Mohammadpur , Dhaka, Bangladesh",,"9,500.00৳",Apartment
1395,2,,3,1,5th,,"Banashree, Dhaka, Bangladesh",,"7,300.00৳",Apartment
1050,2,2,3,,6th,,"Rampura, Dhaka, Bangladesh",,Negotiable,Apartment
1420,2,2,3,1,10th,,"Dhanmondi, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1057,1,1,3,1,6th,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment
2000,4,,4,,3rd,,"Baridhara, Dhaka, Bangladesh",,Negotiable,Apartment
3962,3,4,4,1,3rd,,"Vatara , Dhaka, Bangladesh",,"11,500.00৳",Apartment
750,1,1,2,1,5th,,"Motijheel, Dhaka, Bangladesh",,"8,000.00৳",Apartment
1520,2,3,3,1,1st,,"Mohammadpur , Dhaka, Bangladesh",1,"5,700.00৳",Apartment
1250,2,3,3,1,6th,,"Baridhara, Dhaka, Bangladesh",1,"4,700.00৳",Apartment
1297,2,2,3,1,6th,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment
1350,3,2,3,,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,630.00৳",Apartment
1300,2,1,3,,7th,,"DOHS Mohakhali, Dhaka, Bangladesh",,Negotiable,Apartment
4000,4,3,3,,6th,,"Gulshan 2, Dhaka, Bangladesh",2,"25,000.00৳",Apartment
1900,3,3,3,1,1st,,"Baridhara, Dhaka, Bangladesh",1,"7,895.00৳",Apartment
2250,3,3,3,,4th,,"Gulshan 2, Dhaka, Bangladesh",1,"16,000.00৳",Apartment
1900,3,3,3,1,7th,,"Baridhara, Dhaka, Bangladesh",1,"7,895.00৳",Apartment
1350,2,3,3,1,4th,,"Savar, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
2165,3,4,3,,7th,,"Gulshan 2, Dhaka, Bangladesh",1,Negotiable,Apartment
4000,4,3,4,,10th,,"Gulshan 2, Dhaka, Bangladesh",2,"25,000.00৳",Apartment
6500,5,2,5,,1st,,"Gulshan 1, Dhaka, Bangladesh",3,"18,462.00৳",Apartment
375,1,1,1,,4th,,"Bashundhara RA, Dhaka, Bangladesh",,Negotiable,Apartment
1580,2,3,3,1,5th,,"Mohammadpur , Dhaka, Bangladesh",,"5,600.00৳",Apartment
2150,3,4,4,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",,Negotiable,Apartment
1250,2,3,3,1,7th,,"Aftabnagar, Dhaka, Bangladesh",,"6,500.00৳",Apartment
1200,2,3,3,1,5th,,"Aftabnagar, Dhaka, Bangladesh",,"6,500.00৳",Apartment
2400,3,3,4,1,4th,,"Banani, Dhaka, Bangladesh",1,Negotiable,Apartment
1896,2,2,3,1,1st,,"Dhanmondi, Dhaka, Bangladesh",1,Negotiable,Apartment
1150,3,1,3,,3rd,,"Adabor, Dhaka, Bangladesh",1,"6,300.00৳",Apartment
1150,3,2,3,,7th,,"Adabor, Dhaka, Bangladesh",1,"6,300.00৳",Apartment
1290,3,,3,,1st,,"Mirpur, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1300,2,1,3,,9th,,"Aftabnagar, Dhaka, Bangladesh",1,Negotiable,Apartment
2360,3,3,3,,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,577.00৳",Apartment
2180,3,3,4,,1st,,"Bashundhara RA, Dhaka, Bangladesh",1,"10,466.00৳",Apartment
1625,2,3,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",1,Negotiable,Apartment
450,1,1,2,,1st,,"Mohammadpur , Dhaka, Bangladesh",,Negotiable,Apartment
1250,3,2,3,,4th,,"Mirpur, Dhaka, Bangladesh",,"6,800.00৳",Apartment
