area_sft,attach_bathrooms,bedrooms,common_bathrooms,floor,location,price,property_type,total_floor,,
1250,1,2,1,Tiled,"Barishal City, Barishal, Bangladesh","4,25,00,000.00৳",Independent House,3,,
,,,,,"Barishal City, Barishal, Bangladesh","1,00,00,000.00৳",Independent House,1,,
,,,,,"Feni Sadar, Feni, Bangladesh","70,00,000.00৳",Independent House,,,
,,,,,"Tejgaon, Dhaka, Bangladesh",Negotiable,Independent House,,,
,,,,,"Rangamati Sadar, Rangamati, Bangladesh",Negotiable,Independent House,,,
7200,3,3,1,Mosaic,"Sylhet City, Sylhet, Bangladesh","60,00,000.00৳",Independent House,1,,
,,,,,"Mohakhali, Dhaka, Bangladesh",Negotiable,Independent House,,,
,,,,,"Rajshahi City, Rajshahi, Bangladesh","2,10,00,000.00৳",Independent House,,,
,,,,,"Sylhet City, Sylhet, Bangladesh","60,00,000.00৳",Independent House,,,
,,,,,"Rangamati Sadar, Rangamati, Bangladesh",Negotiable,Independent House,,,
,,,,,"Tongi, Dhaka, Bangladesh","72,00,000.00৳",Independent House,1,,
,,,,,"Keraniganj, Dhaka, Bangladesh",Negotiable,Independent House,,,
1000,2,3,1,Tiled,"Mohakhali, Dhaka, Bangladesh",Negotiable,Independent House,6,,
,,,,,"Satkhira Sadar, Satkhira, Bangladesh",Negotiable,Independent House,,,
,,,,,"Chattogram City, Chattogram, Bangladesh","1,40,00,000.00৳",Independent House,,,
,,,,,"Sylhet City, Sylhet, Bangladesh","2,15,00,000.00৳",Independent House,,,
