area_sft,floor,location,price,property_type,,
228,8th,"Uttara West, Dhaka, Bangladesh",Negotiable,Shop,,
123,Ground,"Banani, Dhaka, Bangladesh",Negotiable,Shop,,Note: Prices are in takka
110,Ground,"Mirpur, Dhaka, Bangladesh","16,000.00৳",Shop,,
287,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
306,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
110,Ground,"Uttara West, Dhaka, Bangladesh","1,00,00,000.00৳",Shop,,
166,Ground,"Karwan Bazar, Dhaka, Bangladesh","78,314.00৳",Shop,,
1200,Ground,"Mirpur, Dhaka, Bangladesh","8,334.00৳",Shop,,
180,1st,"Jatrabari, Dhaka, Bangladesh","13,888.00৳",Shop,,
350,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
200,Ground,"Motijheel, Dhaka, Bangladesh","57,00,000.00৳",Shop,,
250,2nd,"Farmgate, Dhaka, Bangladesh","8,800.00৳",Shop,,
7615,Ground,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
15345,Ground,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
286,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
283,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
233,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
400,Ground,"Paltan, Dhaka, Bangladesh",Negotiable,Shop,,
343,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
283,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
300,7th,"Bashundhara RA, Dhaka, Bangladesh","70,000.00৳",Shop,,
336,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
376,Ground,"Paltan, Dhaka, Bangladesh",Negotiable,Shop,,
437,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
508,5th,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
9230,Ground,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
1926,3rd,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
