area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,dining,floor,floor_type,land_katha,living,location,parking_space,price_per_sft,property_type,view
940,1,1,2,1,,3rd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"8,000.00৳",Apartment,
1200,2,3,3,1,,2nd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"80,00,000.00৳",Apartment,
1360,2,2,3,1,,3rd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"6,200.00৳",Apartment,
1422,2,2,3,1,,3rd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"8,000.00৳",Apartment,
850,1,2,2,1,,5th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"6,705.88৳",Apartment,
1800,3,4,4,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"6,111.11৳",Apartment,
1360,2,2,3,1,,1st,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"6,200.00৳",Apartment,
1360,2,2,3,1,,2nd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"6,200.00৳",Apartment,
1255,2,2,3,1,,3rd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"8,000.00৳",Apartment,
1539,2,1,3,1,,3rd,Tiled,,,"Banashree, Dhaka, Bangladesh",,"12,500.00৳",Apartment,
1000,3,2,3,1,,3rd,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"7,000.00৳",Apartment,
1390,2,,3,1,,1st,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"9,352.52৳",Apartment,
1200,2,2,3,1,,5th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,Negotiable,Apartment,
1500,2,,3,1,,1st,Tiled,,,"Badda, Dhaka, Bangladesh",1,"9,000.00৳",Apartment,
3200,3,3,3,1,,2nd,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",2,"15,000.00৳",Apartment,
728,1,,2,1,,2nd,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",1,"6,457.00৳",Apartment,
950,1,2,3,1,,3rd,Tiled,,,"Sutrapur, Dhaka, Bangladesh",,"5,000.00৳",Apartment,
1700,1,2,3,1,,1st,Tiled,,,"Ramna, Dhaka, Bangladesh",1,"7,647.06৳",Apartment,
1310,2,1,3,1,,13th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"5,343.51৳",Apartment,
1350,2,3,3,1,,1st,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"5,555.50৳",Apartment,
1210,1,2,3,1,,2nd,Tiled,,,"Sabujbag, Dhaka, Bangladesh",1,"5,800.00৳",Apartment,
1050,1,1,3,1,,8th,Tiled,,,"Sabujbag, Dhaka, Bangladesh",,"7,619.00৳",Apartment,
4850,5,1,5,,,10th,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",2,"18,144.33৳",Apartment,
3470,4,4,4,1,,7th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"3,80,00,000.00৳",Apartment,
1600,2,3,3,1,,4th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
