area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,dining,floor,floor_type,land_katha,living,location,parking_space,price_per_sft,property_type,view
1300,2,3,3,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,538.00৳",Apartment,
1230,2,2,3,1,,1st,Tiled,,,"Basabo, Dhaka, Bangladesh",1,"8,800.00৳",Apartment,
1450,2,2,3,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,000.00৳",Apartment,
2030,3,4,4,1,,5th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
2019,2,2,3,1,,3rd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,430.00৳",Apartment,
1793,2,2,3,1,,3rd,Tiled,,,"Uttara East, Dhaka, Bangladesh",1,"8,090.00৳",Apartment,
975,1,1,2,1,,1st,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",,"8,717.95৳",Apartment,
2,1,1,1,1,,2nd,Tiled,,,"Adabor, Dhaka, Bangladesh",11,"10,000.00৳",Apartment,
2513,2,3,3,1,,4th,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"9,500.00৳",Apartment,
1800,2,3,4,1,,14th,Tiled,,,"Paltan, Dhaka, Bangladesh",1,"11,667.00৳",Apartment,
1450,2,2,3,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,931.00৳",Apartment,
1951,3,4,3,1,,3rd,Tiled,,,"Uttara East, Dhaka, Bangladesh",,"10,300.00৳",Apartment,
1565,2,3,3,1,,3rd,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"6,071.00৳",Apartment,
1600,2,4,3,1,,5th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
1200,2,3,3,1,,8th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
1200,1,3,3,2,,6th,Tiled,,,"Khilgaon, Dhaka, Bangladesh",,"4,850.00৳",Apartment,
1200,2,2,3,1,,2nd,Tiled,,,"Banashree, Dhaka, Bangladesh",1,"5,800.00৳",Apartment,
1760,2,4,3,1,,8th,Tiled,,,"Farmgate, Dhaka, Bangladesh",1,"9,090.90৳",Apartment,
3000,4,1,4,1,,2nd,Tiled,,,"DOHS Mohakhali, Dhaka, Bangladesh",2,"14,500.00৳",Apartment,
1500,2,4,4,1,,3rd,Tiled,,,"Banashree, Dhaka, Bangladesh",1,"6,500.00৳",Apartment,
1250,3,3,3,1,,1st,Tiled,,,"Farmgate, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
1650,2,3,3,,,4th,Tiled,,,"Banashree, Dhaka, Bangladesh",1,"7,000.00৳",Apartment,
1500,2,2,3,1,,4th,Tiled,,,"Jatrabari, Dhaka, Bangladesh",,"8,000.00৳",Apartment,
973,1,,3,1,,5th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"4,111.00৳",Apartment,
20250,3,,3,1,,8,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,395.00৳",Apartment,
1200,2,2,3,1,,2nd,Tiled,,,"Khilgaon, Dhaka, Bangladesh",,"5,000.00৳",Apartment,
2680,2,3,4,1,,3rd,Tiled,,,"Banani, Dhaka, Bangladesh",1,"14,067.16৳",Apartment,
1250,2,3,3,1,,1st,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",1,"6,000.00৳",Apartment,
2350,2,,4,1,,7th,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",,"12,500.00৳",Apartment,
3000,4,3,4,,,3rd,Tiled,,,"DOHS Mohakhali, Dhaka, Bangladesh",1,Negotiable,Apartment,
900,1,2,2,1,,6th,Tiled,,,"Nikunja, Dhaka, Bangladesh",1,"5,556.00৳",Apartment,
2200,3,4,3,1,,7th,Tiled,,,"Tejgaon, Dhaka, Bangladesh",1,"8,500.00৳",Apartment,
1135,1,3,3,1,,5th,Tiled,,,"Banashree, Dhaka, Bangladesh",,"10,132.16৳",Apartment,
3500,3,3,4,1,,8th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,"24,285.71৳",Apartment,
1220,2,2,3,1,,9th,Tiled,,,"Shyamoli, Dhaka, Bangladesh",,"5,901.64৳",Apartment,
3060,3,3,3,1,,6th,Tiled,,,"Banani, Dhaka, Bangladesh",1,"1,750.00৳",Apartment,
866,1,1,2,1,,1st,Tiled,,,"Nikunja, Dhaka, Bangladesh",1,"7,622.00৳",Apartment,
1238,1,1,2,1,,4th,Tiled,,,"Vatara , Dhaka, Bangladesh",,"5,008.07৳",Apartment,
1550,2,2,3,1,,8th,Tiled,,,"Pallabi , Dhaka, Bangladesh",1,"6,774.19৳",Apartment,
1500,2,2,3,1,,2nd,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,"2,600.00৳",Apartment,
1200,2,2,3,1,,3rd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"6,667.00৳",Apartment,
1450,2,2,3,1,,4th,Tiled,,,"Badda, Dhaka, Bangladesh",,"5,000.00৳",Apartment,
2180,3,4,4,1,,7th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"8,500.00৳",Apartment,
1700,3,4,4,1,,4th,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",1,"8,500.00৳",Apartment,
2248,2,3,3,1,,6th,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,"16,015.00৳",Apartment,
830,1,2,2,1,,4th,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,"5,602.00৳",Apartment,
975,2,2,2,1,,4th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,"8,718.00৳",Apartment,
5000,,,6,4,,4th,Tiled,,,"Malibagh, Dhaka, Bangladesh",1,"12,000.00৳",Apartment,
1560,3,2,3,,,Ground,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",,Negotiable,Apartment,
1200,2,2,3,1,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"9,270.00৳",Apartment,
1750,2,2,3,1,,Ground,Tiled,,,"Banashree, Dhaka, Bangladesh",1,"8,572.00৳",Apartment,
1065,2,1,3,1,,3rd,Tiled,,,"Wari, Dhaka, Bangladesh",1,"9,390.00৳",Apartment,
1050,2,2,3,1,,6th,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,Negotiable,Apartment,
1263,2,2,3,1,,7th,Tiled,,,"Basabo, Dhaka, Bangladesh",1,"7,126.00৳",Apartment,
1250,3,2,3,,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"10,000.00৳",Apartment,
850,1,1,3,1,,6th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"5,530.00৳",Apartment,
1275,4,3,3,1,,1st,Tiled,,,"Savar, Dhaka, Bangladesh",,"4,000.00৳",Apartment,
900,1,2,2,1,,6th,Tiled,,,"Nikunja, Dhaka, Bangladesh",1,"5,556.00৳",Apartment,
13489,4,4,4,1,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"10,500.00৳",Apartment,
1297,2,2,3,1,,6th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment,
1250,2,3,3,1,,6th,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"4,700.00৳",Apartment,
3962,3,4,4,1,,3rd,13,,,"Vatara , Dhaka, Bangladesh",,"11,500.00৳",Apartment,
1600,2,2,3,1,,7th,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,"9,500.00৳",Apartment,
1520,2,3,3,1,,1st,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",1,"5,700.00৳",Apartment,
1420,2,2,3,1,,10th,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
1057,1,1,3,1,,6th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment,
1395,2,,3,1,,5th,Tiled,,,"Banashree, Dhaka, Bangladesh",,"7,300.00৳",Apartment,
1350,3,2,3,,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,630.00৳",Apartment,
750,1,1,2,1,,5th,Tiled,,,"Motijheel, Dhaka, Bangladesh",,"8,000.00৳",Apartment,
1050,2,2,3,,,6th,Mosaic,,,"Rampura, Dhaka, Bangladesh",,Negotiable,Apartment,
2000,4,,4,,,3rd,Tiled,,,"Baridhara, Dhaka, Bangladesh",,Negotiable,Apartment,
1900,3,3,3,1,,7th,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"7,895.00৳",Apartment,
2165,3,4,3,,,7th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",1,Negotiable,Apartment,
2150,3,4,4,1,,3rd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,Negotiable,Apartment,
1300,2,1,3,,,7th,Tiled,,,"DOHS Mohakhali, Dhaka, Bangladesh",,Negotiable,Apartment,
2250,3,3,3,,,4th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",1,"16,000.00৳",Apartment,
1350,2,3,3,1,,4th,Tiled,,,"Savar, Dhaka, Bangladesh",1,"5,500.00৳",Apartment,
1900,3,3,3,1,,1st,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"7,895.00৳",Apartment,
6500,5,2,5,,,1st,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",3,"18,462.00৳",Apartment,
4000,4,3,3,,,6th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,"25,000.00৳",Apartment,
4000,4,3,4,,,10th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,"25,000.00৳",Apartment,
1580,2,3,3,1,,5th,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,"5,600.00৳",Apartment,
375,1,1,1,,,4th,10,,,"Bashundhara RA, Dhaka, Bangladesh",,Negotiable,Apartment,
1200,2,3,3,1,,5th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",,"6,500.00৳",Apartment,
1896,2,2,3,1,,1st,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,Negotiable,Apartment,
1290,3,,3,,,1st,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"5,500.00৳",Apartment,
1150,3,1,3,,,3rd,Tiled,,,"Adabor, Dhaka, Bangladesh",1,"6,300.00৳",Apartment,
1150,3,2,3,,,7th,Tiled,,,"Adabor, Dhaka, Bangladesh",1,"6,300.00৳",Apartment,
2400,3,3,4,1,,4th,Tiled,,,"Banani, Dhaka, Bangladesh",1,Negotiable,Apartment,
2360,3,3,3,,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,577.00৳",Apartment,
2180,3,3,4,,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"10,466.00৳",Apartment,
450,1,1,2,,,1st,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,Negotiable,Apartment,
1300,2,1,3,,,9th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,Negotiable,Apartment,
1625,2,3,3,1,,2nd,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,Negotiable,Apartment,
1250,2,3,3,1,,7th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",,"6,500.00৳",Apartment,
1250,3,2,3,,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"6,800.00৳",Apartment,
1050,2,2,3,,,2nd,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"4,286.00৳",Apartment,
1870,3,1,3,,,2nd,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"11,230.00৳",Apartment,
950,2,2,2,,,5th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"4,210.00৳",Apartment,
1300,3,2,3,,,5th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"5,385.00৳",Apartment,
1400,2,2,3,1,,2nd,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,"6,429.00৳",Apartment,
2430,3,3,3,1,,3rd,Tiled,,,"Banani, Dhaka, Bangladesh",2,"15,000.00৳",Apartment,
4070,4,2,4,,,10th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,"19,657.00৳",Apartment,
1350,3,2,3,,,1st,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"5,926.00৳",Apartment,
2000,3,4,3,,,7th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
1050,2,1,3,,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"4,100.00৳",Apartment,
1440,3,3,3,1,,2nd,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,"7,640.00৳",Apartment,
1150,2,2,3,,,8th,Tiled,,,"Badda, Dhaka, Bangladesh",,"5,700.00৳",Apartment,
2300,3,2,3,1,,1st,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
2175,3,3,3,1,,1st,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
2150,2,3,3,1,,4th,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
2200,3,2,3,1,,1st,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
1950,3,1,3,,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,488.00৳",Apartment,
2375,2,4,4,1,,3rd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",2,"8,000.00৳",Apartment,
1100,2,1,3,1,,6th,Tiled,,,"Badda, Dhaka, Bangladesh",,"7,000.00৳",Apartment,
2220,3,3,3,,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,460.00৳",Apartment,
1350,2,1,3,,,1st,Tiled,,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"14,445.00৳",Apartment,
1120,2,2,3,1,,15th,15,,,"Kadamtali, Dhaka, Bangladesh",,"3,800.00৳",Apartment,
2600,3,3,3,,,4th,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"23,077.00৳",Apartment,
1850,3,3,4,1,,3rd,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,"5,000.00৳",Apartment,
1300,2,3,3,1,,5th,Tiled,,,"Badda, Dhaka, Bangladesh",,"5,000.00৳",Apartment,
4,3,,3,,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"1,50,00,000.00৳",Apartment,
2150,3,3,3,,,3rd,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"20,931.00৳",Apartment,
6550,5,2,5,,,2nd,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",3,"18,321.00৳",Apartment,
2000,3,2,3,,,1st,Tiled,,,"Banani, Dhaka, Bangladesh",1,"12,000.00৳",Apartment,
2525,3,3,3,,,5th,Tiled,,,"Kakrail, Dhaka, Bangladesh",1,"8,713.00৳",Apartment,
1450,3,3,3,1,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,070.00৳",Apartment,
2000,3,2,4,,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,000.00৳",Apartment,
2250,3,4,3,1,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,778.00৳",Apartment,
3150,4,3,4,,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",2,"9,525.00৳",Apartment,
2930,3,4,3,1,,6th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,"18,000.00৳",Apartment,
1700,4,4,5,1,,2nd,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"4,118.00৳",Apartment,
2000,2,2,3,1,,9th,Tiled,,,"Niketan, Dhaka, Bangladesh",1,"12,500.00৳",Apartment,
1350,2,1,4,1,,3rd,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,"5,926.00৳",Apartment,
1137,2,2,3,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
2160,3,2,3,,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"4,100.00৳",Apartment,
2000,3,2,3,,,9th,Tiled,,,"Niketan, Dhaka, Bangladesh",1,Negotiable,Apartment,
2130,2,2,3,1,,10th,Tiled,,,"Banani, Dhaka, Bangladesh",1,"11,738.00৳",Apartment,
2600,3,3,4,1,,2nd,Tiled,,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"12,500.00৳",Apartment,
2335,3,3,3,,,3rd,Tiled,,,"Banani, Dhaka, Bangladesh",1,"16,500.00৳",Apartment,
1635,2,3,3,1,,4th,Tiled,,,"Kalabagan, Dhaka, Bangladesh",1,"10,704.00৳",Apartment,
2075,3,3,3,,,5th,Tiled,,,"Banani, Dhaka, Bangladesh",1,"9,000.00৳",Apartment,
2380,3,2,3,,,10th,Tiled,,,"Banani, Dhaka, Bangladesh",1,Negotiable,Apartment,
2165,2,5,4,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,000.00৳",Apartment,
2315,2,5,4,1,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,500.00৳",Apartment,
2257,4,4,4,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,500.00৳",Apartment,
2150,3,3,3,,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,977.00৳",Apartment,
2000,3,3,3,,,3rd,Tiled,,,"Niketan, Dhaka, Bangladesh",1,"12,000.00৳",Apartment,
1800,2,1,3,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,388.00৳",Apartment,
2220,2,4,3,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"9,000.00৳",Apartment,
2290,2,4,3,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"10,000.00৳",Apartment,
1850,2,3,3,1,,11th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"1,60,00,000.00৳",Apartment,
1120,2,2,3,1,,2nd,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,"9,375.00৳",Apartment,
1250,2,1,3,1,,1st,Tiled,,,"Niketan, Dhaka, Bangladesh",,"7,500.00৳",Apartment,
1200,2,,3,1,,4th,Tiled,,,"Niketan, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
2510,4,4,4,,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,600.00৳",Apartment,
2508,4,3,4,1,,7th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,500.00৳",Apartment,
1850,2,2,3,1,,9th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,190.00৳",Apartment,
1980,3,3,3,1,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,200.00৳",Apartment,
1960,2,3,4,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,910.00৳",Apartment,
1750,3,3,3,1,,8th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"6,857.00৳",Apartment,
1750,2,2,3,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"90,00,000.00৳",Apartment,
2200,2,2,3,1,,3rd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment,
2000,2,3,3,1,,6th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,750.00৳",Apartment,
1608,2,3,3,1,,6th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"85,00,000.00৳",Apartment,
2075,3,3,3,1,,8th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,100.00৳",Apartment,
2100,3,2,4,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
1938,2,3,3,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,200.00৳",Apartment,
1900,2,,3,1,,3rd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,500.00৳",Apartment,
1684,3,2,3,,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,532.00৳",Apartment,
2162,3,4,4,,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"11,000.00৳",Apartment,
2100,1,4,3,1,,8th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"7,500.00৳",Apartment,
4,2,,2,,,7th,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,"43,00,000.00৳",Apartment,
1850,2,2,3,1,,10th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,000.00৳",Apartment,
1890,2,3,4,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,500.00৳",Apartment,
1850,2,3,3,1,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"8,700.00৳",Apartment,
1850,2,3,3,1,,6th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"8,000.00৳",Apartment,
1854,2,3,3,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,090.00৳",Apartment,
1675,2,3,3,1,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"8,000.00৳",Apartment,
2200,3,2,4,,,2nd,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
1465,3,2,3,,,1st,Tiled,,,"Banashree, Dhaka, Bangladesh",1,Negotiable,Apartment,
2200,3,2,3,,,7th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,Negotiable,Apartment,
1060,1,2,3,1,,4th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,Negotiable,Apartment,
1160,2,2,2,1,,7th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",1,Negotiable,Apartment,
1650,3,2,3,,,6th,Tiled,,,"Banashree, Dhaka, Bangladesh",1,Negotiable,Apartment,
1850,3,3,3,1,,6th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,650.00৳",Apartment,
1325,3,2,3,1,,3rd,Tiled,,,"Lalmatia, Dhaka, Bangladesh",1,Negotiable,Apartment,
2200,3,2,3,,,7th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",,"4,50,00,000.00৳",Apartment,
1454,2,2,3,2,,8th,Tiled,,,"Uttara East, Dhaka, Bangladesh",1,"40,00,000.00৳",Apartment,
2200,3,2,3,,,7th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,"20,000.00৳",Apartment,
1920,2,2,3,1,,1st,Tiled,,,"Banani, Dhaka, Bangladesh",1,Negotiable,Apartment,
2730,2,4,3,1,,4th,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",2,Negotiable,Apartment,
980,2,2,3,,,8th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,Negotiable,Apartment,
2650,2,2,4,1,,3rd,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,"13,300.00৳",Apartment,
650,1,1,2,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"3,384.00৳",Apartment,
920,2,2,3,,,8th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
1800,2,1,3,1,,Ground,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,"9,000.00৳",Apartment,
3953,4,4,4,,,3rd,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",,"22,000.00৳",Apartment,
2460,3,3,3,1,,4th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",1,Negotiable,Apartment,
1547,2,2,4,1,,1st,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,"12,000.00৳",Apartment,
3500,4,4,4,1,,5th,Tiled,,,"DOHS Banani, Dhaka, Bangladesh",2,"18,500.00৳",Apartment,
5,3,,3,,,5th,Tiled,,,"Lalbag, Dhaka, Bangladesh",,"4,500.00৳",Apartment,
1400,3,3,3,,,2nd,Tiled,,,"Paltan, Dhaka, Bangladesh",1,Negotiable,Apartment,
1800,2,3,3,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"8,334.00৳",Apartment,
1550,3,2,3,,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment,
1151,2,1,3,,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment,
1400,1,1,3,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
1550,2,2,3,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment,
