floor_type,garage_number,location,price_per_month,property_type
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banglamotor, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Banglamotor, Dhaka, Bangladesh","1,000.00৳",Garage
Ground Floor,1,"Banglamotor, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Banglamotor, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,3,"Banglamotor, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"DOHS Baridhara, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Dhanmondi, Dhaka, Bangladesh","1,000.00৳",Garage
Ground Floor,1,"Shahbag , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Open Space,1,"Shahbag , Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Sabujbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,3,"Banglamotor, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"DOHS Mohakhali, Dhaka, Bangladesh","5,000.00৳",Garage
Ground Floor,1,"Sutrapur, Dhaka, Bangladesh",700.00৳,Garage
Ground Floor,1,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Sabujbag, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Wari, Dhaka, Bangladesh","3,500.00৳",Garage
Ground Floor,1,"Sabujbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Wari, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Sabujbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Wari, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Gandaria , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Sabujbag, Dhaka, Bangladesh",600.00৳,Garage
Ground Floor,1,"Motijheel, Dhaka, Bangladesh","1,000.00৳",Garage
Ground Floor,1,"Lalbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Gandaria , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Sutrapur, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,2,"Sutrapur, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Lalbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Motijheel, Dhaka, Bangladesh","2,200.00৳",Garage
Ground Floor,1,"Motijheel, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Motijheel, Dhaka, Bangladesh","2,000.00৳",Garage
Open Space,1,"Hazaribag , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Rampura, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Rampura, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara East, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Rampura, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Rampura, Dhaka, Bangladesh",700.00৳,Garage
Ground Floor,1,"Hazaribag , Dhaka, Bangladesh",700.00৳,Garage
Basement,1,"Rampura, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Ramna, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Farmgate, Dhaka, Bangladesh","2,500.00৳",Garage
