area_sft,attach_bathrooms,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_month,property_type
950,1,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
1500,2,3,1,2nd,,"DOHS Mohakhali, Dhaka, Bangladesh",,"40,000.00৳",Residential Apartment
1300,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1450,2,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1200,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1625,2,4,1,5th,,"Mirpur, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
1150,2,3,1,1st,,"Pallabi , Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
3003,3,4,2,5th,,"Uttara West, Dhaka, Bangladesh",1,"70,000.00৳",Residential Apartment
2600,2,4,1,2nd,,"Uttara West, Dhaka, Bangladesh",,"45,000.00৳",Residential Apartment
1325,2,3,1,4th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
500,1,1,,5th,,"Uttara West, Dhaka, Bangladesh",,"8,000.00৳",Residential Apartment
800,1,2,1,3rd,,"Mirpur, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
2100,2,4,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
1400,2,2,1,8th,,"Mirpur, Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
900,1,2,1,5th,,"Uttara West, Dhaka, Bangladesh",,"17,000.00৳",Residential Apartment
1350,2,3,1,7th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
400,1,1,,7th,,"Uttara West, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1200,1,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"16,000.00৳",Residential Apartment
1350,2,3,1,1st,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
900,1,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"17,000.00৳",Residential Apartment
900,1,2,1,1st,,"Mirpur, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
625,1,2,1,3rd,,"Mirpur, Dhaka, Bangladesh",,"13,500.00৳",Residential Apartment
1200,1,3,1,4th,,"Mirpur, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
1850,3,3,,3rd,,"Uttara West, Dhaka, Bangladesh",,"36,000.00৳",Residential Apartment
1200,2,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",,"24,000.00৳",Residential Apartment
750,1,2,1,4th,,"Pallabi , Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
1600,2,3,1,4th,,"Mohammadpur , Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
650,1,2,1,5th,,"Mirpur, Dhaka, Bangladesh",,"12,500.00৳",Residential Apartment
1425,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
,2,2,,,,"Adabor, Dhaka, Bangladesh",,"1,250.00৳",Residential Apartment
650,1,2,1,3rd,,"Mirpur, Dhaka, Bangladesh",,"13,000.00৳",Residential Apartment
900,1,3,1,Ground,,"Uttara West, Dhaka, Bangladesh",,"17,000.00৳",Residential Apartment
1850,3,3,,1st,,"Uttara West, Dhaka, Bangladesh",,"36,000.00৳",Residential Apartment
600,1,2,1,1st,,"Mirpur, Dhaka, Bangladesh",1,"15,000.00৳",Residential Apartment
1400,2,3,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
650,,1,,1st,,"Mirpur, Dhaka, Bangladesh",,"9,000.00৳",Residential Apartment
850,1,2,1,4th,,"Mirpur, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
1500,2,3,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
2400,4,4,,2nd,,"Uttara West, Dhaka, Bangladesh",,"45,000.00৳",Residential Apartment
750,1,2,1,5th,,"Mirpur, Dhaka, Bangladesh",,"13,000.00৳",Residential Apartment
1200,1,2,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
550,1,2,1,Ground,,"Mirpur, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
850,1,2,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"16,000.00৳",Residential Apartment
1775,3,3,,3rd,,"Uttara West, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
1200,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
2500,3,4,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
600,1,2,1,Ground,,"Mirpur, Dhaka, Bangladesh",,"13,500.00৳",Residential Apartment
950,1,2,1,Ground,,"Uttara West, Dhaka, Bangladesh",,"16,000.00৳",Residential Apartment
900,1,2,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"70,000.00৳",Residential Apartment
1200,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",,"15,500.00৳",Residential Apartment
1400,2,3,1,6th,,"Mirpur, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1200,1,2,1,4th,,"Uttara West, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1080,2,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
1100,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
1550,2,3,,2nd,,"Uttara West, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
2100,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
1500,2,3,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1300,2,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
1200,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",,"30,000.00৳",Residential Apartment
750,,1,,1st,,"Uttara West, Dhaka, Bangladesh",,"10,000.00৳",Residential Apartment
2100,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
1200,1,3,1,5th,,"Mirpur, Dhaka, Bangladesh",1,"17,000.00৳",Residential Apartment
1400,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",,"25,000.00৳",Residential Apartment
1350,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1300,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
2350,3,3,1,,,"Uttara West, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
700,1,2,1,1st,,"Mirpur, Dhaka, Bangladesh",,"9,000.00৳",Residential Apartment
1100,1,2,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"14,000.00৳",Residential Apartment
1590,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"27,000.00৳",Residential Apartment
750,1,2,1,3rd,,"Mirpur, Dhaka, Bangladesh",,"18,000.00৳",Residential Apartment
560,1,1,,2nd,,"Uttara West, Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
1750,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"33,000.00৳",Residential Apartment
700,,2,,7th,,"Mirpur, Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
1500,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1450,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"27,000.00৳",Residential Apartment
1750,2,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"33,000.00৳",Residential Apartment
