area_sft,attach_bathrooms,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_month,property_type
2200,4,5,2,5th,,"Uttara West, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
1200,2,3,1,3rd,,"Mirpur, Dhaka, Bangladesh",1,"16,000.00৳",Residential Apartment
2200,2,3,1,8th,,"Uttara West, Dhaka, Bangladesh",1,"47,000.00৳",Residential Apartment
1000,1,2,1,4th,,"Mirpur, Dhaka, Bangladesh",,"14,500.00৳",Residential Apartment
920,1,2,1,Ground,,"DOHS Baridhara, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1400,1,3,1,1st,,"Uttara East, Dhaka, Bangladesh",1,"26,000.00৳",Residential Apartment
900,1,2,1,4th,,"Mirpur, Dhaka, Bangladesh",,"18,000.00৳",Residential Apartment
800,1,2,1,5th,,"Mirpur, Dhaka, Bangladesh",1,"14,000.00৳",Residential Apartment
850,1,2,,4th,,"DOHS Baridhara, Dhaka, Bangladesh",,"25,000.00৳",Residential Apartment
1700,3,3,,1st,,"Uttara East, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1050,1,3,1,6th,,"Mirpur, Dhaka, Bangladesh",1,"15,000.00৳",Residential Apartment
900,1,2,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"24,000.00৳",Residential Apartment
1100,1,2,1,,,"DOHS Baridhara, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1560,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
2500,2,3,1,8th,,"Uttara West, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
2200,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
1450,2,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"24,000.00৳",Residential Apartment
1300,2,3,,2nd,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
500,1,2,,1st,,"Mirpur, Dhaka, Bangladesh",,"11,000.00৳",Residential Apartment
2150,3,4,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"65,000.00৳",Residential Apartment
1500,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",,"30,000.00৳",Residential Apartment
1600,2,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1800,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",,"30,000.00৳",Residential Apartment
1650,3,3,,2nd,,"Uttara West, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
2500,3,4,1,3rd,,"DOHS Baridhara, Dhaka, Bangladesh",1,"65,000.00৳",Residential Apartment
2650,3,4,1,4th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"85,000.00৳",Residential Apartment
1500,2,3,1,3rd,,"DOHS Baridhara, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
950,1,3,1,6th,,"Mirpur, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
2700,2,4,1,1st,,"DOHS Baridhara, Dhaka, Bangladesh",2,"1,00,000.00৳",Residential Apartment
980,1,2,1,Ground,,"DOHS Baridhara, Dhaka, Bangladesh",,"23,000.00৳",Residential Apartment
900,1,2,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"12,000.00৳",Residential Apartment
1500,3,3,1,5th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1250,1,3,1,1st,,"DOHS Baridhara, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
850,1,2,1,5th,,"Mirpur, Dhaka, Bangladesh",1,"12,500.00৳",Residential Apartment
1590,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
3000,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",4,"70,000.00৳",Residential Apartment
900,1,2,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
1200,2,3,1,7th,,"Uttara West, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1777,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1250,2,3,1,6th,,"Mirpur, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
2100,2,3,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"1,40,000.00৳",Residential Apartment
1460,2,3,1,2nd,,"DOHS Baridhara, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
2220,3,4,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
1500,2,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1325,2,3,1,1st,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
400,,2,,4th,,"Mirpur, Dhaka, Bangladesh",,"9,000.00৳",Residential Apartment
1200,2,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",,"20,000.00৳",Residential Apartment
1500,1,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1600,2,3,1,5th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"68,000.00৳",Residential Apartment
700,1,2,1,Ground,,"DOHS Baridhara, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
700,1,2,1,Ground,,"DOHS Baridhara, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
2600,2,3,1,2nd,,"DOHS Baridhara, Dhaka, Bangladesh",1,"1,30,000.00৳",Residential Apartment
2600,2,4,1,1st,,"DOHS Baridhara, Dhaka, Bangladesh",1,"80,000.00৳",Residential Apartment
2200,3,3,,9th,,"Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Residential Apartment
1800,2,3,1,Ground,,"DOHS Baridhara, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
2600,3,4,1,3rd,,"DOHS Baridhara, Dhaka, Bangladesh",,"70,000.00৳",Residential Apartment
750,1,2,1,1st,,"Banglamotor, Dhaka, Bangladesh",,"21,000.00৳",Residential Apartment
1350,2,3,1,1st,,"Dhanmondi, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1300,4,4,1,5th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
1250,2,3,1,3rd,,"Dhanmondi, Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
1850,2,3,1,2nd,,"DOHS Banani, Dhaka, Bangladesh",1,"65,000.00৳",Residential Apartment
1250,2,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
1000,1,2,1,5th,,"Dhanmondi, Dhaka, Bangladesh",,"23,000.00৳",Residential Apartment
2200,3,3,,4th,,"DOHS Banani, Dhaka, Bangladesh",2,"95,000.00৳",Residential Apartment
1880,2,3,1,9th,,"Dhanmondi, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
1100,1,2,1,3rd,,"Banglamotor, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1450,2,3,1,3rd,,"Mirpur, Dhaka, Bangladesh",,"35,000.00৳",Residential Apartment
1800,2,3,1,10th,,"Shahbag , Dhaka, Bangladesh",,"30,000.00৳",Residential Apartment
1000,1,2,1,3rd,,"Shahbag , Dhaka, Bangladesh",,"28,000.00৳",Residential Apartment
1100,1,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1610,2,3,1,7th,,"Banglamotor, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
2650,2,3,1,5th,,"Sutrapur, Dhaka, Bangladesh",,"26,000.00৳",Residential Apartment
2700,2,5,1,2nd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"63,000.00৳",Residential Apartment
2750,3,3,1,3rd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"1,10,000.00৳",Residential Apartment
1200,1,2,1,Ground,,"Mirpur, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
800,1,3,1,4th,,"Sutrapur, Dhaka, Bangladesh",,"17,000.00৳",Residential Apartment
700,1,2,1,5th,,"Sutrapur, Dhaka, Bangladesh",,"13,000.00৳",Residential Apartment
1250,2,3,1,4th,,"Mirpur, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
1000,1,2,1,3rd,,"Shahbag , Dhaka, Bangladesh",1,"23,000.00৳",Residential Apartment
2250,2,3,1,1st,,"DOHS Banani, Dhaka, Bangladesh",1,"70,000.00৳",Residential Apartment
1250,2,3,1,5th,,"Dhanmondi, Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
1250,2,3,1,1st,,"Mirpur, Dhaka, Bangladesh",,"28,000.00৳",Residential Apartment
850,1,2,1,5th,,"Shahbag , Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
2000,2,3,1,2nd,,"DOHS Banani, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
1600,2,3,1,3rd,,"Wari, Dhaka, Bangladesh",,"37,000.00৳",Residential Apartment
2700,3,4,1,3rd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"1,00,000.00৳",Residential Apartment
1570,2,3,1,2nd,,"Wari, Dhaka, Bangladesh",1,"38,000.00৳",Residential Apartment
1450,2,3,1,3rd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
1200,1,3,1,3rd,,"Wari, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
2750,3,3,1,2nd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"1,10,000.00৳",Residential Apartment
1710,2,3,1,3rd,,"Mirpur, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
400,1,1,,5th,,"Sutrapur, Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
1100,1,3,1,4th,,"Sutrapur, Dhaka, Bangladesh",,"19,580.00৳",Residential Apartment
945,1,2,1,1st,,"Mirpur, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
1000,1,2,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"15,000.00৳",Residential Apartment
400,1,1,,2nd,,"Mirpur, Dhaka, Bangladesh",,"9,500.00৳",Residential Apartment
2600,3,3,1,3rd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"95,000.00৳",Residential Apartment
1600,2,3,1,2nd,,"Wari, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
2750,3,3,1,1st,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"1,10,000.00৳",Residential Apartment
1350,1,3,1,Ground,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
2000,2,3,1,5th,,"Wari, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
700,1,2,1,1st,,"Sutrapur, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
1200,1,2,1,3rd,,"Wari, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
900,1,2,1,2nd,,"Wari, Dhaka, Bangladesh",,"2,000.00৳",Residential Apartment
800,,2,,Ground,,"Sutrapur, Dhaka, Bangladesh",,"11,000.00৳",Residential Apartment
1800,3,4,1,6th,,"Sutrapur, Dhaka, Bangladesh",1,"23,000.00৳",Residential Apartment
1400,1,3,,6th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1400,2,3,1,1st,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"65,000.00৳",Residential Apartment
850,1,2,1,4th,,"Sutrapur, Dhaka, Bangladesh",,"10,500.00৳",Residential Apartment
800,,2,,1st,,"Sabujbag, Dhaka, Bangladesh",,"12,500.00৳",Residential Apartment
1400,2,2,1,1st,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
1200,1,3,1,1st,,"Sutrapur, Dhaka, Bangladesh",,"20,000.00৳",Residential Apartment
600,,2,,5th,,"Hazaribag , Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
700,1,2,1,3rd,,"DOHS Mohakhali, Dhaka, Bangladesh",,"35,000.00৳",Residential Apartment
1500,3,4,,5th,,"Basabo, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1100,1,3,1,2nd,,"Wari, Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
1100,1,3,1,3rd,,"Wari, Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
1100,1,3,1,5th,,"Wari, Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
2600,3,4,1,7th,,"Wari, Dhaka, Bangladesh",,"50,000.00৳",Residential Apartment
2700,3,3,1,4th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
625,2,2,1,Ground,,"Wari, Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
900,3,1,1,Ground,,"Wari, Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
2500,1,4,1,Ground,,"Wari, Dhaka, Bangladesh",,"35,000.00৳",Residential Apartment
1300,2,3,1,1st,,"Sabujbag, Dhaka, Bangladesh",,"20,000.00৳",Residential Apartment
400,1,1,1,1st,,"Sabujbag, Dhaka, Bangladesh",,"10,000.00৳",Residential Apartment
800,1,2,,Ground,,"Sabujbag, Dhaka, Bangladesh",,"10,000.00৳",Residential Apartment
850,1,2,1,2nd,,"Gandaria , Dhaka, Bangladesh",,"13,000.00৳",Residential Apartment
1100,1,2,1,3rd,,"Gandaria , Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
950,1,2,1,2nd,,"Gandaria , Dhaka, Bangladesh",,"12,000.00৳",Residential Apartment
1250,3,3,,1st,,"Sabujbag, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
700,1,2,1,3rd,,"Basabo, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1000,1,3,1,3rd,,"Gandaria , Dhaka, Bangladesh",,"16,000.00৳",Residential Apartment
800,1,2,1,4th,,"Sabujbag, Dhaka, Bangladesh",,"13,000.00৳",Residential Apartment
1000,1,2,1,3rd,,"Basabo, Dhaka, Bangladesh",1,"19,000.00৳",Residential Apartment
700,1,2,,1st,,"Basabo, Dhaka, Bangladesh",,"19,000.00৳",Residential Apartment
1000,1,2,1,5th,,"Basabo, Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
1000,1,2,1,3rd,,"Sutrapur, Dhaka, Bangladesh",,"19,000.00৳",Residential Apartment
800,,2,,5th,,"Sutrapur, Dhaka, Bangladesh",,"8,000.00৳",Residential Apartment
700,1,3,1,4th,,"Basabo, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1000,1,2,1,4th,,"Sutrapur, Dhaka, Bangladesh",,"19,000.00৳",Residential Apartment
800,1,2,1,Ground,,"Sabujbag, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
550,,2,,5th,,"Gandaria , Dhaka, Bangladesh",,"9,500.00৳",Residential Apartment
1000,2,3,1,2nd,,"Sutrapur, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
1000,1,3,1,2nd,,"Sabujbag, Dhaka, Bangladesh",1,"12,000.00৳",Residential Apartment
2350,3,3,,3rd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
1150,2,3,1,8th,,"Lalbag, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
1250,2,3,1,9th,,"Sabujbag, Dhaka, Bangladesh",1,"21,000.00৳",Residential Apartment
650,,1,,Ground,,"Lalbag, Dhaka, Bangladesh",,"10,000.00৳",Residential Apartment
750,1,2,1,5th,,"Motijheel, Dhaka, Bangladesh",,"13,500.00৳",Residential Apartment
1500,2,3,1,1st,,"Lalbag, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
900,1,2,1,5th,,"Bangshal, Dhaka, Bangladesh",1,"16,000.00৳",Residential Apartment
700,1,2,1,1st,,"Bangshal, Dhaka, Bangladesh",,"13,500.00৳",Residential Apartment
1300,2,3,1,5th,,"Badda, Dhaka, Bangladesh",1,"30,500.00৳",Residential Apartment
1150,1,2,1,6th,,"Lalbag, Dhaka, Bangladesh",,"20,000.00৳",Residential Apartment
1500,2,3,1,Ground,,"Lalbag, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
1045,1,3,1,5th,,"Motijheel, Dhaka, Bangladesh",1,"23,000.00৳",Residential Apartment
1150,1,3,1,1st,,"Bangshal, Dhaka, Bangladesh",,"18,000.00৳",Residential Apartment
1500,1,3,1,4th,,"Lalbag, Dhaka, Bangladesh",,"25,000.00৳",Residential Apartment
650,1,2,1,2nd,,"Sutrapur, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
650,1,2,1,1st,,"Sutrapur, Dhaka, Bangladesh",,"14,500.00৳",Residential Apartment
600,1,2,1,4th,,"Lalbag, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1150,2,3,1,1st,,"Gandaria , Dhaka, Bangladesh",,"18,000.00৳",Residential Apartment
1100,1,3,1,1st,,"Gandaria , Dhaka, Bangladesh",,"25,000.00৳",Residential Apartment
650,,2,,1st,,"Gandaria , Dhaka, Bangladesh",,"10,000.00৳",Residential Apartment
1405,2,3,1,10th,,"Paltan, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1356,3,3,,1st,,"Badda, Dhaka, Bangladesh",1,"23,000.00৳",Residential Apartment
700,1,2,1,1st,,"Motijheel, Dhaka, Bangladesh",1,"16,000.00৳",Residential Apartment
1900,2,3,1,1st,,"Gulshan 1, Dhaka, Bangladesh",1,"1,50,000.00৳",Residential Apartment
3500,3,4,1,5th,,"Baridhara, Dhaka, Bangladesh",2,Negotiable,Residential Apartment
1100,1,3,1,8th,,"New Market, Dhaka, Bangladesh",,"28,000.00৳",Residential Apartment
1100,1,3,1,1st,,"Lalbag, Dhaka, Bangladesh",1,"27,000.00৳",Residential Apartment
1685,2,3,1,7th,,"Badda, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
1415,2,3,1,5th,,"Kallaynpur, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
900,1,2,1,8th,,"Lalbag, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
3100,3,4,1,1st,,"Gulshan 1, Dhaka, Bangladesh",1,"1,30,000.00৳",Residential Apartment
3500,3,4,1,6th,,"Baridhara, Dhaka, Bangladesh",2,"2,65,000.00৳",Residential Apartment
1180,1,3,1,4th,,"Badda, Dhaka, Bangladesh",1,"24,000.00৳",Residential Apartment
700,1,2,1,4th,,"Motijheel, Dhaka, Bangladesh",,"17,000.00৳",Residential Apartment
2000,3,3,,3rd,,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Residential Apartment
1350,2,3,1,1st,,"Badda, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
700,,2,,Ground,,"Badda, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
350,1,1,,3rd,,"Badda, Dhaka, Bangladesh",,"10,500.00৳",Residential Apartment
1500,3,3,,5th,,"Badda, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1356,2,3,1,3rd,,"Badda, Dhaka, Bangladesh",1,"24,000.00৳",Residential Apartment
1350,2,3,1,4th,,"Motijheel, Dhaka, Bangladesh",1,"26,000.00৳",Residential Apartment
1100,1,3,1,3rd,,"Paltan, Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
1860,2,3,1,1st,,"Paltan, Dhaka, Bangladesh",1,"36,000.00৳",Residential Apartment
1200,2,3,1,4th,,"Paltan, Dhaka, Bangladesh",1,"34,000.00৳",Residential Apartment
1300,1,3,1,5th,,"Paltan, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1050,2,3,1,1st,,"Lalbag, Dhaka, Bangladesh",,"28,000.00৳",Residential Apartment
