area,floor,location,parking,price_per_month,price_per_sft,property_type,total_floor,,
2760,8th,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"17,000.00৳",Commercial Space,14,,
1510,3rd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"20,000.00৳",Commercial Space,14,,
1425,3rd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"20,000.00৳",Commercial Space,14,,
1470,8th,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"17,000.00৳",Commercial Space,14,,
860,2nd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
885,2nd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
1385,3rd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"20,000.00৳",Commercial Space,14,,
1210,8th,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"17,000.00৳",Commercial Space,14,,
835,8th,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"17,000.00৳",Commercial Space,14,,
3330,8th,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"17,000.00৳",Commercial Space,14,,
1625,2nd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
1135,3rd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"20,000.00৳",Commercial Space,14,,
Kaptan Bazar Complex,2nd,"Bangshal, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,70,,
1630,1st,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
1515,1st,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
1405,1st,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
1,4th,"Banani, Dhaka, Bangladesh",Ready,,"20,150.00৳",Commercial Space,2100,,
265,Ground,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"35,000.00৳",Commercial Space,14,,
70,1st,"Bangshal, Dhaka, Bangladesh",Kaptan Bazar Complex,,Negotiable,Commercial Space,2,,
1295,2nd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
1395,2nd,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
990,Ground,"Paltan, Dhaka, Bangladesh",R/FPAB Tower,,"25,000.00৳",Commercial Space,14,,
Amorize ,9th,"Banani, Dhaka, Bangladesh",Ready,,"26,000.00৳",Commercial Space,1300,,
1580,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
2360,3rd,"Bashundhara RA, Dhaka, Bangladesh",R/Suraiya Tower,,"13,800.00৳",Commercial Space,10,,
