Name,Location,Bathrooms,Bedrooms,Size (in sqft),Size Range (in sqft),Price per sqft,Ownership type,Floor,Posting,Features,Total price,AD URL
Sina Sweet Pea                                        , Dhaka , 2 , 3 , 950 SqFt,801-1000 SqFt,,Owner, 6 ,Sale,"Cable TV ,Balcony ,Parking ","29,500,000.00",https://www.estatemartbd.com/property/240/en/sina_sweet_pea
Commercial Space To-Let                                        , 1208 , 2 ,, 1500 SqFt,1301-1800 SqFt,,Owner, 1500 ,Rent,,"60,000.00",https://www.estatemartbd.com/property/239/en/commercial_space_to_let
Rahman Nagor Abashik Prokolpo                                        ," Uttorkhan, Dhaka ",,, 3/5 kata SqFt,1801-2400 SqFt, 3000000 ,Builder,,Sale,,,https://www.estatemartbd.com/property/227/en/rahman_nagor_abashik_prokolpo
"1518 sqft, 3 Beds large Apartment is ready for sale in Paltan, Dhaka - EstateMart                                        ", Dhaka , 3 , 3 , 1518 SqFt,1301-1800 SqFt," 11,000 ",Agent, 16 ,Sale,"Balcony ,Lift ,Grill ,Pool ,Parking ","16,698,000.00",https://www.estatemartbd.com/property/233/en/1518_sqft_3_beds_large_apartment_is_ready_for_sale_in_paltan_dhaka_estatemart
Purbachal Bestway City Ready Plot for Sale                                        ," Purbachal, Dhaka ",,,,, 2500000 per Katha ,,,Sale,,,https://www.estatemartbd.com/property/219/en/purbachal_bestway_city_ready_plot_for_sale
The Valley Bangladesh                                        , Dhaka ,,," 3, 4, 5 kasha land SqFt",2401-3000 SqFt, 1400000/katha ,Owner,,Sale,,"4,200,000.00",https://www.estatemartbd.com/property/234/en/the_valley_bangladesh
1250 Sqft Flat for Sale along with the Land Share at South Banasree                                        , Banasree Dhaka , 3 , 3 , 1250 SqFt,1001-1300 SqFt,,Agent,,Sale,,"1,660,000.00",https://www.estatemartbd.com/property/231/en/1250_sqft_flat_for_sale_along_with_the_land_share_at_south_banasree
"A well-developed 1300 sq ft apartment is available for sale in Section-12, Mirpur                                        ", Dhaka , 3 , 3 , 1300 SqFt,1001-1300 SqFt,,Builder, 2 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","7,500,000.00",https://www.estatemartbd.com/property/230/en/a_well_developed_1300_sq_ft_apartment_is_available_for_sale_in_section_12_mirpur
"A Fairly Large 1000 Sq Ft Apartment is Ready for Sale in Section 12, Pallabi                                        ", Dhaka , 3 , 3 , 1000 SqFt,801-1000 SqFt, 6000 ,Builder, 8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","6,000,000.00",https://www.estatemartbd.com/property/229/en/a_fairly_large_1000_sq_ft_apartment_is_ready_for_sale_in_section_12_pallabi
"Ready Flat For Sale In Shyamoli, Shakhertek Main Rd Nearby Mohammdpur Jame Masjid                                        ", Dhaka , 03 , 03 , 1400 SqFt,1301-1800 SqFt, 6000 ,Agent, 2nd ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Balcony ,Lift ,Parking ","8,700,000.00",https://www.estatemartbd.com/property/232/en/ready_flat_for_sale_in_shyamoli_shakhertek_main_rd_nearby_mohammdpur_jame_masjid
Apon Nibas Land Share Sale for 1350 Sqft Flat at 54 No. Ward Dhaka                                        , Uttara , 3 , 3 , 1350 SqFt,1301-1800 SqFt, 3000 ,Owner, B+ G+ 9 ,Sale,,,https://www.estatemartbd.com/property/216/en/apon_nibas_land_share_sale_for_1350_sqft_flat_at_54_no_ward_dhaka
"B H Kornoduli Tower Flat for Sale at East-Pallabi, Dhaka                                        "," Mirpur, Dhaka ", 3 , 3 , 1200 SqFt,1001-1300 SqFt, 2800 ,Builder," 3rd, 4th, 6th, 7th & 9th ",Sale,,,https://www.estatemartbd.com/property/213/en/b_h_kornoduli_tower_flat_for_sale_at_east_pallabi_dhaka
"South Facing 4.5 Katha Ready Plot Sale at Ati Bazar,1st Project                                        ", Dhaka ,,, 3240 SqFt,3001-5000 SqFt,,Owner,,Sale,,,https://www.estatemartbd.com/property/169/en/south_facing_45_katha_ready_plot_sale_at_ati_bazar1st_project
Buy 1st Floor Shop at Olympia Plaza                                        , Savar ,,, 115 SqFt,600-800 SqFt, 15000 ,Owner, 1st Floor ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Lift ,Grill ,Pool ,Parking ","1,725,000.00",https://www.estatemartbd.com/property/206/en/buy_1st_floor_shop_at_olympia_plaza
