air_conditioning,area,balcony,building_type,cctv,central_heating,elevator,emergency_stairs,fitness_center,floor,garage,garden,generator,government_gas,interior,land_size,location,num_balcony,num_bath_rooms,num_bed_rooms,parking,pets_allow,price,property_link,reception,security,servant_room,status,swimming_pool,tv_cable,unit,wifi,year_built
,1387 sqft,,Apartment,,,Y,Y,,6th,1,,Y,,Un-Furnished,14.5 Katha,"Badda,",3,3,3,Y,," ৳9,200,000 ",https://iqibd.com/properties/268,Y,Y,,For Sale,,Y,E6,Y,2023
,1369 sqft,,Apartment,,,Y,Y,,7th,1,,Y,,Un-Furnished,14.5 Katha,"Badda,",3,3,3,Y,," ৳9,200,000 ",https://iqibd.com/properties/267,Y,Y,,For Sale,,Y,C7,Y,2023
,1300 sqft,,Apartment,Y,,Y,Y,,9th,,,Y,,Un-Furnished,5 Katha,"Aftabnagar,",2,3,3,,," ৳11,000,000 ",https://iqibd.com/properties/257,Y,Y,,For Sale,,Y,A-9,Y,2021
,1812 sqft,,Apartment,,,Y,Y,,5th & 6th,1,,Y,,Un-Furnished,4 Katha,"Bashundhara,",3,3,3,Y,," ৳16,000,000 ",https://iqibd.com/properties/247,Y,Y,,For Sale,,Y,Single,Y,2023
,1990 sqft,,Apartment,,Y,,Y,,2nd,1,Y,Y,,Un-Furnished,4 Katha,"Bashundhara,",3,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/246,Y,Y,,For Sale,,Y,Single,Y,2022
,2200 sqft,,Apartment,Y,,Y,Y,,"1st,3rd,5th & 6th",1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",3,4,3,Y,," ৳18,000,000 ",https://iqibd.com/properties/249,Y,Y,,For Sale,,Y,Single,Y,2022
,2190 sqft,Y,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,10 Katha,"Bashundhara,",7,4,3,Y,," ৳21,000,000 ",https://iqibd.com/properties/250,Y,Y,,For Sale,,Y,9B,Y,2019
,2150 sqft,,Apartment,,,Y,Y,,"2nd,4th,6th,8th & 9th",1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",4,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/248,Y,Y,,For Sale,,Y,Single,Y,2023
,1445 sqft,,Apartment,Y,,,Y,,3rd,1,,Y,Y,Un-Furnished,4 Katha,"Mirpur,",2,3,3,,," ৳10,000,000 ",https://iqibd.com/properties/251,Y,Y,,For Sale,,Y,,Y,2016
,2650 sqft,,Apartment,,,Y,Y,,2nd,2,,Y,,Un-Furnished,5 Katha,"Uttara,",4,5,5,Y,," ৳18,800,000 ",https://iqibd.com/properties/252,Y,Y,,For Sale,,Y,Single,Y,2020
,1250 sqft,,Apartment,Y,,Y,Y,,5th,,,Y,,Un-Furnished,3.85 Katha,"Mirpur,",3,3,3,,," ৳8,500,000 ",https://iqibd.com/properties/253,Y,Y,,For Sale,,Y,5A,Y,2022
,1450 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Un-Furnished,2.5 Katha,"Aftabnagar,",2,3,3,Y,," ৳9,800,000 ",https://iqibd.com/properties/255,Y,Y,,For Sale,,Y,Single,Y,2023
,1737 sqft,,Apartment,Y,,Y,Y,,1st,1,,,,Un-Furnished,12 Katha,"Mirpur,",4,4,3,Y,," ৳13,000,000 ",https://iqibd.com/properties/254,Y,Y,,For Sale,,,B-1,Y,2020
,1250 sqft,,Apartment,Y,,Y,Y,,7th,,,Y,,Un-Furnished,8 Katha,"Aftabnagar,",3,3,3,,," ৳9,200,000 ",https://iqibd.com/properties/256,Y,Y,,For Sale,,Y,8B,Y,2023
,1750 sqft,,Apartment,Y,,Y,Y,,2nd & 6th,1,,Y,,Un-Furnished,3 Katha,"Bashundhara,",3,3,3,Y,," ৳17,500,000 ",https://iqibd.com/properties/245,Y,Y,,For Sale,,Y,Single,Y,2022
,1020 sqft,Y,Apartment,Y,,Y,Y,,5tt & 8th,1,,Y,,Un-Furnished,7.5 Katha,"Khilgaon, Dhaka",2,3,3,Y,," ৳6,000,000 ",https://iqibd.com/properties/235,Y,Y,,For Sale,,,A5 & C8,Y,2022
,1245 sqft,Y,Apartment,Y,,Y,Y,,1st & 8th,1,,Y,,Un-Furnished,5 Katha,"Khilgaon, Dhaka",2,3,3,Y,," ৳12,500,000 ",https://iqibd.com/properties/234,Y,Y,,For Sale,,Y,"A1, A8, B8",Y,2022
,1314 sqft,,Apartment,,,Y,Y,,5th,1,,Y,,Un-Furnished,10 Katha,"Mirpur,",3,3,3,Y,," ৳5,500,000 ",https://iqibd.com/properties/236,Y,Y,,For Sale,,Y,E1,Y,2023
,3726 sqft,,Apartment,,,Y,Y,,6th & 7th,1,,Y,,Un-Furnished,,"Uttara,",5,5,5,Y,," ৳38,500,000 ",https://iqibd.com/properties/237,Y,Y,,For Sale,,Y,Single,Y,2022
,1550 sqft,,Apartment,,,Y,Y,,2nd,1,,Y,,Un-Furnished,3.5 Katha,"Uttara,",2,3,3,Y,," ৳14,000,000 ",https://iqibd.com/properties/238,Y,Y,,For Sale,,Y,Single,Y,2023
,1625 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,3 Katha,"Banasree,",3,3,4,Y,," ৳14,000,000 ",https://iqibd.com/properties/239,Y,Y,,For Sale,,Y,Single,Y,2023
,1469 sqft,,Apartment,,,Y,Y,,8th,1,,Y,,Un-Furnished,,"Badda,",,3,3,Y,," ৳9,200,000 ",https://iqibd.com/properties/240,Y,Y,,For Sale,,Y,A8,Y,2016
,2600 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,Y,Un-Furnished,3.5 Katha,"Banasree,",3,5,4,Y,," ৳14,500,000 ",https://iqibd.com/properties/241,Y,Y,,For Sale,,Y,Single,Y,
,900 sqft,,Apartment,Y,,Y,,,1st,,,Y,,Un-Furnished,,"Badda,",,2,3,,," ৳6,000,000 ",https://iqibd.com/properties/242,Y,Y,,For Sale,,Y,,Y,
,1302 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,Y,Un-Furnished,12 Katha,"Badda,",,2,3,Y,," ৳7,600,000 ",https://iqibd.com/properties/243,Y,Y,,For Sale,,Y,,Y,2019
,1350 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,,"Aftabnagar,",,3,3,Y,," ৳9,800,000 ",https://iqibd.com/properties/244,Y,Y,,For Sale,,Y,,Y,
,1500 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,7 Katha,"Mohammadpur,",2,3,3,Y,," ৳11,500,000 ",https://iqibd.com/properties/232,Y,Y,,For Sale,,,A1,Y,2022
,2250 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",4,3,3,Y,," ৳19,000,000 ",https://iqibd.com/properties/221,Y,Y,,For Sale,,Y,Single,Y,2021
,1650 sqft,,Apartment,Y,,Y,Y,,"2nd,6th,7th",1,,Y,,Un-Furnished,4 Katha,"Bashundhara,",3,3,3,Y,," ৳13,000,000 ",https://iqibd.com/properties/223,Y,Y,,For Sale,,Y,Single,Y,2023
,1455 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,Y,Un-Furnished,7.5 Katha,"Bashundhara,",3,3,3,Y,," ৳10,000,000 ",https://iqibd.com/properties/222,Y,Y,,For Sale,,Y,5B,Y,2013
,900sqft,,Apartment,Y,,Y,,,1st,,,Y,,Un-Furnished,10 Katha,"Mohammadpur,",2,2,2,,," ৳6,900,000 ",https://iqibd.com/properties/224,,Y,,For Sale,,,D1,Y,2021
,925 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,5 Katha,"Mohammadpur,",2,2,2,Y,," ৳4,500,000 ",https://iqibd.com/properties/225,Y,Y,,For Sale,,Y,5B,Y,2010
,1360 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,5 Katha,"Mohammadpur,",3,3,3,Y,," ৳8,500,000 ",https://iqibd.com/properties/226,Y,Y,,For Sale,,Y,A7,Y,2020
,1400 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,4.6 Katha,"Mohammadpur,",2,3,3,Y,," ৳8,600,000 ",https://iqibd.com/properties/227,Y,Y,,For Sale,,Y,2B,Y,2023
,2400 sqft,,Apartment,,,Y,Y,,7th,1,,Y,Y,Un-Furnished,5 Katha,"Uttara,",4,3,3,Y,," ৳18,500,000 ",https://iqibd.com/properties/229,Y,Y,,For Sale,,,Single,Y,2011
,1800 sqft,,Apartment,,,Y,Y,,"2nd,4th,6th.8th",1,,Y,,Un-Furnished,11 Katha,"Bashundhara,",,3,3,Y,," ৳16,800,000 ",https://iqibd.com/properties/230,Y,Y,,For Sale,,,,Y,2023
,1775 sqft,,Apartment,Y,,Y,Y,,"2nd,4th,6th.8th",1,,Y,,Un-Furnished,11 Katha,"Bashundhara,",,3,4,Y,," ৳16,200,000 ",https://iqibd.com/properties/231,Y,Y,,For Sale,,Y,,Y,2023
,2700 sqft,,Apartment,Y,,Y,Y,,1st,2,,Y,Y,Un-Furnished,5 Katha,"Bashundhara,",2,4,4,Y,," ৳22,000,000 ",https://iqibd.com/properties/220,Y,Y,,For Sale,,Y,Single,Y,2018
,1860 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,Y,Un-Furnished,3.5 Katha,"Uttara,",3,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/228,Y,Y,,For Sale,,Y,A1,Y,2022
,1850 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,3.25 Katha,"Lalmatia,",3,4,2,Y,," ৳25,000,000 ",https://iqibd.com/properties/209,Y,Y,,For Sale,,Y,A6,Y,2022
,2982 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,6 Katha,"Gulshan,",3,5,4,Y,," ৳40,000,000 ",https://iqibd.com/properties/208,Y,Y,,For Sale,,Y,A6,Y,2022
,1160 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Un-Furnished,3.65 Katha,"Mirpur,",2,3,3,Y,," ৳6,500,000 ",https://iqibd.com/properties/210,Y,Y,,For Sale,,Y,2B,Y,2022
,1900 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,3 Katha,"Banasree,",2,4,4,Y,," ৳15,500,000 ",https://iqibd.com/properties/211,Y,Y,,For Sale,,Y,Single,Y,2014
,1700 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,,"Badda,",3,4,4,Y,," ৳13,000,000 ",https://iqibd.com/properties/212,Y,Y,,For Sale,,Y,Single,Y,2022
Y,7300 sqft,Y,Apartment,Y,,Y,Y,Y,3rd & 4th,1,Y,Y,,Un-Furnished,19.5 Katha,"Gulshan,",4,5,4,Y,," ৳145,000,000 ",https://iqibd.com/properties/213,Y,Y,,For Sale,Y,Y,3B & 4B,Y,2019
,2900 sqft,Y,Apartment,Y,,Y,Y,,3rd,2,Y,Y,,Un-Furnished,14.95 Katha,"Gulshan,",3,4,4,Y,," ৳50,000,000 ",https://iqibd.com/properties/214,Y,,,For Sale,Y,Y,3B,Y,2022
,1515 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,Y,Un-Furnished,5 Katha,"Uttara,",3,3,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/215,Y,Y,,For Sale,,,2A & 2B,Y,2013
,2600 sqft,,Apartment,Y,,Y,Y,,7th,1,,Y,,Un-Furnished,5 Katha,"Uttara,",4,5,4,Y,," ৳22,000,000 ",https://iqibd.com/properties/218,Y,Y,,For Sale,,,Single,Y,2022
,1300 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,5 Katha,"Uttara,",3,3,3,Y,," ৳12,000,000 ",https://iqibd.com/properties/217,Y,Y,,For Sale,,Y,A1,Y,2022
,1200 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,5 Katha,"Uttara,",3,3,3,Y,," ৳14,000,000 ",https://iqibd.com/properties/219,Y,Y,,For Sale,,Y,4A,Y,2022
,1091 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,,"Badda,",2,3,3,,," ৳6,800,000 ",https://iqibd.com/properties/207,Y,Y,,For Sale,,Y,B2,Y,2012
,1450 sqft,,Apartment,Y,,Y,Y,,7th,,,Y,,Un-Furnished,14.50 Katha,"Mirpur,",2,3,3,Y,," ৳8,200,000 ",https://iqibd.com/properties/196,Y,Y,,For Sale,,Y,C7,Y,2022
,1200 sqft,,Apartment,Y,,Y,Y,,8th,,,Y,,Un-Furnished,14.50 Katha,"Mirpur,",2,3,3,,," ৳6,600,000 ",https://iqibd.com/properties/197,Y,Y,,For Sale,,Y,F8,Y,2022
,1524 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Un-Furnished,3.3 Katha,"Bashundhara,",3,3,3,,," ৳9,200,000 ",https://iqibd.com/properties/200,Y,Y,,For Sale,,Y,Single,Y,2023
,1560 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,3 Katha,"Bashundhara,",3,3,3,Y,," ৳11,000,000 ",https://iqibd.com/properties/199,Y,Y,,For Sale,,Y,Single,Y,2012
,1524 sqft,,Apartment,Y,,Y,Y,,"1st,7th",1,,Y,,Un-Furnished,3.3 Katha,"Bashundhara,",3,3,3,Y,," ৳8,800,000 ",https://iqibd.com/properties/198,Y,Y,,For Sale,,Y,Single,Y,2023
,2900 sqft,,Apartment,Y,,Y,Y,Y,8th,2,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",2,3,3,Y,," ৳39,000,000 ",https://iqibd.com/properties/201,Y,Y,,For Sale,Y,Y,,Y,2019
,1864 sqft,,Apartment,Y,,Y,Y,,2nd,2,,Y,,Un-Furnished,12.5 katha,"Mohammadpur,",2,4,3,Y,," ৳21,000,000 ",https://iqibd.com/properties/202,Y,Y,,For Sale,,Y,2C,Y,2012
Y,2421 sqft,,Apartment,Y,,Y,Y,,3rd,1,Y,Y,,Un-Furnished,10 Katha,"Gulshan,",2,3,3,Y,," ৳40,000,000 ",https://iqibd.com/properties/204,Y,,,For Sale,,Y,B2,Y,2012
,2087 sqft,,Apartment,Y,,Y,Y,,4th,2,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",3,4,3,Y,," ৳29,000,000 ",https://iqibd.com/properties/203,Y,Y,,For Sale,,Y,,Y,2006
,1500 sqft,,Apartment,Y,,Y,Y,,1sr & 3rd,1,,Y,,Un-Furnished,2.57 Katha,"Mirpur,",3,3,3,Y,," ৳9,000,000 ",https://iqibd.com/properties/205,Y,Y,,For Sale,,Y,Single,Y,2022
,1600 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,,"Banasree,",3,3,3,Y,," ৳11,000,000 ",https://iqibd.com/properties/206,Y,Y,,For Sale,,Y,Single,Y,2018
,1450 sqft,,Apartment,Y,,Y,Y,,"3rd,5th",1,,Y,,Un-Furnished,14.50 Katha,"Mirpur,",2,3,3,Y,," ৳8,600,000 ",https://iqibd.com/properties/195,Y,Y,,For Sale,,Y,"C3,C5",Y,2022
,2260 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,6 Katha,"Uttara,",3,4,4,Y,," ৳21,000,000 ",https://iqibd.com/properties/183,Y,Y,,For Sale,,Y,Single,Y,2022
,1540 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,5 Katha,"Lalmatia,",3,3,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/184,Y,Y,,For Sale,,Y,Single,Y,2006
,2240 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",3,4,4,Y,," ৳24,000,000 ",https://iqibd.com/properties/185,Y,Y,,For Sale,,Y,Single,Y,2020
,1110 sqft,,Apartment,Y,,Y,Y,,5th,,,Y,,Un-Furnished,5.5 Katha,"Badda,",,3,3,Y,," ৳6,800,000 ",https://iqibd.com/properties/186,Y,Y,,For Sale,,Y,5A,Y,
,1095 sqft,,Apartment,Y,,Y,,,5th,,,Y,,Un-Furnished,5.5 Katha,"Badda,",,3,3,,," ৳6,700,000 ",https://iqibd.com/properties/187,Y,Y,,For Sale,,Y,5B,Y,
,1765 sqft,,Apartment,Y,,Y,Y,Y,4th,1,Y,Y,,Un-Furnished,10 Katha,"Badda,",2,3,3,Y,," ৳11,800,000 ",https://iqibd.com/properties/188,Y,Y,,For Sale,,Y,4C,Y,2021
