Amenities,Bathroom,Bed,Description,Location,PricePerMonth,PropertyType,Size,Status,url
"4 months ago,Bangladesh,Land Share,Drawing,Dining,2 Veranda,Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1350 Sqft land share in Banasree M Block will be sold. There is one  car parking with a share price.,Plot: 41.17 Katha,Total number of flats 176 .,10 storey building ( G + 9),Details of the flat: 3 beds, 3 baths, 3 balconies, drawing, dining, kitchen.,Building Details: Elevators, stairs, generator, intercom, CC camera, convention hall, reception room and Car parking.",Banasree M Block.,1500000,Apartment,1350 Sqft,Out of Stock,https://www.bdstall.com/details/near-hatirjheel-banasree-1350-sqft-apartment-land-share-83817/
"4 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,2 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1250 Sqft land will be sold on the opposite side of the most attractive police park along Rampura Banasree C / D Avenue.,Plot: 7.5 Katha,4 units on each floor,10 storey building (G + 9),Details of the flat: 3 beds, 3 baths, 2 balconies, drawing, dining, kitchen.,Building Details: lift, stairs, CCTV camera, generator, intercom, prayer room, convention hall, reception room, fire extinguishing system, standby generator, lightning control system, solar system and car parking.","Opposite Banasree Police Park, Rampura",2500000,Apartment,1250 Sqft,Out of Stock,https://www.bdstall.com/details/banasree-near-police-park-1250-sqft-land-share-73287/
"5 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,3 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"A 1252 Sqft flat will be sold in Arshi Nagar along with Mohammadpur.,** Payment facility in 30 months instalments **,4 Units on each floor,9 Storey of Building ( G + 8 ),Details of flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: Elevator, Stairs, Generator, Administrative support, CCTV security system, Prayer room, Fireplace, Intercom, Reception room and Car parking.",Arshi Nagar,5200000,Apartment,1252 Sqft,Out of Stock,https://www.bdstall.com/details/near-mohammadpur-1252-sqft-apartment-sale-74684/
"5 months ago,Bangladesh,New Apartment, Drawing , Dining,2 Veranda, Kitchen,Yes ,Yes",3 Bathroom,3 Bed,"Shares of 1200 sqft  apartment  in South Keraniganj Hasnabad  Bashundhara Riverview will be sold.,Plot: 9.5  Katha ( East facing corner plot ),4 units on each floor,10 storey building ( G + 9),Details of the flat: 3 Beds, 3 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.","Bashundhara Riverview , Block - A.",5200000,Apartment,1200 Sqft,Out of Stock,https://www.bdstall.com/details/south-keraniganj-1200-sqft-ready-apartment-sale-83342/
"5 months ago,Bangladesh,Land Share,Drawing, Dining,2 Veranda,Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"1500 Sqft flat land share will sale in important areas of capital Dhaka, Motijheel, Gulistan, Segunbagicha, Kakrail and elite areas near Bangladesh Secretariat Vijaynagar.,Plot: 10 Katha,4 units on each floor,15 storey building ( Basement and G + 14),Details of the flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",Bijoy Nagar,6500000,Apartment,1500 Sqft,Out of Stock,https://www.bdstall.com/details/paltan-vijay-nagar-1500-sqft-apartment-land-share-83343/
"5 months ago,Bangladesh,Land Share, Drawing , Dining,3 Veranda, Kitchen,Yes,Yes",3 Bathroom,,"Shares of 1300 Sqft  land share in Aftabnagar M block will be sold.,Plot: 8 Katha,3 units on each floor,10 storey building (  G + 9),Details of the flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room, Birds Zone, Swimming Pool, Gymnasium, Barbecue corner.","Aftabnagar M Block , Sector - 4.",3500000,Apartment,1300 Sqft ,Out of Stock,https://www.bdstall.com/details/aftabnagar-m-block-1300-sqft-apartment-land-share-83341/
"5 months ago,Bangladesh,New Apartment,2 Veranda,1 Kitchen,Yes ,Yes,Yes",3 Bathroom,,"1350 sqft apartments will be sold next to Rampura  Banasree Farazi Hospital in the elite area of ​​the capital. There is 1 car parking with Apratment.,Plot: 4 Katha ( south facing),2 units on each floor,7 storey building,Details of the flat: 3 Beds, 3 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, Intercom ,  Reception Room and Car Parking.",Banasree E Block.,8500000,Apartment,1350 Sqft,Out of Stock,https://www.bdstall.com/details/banasree-near-farazi-hospital-1350-sqft-apartment-sale-83339/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,Veranda,Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1200 sqft land share in Rampura Banasree F block will be sold.,Plot: 17.10 Katha (West and East facing plots),Total number of shares is 72.,Details of the flat: 3 Beds, 3 Baths, Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",Banasree F Block.,3500000,Apartment,1200 Sqft,Out of Stock,https://www.bdstall.com/details/banasree-f-block-1200-sqft-apartment-land-share-83384/
"4 months ago,Bangladesh,New Apartment,Drawing,Dining,2 Veranda,Kitchen,Yes,Yes",2 Bathroom,3 Bed,"1200 Sqft apartment will be sold in a noise free pleasant environment in North Nandipara Rasulbagh (Golarbari) residential area next to Trimohani Bus Stand on Rampura-Staff Quarter Highway.,Details of the flat: 3 Beds, 2 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",North  Nandipara,5200000,Apartment,1200 Sqft,Out of Stock,https://www.bdstall.com/details/south-banasree-nandipara-1200-sqft-ready-apartment-83383/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,2 Veranda,Kitchen,Yes,Yes,Yes",2 Bathroom,3 Bed,"Shares of 1050  Sqft land share in Trimohoni Masterpara  will be sold.,Plot: 10 Katha,5 units on each floor,10 storey building ( G + 9),Details of the flat: 3 Beds, 2 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details: Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",Trimohoni,1700000,Apartment,1050 Sqft,Out of Stock,https://www.bdstall.com/details/trimohoni-masterpara-1050-sqft-apartment-land-share-83515/
