area,balconies -amenity,num_bath_rooms,num_bed_rooms,location,price,building_type,property_url,purpose,City,Area,Address,Hot water and heating-amenity,Parks-amenity,Post Office-amenity,Civil Defense-amenity,Police Box-amenity,College-amenity,Wi-Fi connectivity-amenity,Garden-amenity,Gas-amenity,Electronic security-amenity,Generator-amenity,Gas Connection-amenity,Eid congregation place-amenity,WASA connection-amenity,Solar panels-amenity,Inter com-amenity,null-amenity,Gymnasium-amenity,Mosque-amenity,Hospital-amenity,Cylinder Gas-amenity,Security Alarm System-amenity,Fire Services-amenity,Servent Toilet-amenity,Fire Protection-amenity,Water Supply-amenity,Telephone line-amenity,Lift-amenity,Lakes-amenity,Self Water supply-amenity,Servent Room-amenity,CCTV-amenity,Play Ground-amenity,Electricity-amenity,Bazaar-amenity,Banks-amenity,Fire exit-amenity,Security-amenity,Pool-amenity,Universities-amenity,Graveyard-amenity,Mosque/Prayer Room-amenity,Satellite or cable TV-amenity,School-amenity,Guest Parking-amenity
3600.0,0.0,0.0,0.0,"Banasree , Dhaka",468000.0,Commercial,https://www.bdhousing.com/details/245564/3600-sqft-showroom-shop-restaurant-for-rent-at-banasree,Rent,Dhaka,Banasree,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
880.0,0.0,0.0,0.0,"Uttara , Dhaka",30000.0,Commercial,https://www.bdhousing.com/details/242728/880-sqft-showroom-shop-restaurant-for-rent-at-uttara,Rent,Dhaka,Uttara,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
1553.0,2.0,3.0,3.0,"Mirpur 13 , Dhaka",30000.0,Residential,https://www.bdhousing.com/details/245539/1553-sqft-3-beds-apartment-flats-for-rent-at-mirpur-15,Rent,Dhaka,,Mirpur 13 ,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
4600.0,0.0,0.0,0.0,"Badda , Dhaka",414000.0,Commercial,https://www.bdhousing.com/details/241170/9000-sqft-office-space-for-rent-at-badda,Rent,Dhaka,Badda,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
1200.0,3.0,3.0,3.0,"Shyamoli , Dhaka",2500.0,Residential,https://www.bdhousing.com/details/244754/1200-sqft-3-beds-apartment-flats-rent-shyamoli,Rent,Dhaka,Shyamoli,,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No
1200.0,3.0,2.0,3.0,"Dakshin khan , Dhaka",13000.0,Residential,https://www.bdhousing.com/details/245807/1200-sqft-3-beds-apartment-flats-rent-dakshin-khan,Rent,Dhaka,Dakshin Khan,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
1340.0,4.0,3.0,3.0,"Mirpur 12 , Dhaka",25000.0,Residential,https://www.bdhousing.com/details/244724/assure-wisteria-1340-square-feet,Rent,Dhaka,,Mirpur 12 ,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No
1130.0,3.0,3.0,3.0,"Rampura , Dhaka",18000.0,Residential,https://www.bdhousing.com/details/243801/1130-sqft-3-beds-apartment-flats-rent-rampura,Rent,Dhaka,Rampura,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
900.0,2.0,2.0,2.0,"Mohammadpur , Dhaka",16000.0,Residential,https://www.bdhousing.com/details/245492/900-sqft-2-beds-apartment-flats-for-rent-at-mohammadpur,Rent,Dhaka,Mohammadpur,,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
2200.0,3.0,4.0,4.0,"Uttara , Dhaka",60000.0,Residential,https://www.bdhousing.com/details/243829/2170-sqft-4-beds-apartment-flats-for-rent-at-uttara,Rent,Dhaka,Uttara,,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
2000.0,2.0,3.0,3.0,"Khulshi , Chittagong",32000.0,Residential,https://www.bdhousing.com/details/245688/sunny-apartment-2000-sqft-3-beds-rent-khulshi,Rent,,Khulshi, Chittagong,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
1600.0,1.0,3.0,3.0,"Dhanmondi , Dhaka",37000.0,Residential,https://www.bdhousing.com/details/245681/1600-sqft-3-beds-apartment-flats-rent-dhanmondi,Rent,Dhaka,Dhanmondi,,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
