amenities,area,building_type,location,num_bath_rooms,num_bed_rooms,price,purpose
Flooring##Balcony or Terrace##View##Parking Spaces##: 1##Lobby in Building##Flooring##Elevators in Building##: 1##Electricity Backup##Balcony or Terrace##Double Glazed Windows##View##Parking Spaces##: 1##Floor Level##Maintenance Staff,"1,305 sqft",Apartment,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Beds,90 Lakh,For Sale
View##Floor Level##Flooring##Balcony or Terrace##Lobby in Building##Freehold##Double Glazed Windows##Electricity Backup##View##Floor Level##Waste Disposal##Flooring##Balcony or Terrace##Elevators in Building##: 1##Parking Spaces##: 1##Storage Areas##Intercom##CCTV Security##Maintenance Staff,"2,000 sqft",Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.25 Crore,For Sale
Parking Spaces##: 1##View##Floor Level##Flooring##Freehold##Parking Spaces##: 1##View##Floor Level##Lobby in Building##Flooring##Elevators in Building##: 1##Electricity Backup##Balcony or Terrace##Broadband Internet##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,700 sqft",Apartment,"Rupnagar R/A, Mirpur, Dhaka",4 Beds,4 Beds,1 Crore,For Sale
Floor Level##Parking Spaces##: 1##View##Flooring##Floor Level##Electricity Backup##Parking Spaces##: 1##View##Flooring##Elevators in Building##: 1##Balcony or Terrace##CCTV Security##Maintenance Staff,"2,190 sqft",Apartment,"Sector 12, Uttara, Dhaka",3 Beds,3 Beds,2.8 Crore,For Sale
Parking Spaces##: 1##Balcony or Terrace##Flooring##Floor Level##Double Glazed Windows##Electricity Backup##Parking Spaces##: 1##Balcony or Terrace##Flooring##Lobby in Building##Floor Level##View##Elevators in Building##: 2##24 Hours Concierge##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"2,720 sqft",Apartment,"PC Culture Housing, Mohammadpur, Dhaka",5 Beds,5 Beds,2.05 Crore,For Sale
Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##Double Glazed Windows##View##Electricity Backup##Balcony or Terrace##Floor Level##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"2,120 sqft",Apartment,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2.4 Crore,For Sale
Flooring##Floor Level##View##Parking Spaces##: 1##Waste Disposal##Flooring##Elevators in Building##: 1##Floor Level##View##Parking Spaces##: 1##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Electricity Backup##Broadband Internet##CCTV Security##Cleaning Services,"1,510 sqft",Apartment,"Naya Paltan, Motijheel, Dhaka",3 Beds,3 Beds,1.45 Crore,For Sale
Parking Spaces##: 1##Balcony or Terrace##Floor Level##View##Lobby in Building##Electricity Backup##Freehold##Parking Spaces##: 1##Balcony or Terrace##Elevators in Building##: 2##Floor Level##View##Flooring##Broadband Internet##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,580 sqft",Apartment,"Section 7, Mirpur, Dhaka",3 Beds,3 Beds,1.28 Crore,For Sale
View##Balcony or Terrace##Parking Spaces##: 1##Floor Level##Freehold##View##Balcony or Terrace##Lobby in Building##Parking Spaces##: 1##Floor Level##Double Glazed Windows##Electricity Backup##Waste Disposal##Flooring##Elevators in Building##: 1##Storage Areas##Intercom##CCTV Security##Maintenance Staff,"1,758 sqft",Apartment,"Turag, Dhaka",3 Beds,3 Beds,1.2 Crore,For Sale
View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Parking Spaces##: 1##Elevators in Building##: 1##Freehold##Floor Level##Intercom##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,530 sqft",Apartment,"Block J, Section 3, Mirpur, Dhaka",4 Beds,4 Beds,1.08 Crore,For Sale
