Location,num_bath_rooms,num_bed_rooms,area,property_description,building_type,property_type,price,AD URL,City,Area,Address,Cable TV-amenity,Microwave-amenity,Grill-amenity,Pool-amenity,Dishwasher-amenity,null-amenity,Air conditioning-amenity,Computer-amenity,Parking-amenity,Internet-amenity,Heating-amenity,Balcony-amenity,Lift-amenity
 Dhaka ,0.0,0.0,3600.0,"The Valley is a small gated community land project located on the Dhaka-Mawa highway (Beside Nimtola Bazar).This project Has 398 plots on 144 bigha land. All are 3, 4, 5 Katha plots. well organized plots with 3 playing fields over 9 bighas and 4 parks over 3 bighas.Our ready plots are for sale by one-time or installment payment.",Sale,Residential,4200000.0,https://www.estatemartbd.com/property/234/en/the_valley_bangladesh,Dhaka,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No
 Banasree Dhaka ,3.0,3.0,1250.0,"জমি: ৬৭ কাঠা/ (৭৩ কাঠা)
টাওয়ার: ৬টি
ফ্লাট: ৪১৬ট
শেয়ার: ২০৮টি
৩০০ ফুট রাস্তার একটি প্লট পরে। 
সাইড রাস্তা আছে ১৬ ফিট
৩০০ফুট থেকে প্রথম প্লট থেকে জমি কিনে প্লটে রাস্তা হবে ২০' /১৮০', পিছনে রাস্তা রয়েছে ১৬ ফিট। 
নাম মাত্র বুকিং দিয়ে আপনার শেয়ারটি নিশ্চিত  করুন। ১৪মার্চ ২০২২ জমি রেজিষ্ট্রেশন। 
সাথে আরও জমি আছে, ৪ বিঘা  সকলের সহযোগীতা থাকলে আমরা নিজেরাই একটা আধুনিক ভিলেজ করতে পারবো।",Sale,Residential,1660000.0,https://www.estatemartbd.com/property/231/en/1250_sqft_flat_for_sale_along_with_the_land_share_at_south_banasree,,, Banasree Dhaka ,No,No,No,No,No,Yes,No,No,No,No,No,No,No
 Dhaka ,3.0,3.0,1518.0,"When it comes to securing a permanent address in this busy city like Dhaka, a steady life has become a necessity. Green Fantasy brings you this lovely home. 1518 sqft Large Apartment in Paltan with an area that offers you enough space always guarantees water, gas, and electricity. The apartment in this beautiful place is inexpensive. This ready apartment for sale on the top floor offers the comfortable life you want in Paltan, Dhaka.  Contact us at your earliest to buy about this luxurious apartment.01810103993    in online largest real estate portal in Bangladesh - EstateMart",Sale,Residential,16698000.0,https://www.estatemartbd.com/property/233/en/1518_sqft_3_beds_large_apartment_is_ready_for_sale_in_paltan_dhaka_estatemart,Dhaka,,,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes
 Dhaka ,2.0,3.0,950.0,,Sale,Residential,29500000.0,https://www.estatemartbd.com/property/240/en/sina_sweet_pea,Dhaka,,,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No
 Dhaka ,3.0,3.0,1400.0,"This apartment is spacious. The kitchen is beautifully decorated with tiles, cupboards and bathrooms are well equipped. The large windows and open floor of the apartment offer a comfortable life. There are other facilities such as electricity, water, gas, and security. You do not have to worry about utilities as long as you live with your family in this apartment.  Address: Road # 02, Shymoli, Mohammadpur, DhakaLand Size : 07 KathaApartment Size : 1400sftNumber of Apartment : 13 Nos. Building Height : G + 7Handover : Ready Bedrooms -  03Bathrooms - 03Veranda – 02 Excellent floor layout& apartment has been furnishedCross ventilation facility in all rooms; To buy the more ready flat.",Sale,Residential,8700000.0,https://www.estatemartbd.com/property/232/en/ready_flat_for_sale_in_shyamoli_shakhertek_main_rd_nearby_mohammdpur_jame_masjid,Dhaka,,,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
 Dhaka ,3.0,3.0,1000.0,"G.A Buddi Montro Pur is the perfect place if you are looking for one of the most select and affordable in the beautiful area. The beautiful apartment has amazing 3 beds and 3 baths which is enough to convince you to grab the house right away. All bedrooms are combined with a well-fitting toilet for the best living environment for your family. The house has a balcony and a beautiful kitchen. The matching roof covering gives the room enough light throughout the day.   5 Katha, Brand New Flat. Section - 12, Block - B,Road - 12,House -216 Pallabi Mirpur  Floor: 8,  Unit: 2 Units. Total building: G+8 Not Yet (Will be soon)   House# 60, Road# 03, Sector# 12, Mirpur, Dhaka-1216 For any kinds of help & informationTania Ahmed01973388524 Thanking bye",Sale,Residential,6000000.0,https://www.estatemartbd.com/property/229/en/a_fairly_large_1000_sq_ft_apartment_is_ready_for_sale_in_section_12_pallabi,Dhaka,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 1208 ,2.0,0.0,1500.0,"1500 Sft(approx) ready Space avialble for Office/Showroom/Warehouse with 2 no's Toilets,1 Car parking space, DESCO line, WASA line, Floor tiles adjacent to Shanta Tower in Tejgaon",Rent,Residential,60000.0,https://www.estatemartbd.com/property/239/en/commercial_space_to_let,,, 1208 ,No,No,No,No,No,Yes,No,No,No,No,No,No,No
 Dhaka ,3.0,3.0,1300.0,"The happy future of your dream home is now in your hands. G,A Setara Apartment is very well designed to provide you with a premium life and special facilities like indoor and outdoor amenities. This plan reflects the community's vision of finding convenient locations in terms of infrastructure, design, and city planning. At the same time, it also provides a satisfying value for your money. First, Visit then make your decision.So what are you waiting for, please contact us to book this apartment?  2 Katha, Brand New Flat.Project address: Section - 12, Block - B,Road - 9/1,House -52/2216 Pallabi Mirpur Floor: 6,  Unit: 2 Units. Total building: G+2 Not Yet (Will be soon)  House# 60, Road# 03, Sector# 12, Mirpur, Dhaka-1216 For any kinds of help & informationTania Ahmed01973388524",Sale,Residential,7500000.0,https://www.estatemartbd.com/property/230/en/a_well_developed_1300_sq_ft_apartment_is_available_for_sale_in_section_12_mirpur,Dhaka,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Savar ,0.0,0.0,115.0,"Booking Ongoing!FIRST FLOOR BEST LOCATION SHOP!Shop size: 115 sft. Buy the shop of your dreams today at the most promising and premium shopping malls of Savar called Olympia Plaza situated near Savar DOHS and D-EPZ. Book your shop with only 1 lakh taka only. You can avail the following features if you buy your shop At Olympia Plaza:- 180 feet wide road.- 280+ Parking.- Central AC.- All time power backup.- 8 lifts including Capsule Lift, Passenger Lift, Cargo Lift.- Escalator.- Top Security: CCTV Monitored Space.- International Standard Fire Exit.- 25,000 SFT per floor.- Adjacent 24km Dhaka - Ashulia Expressway.- Rajuk member.
At Olympia Plaza your shop will have plenty of visitors because of the following more shops and features at the market:- Agent Banking.- Departmental Store.- Super Shop.- Crockeries & Brand Shops.- Boutique Shops.- Jewelry Shops.- Ready made garment Shops.- Electronics.- Food Zone.- Kids Play Zone.- Convention Hall.- 4 star hotel Austino from 6th to 16th floor of Olympia Plaza. ** Also get 24+ installment features.Status of Project: Under Construction / On-going.Please feel free to contact us for more details.",Sale,Commercial,1725000.0,https://www.estatemartbd.com/property/206/en/buy_1st_floor_shop_at_olympia_plaza,,Savar,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
 Dhaka ,2.0,3.0,1075.0,Assistant ManagerCell: 01611556613Scion Asset Developers Ltd,Sale,Residential,6500000.0,https://www.estatemartbd.com/property/165/en/scion_priyota_apartment_for_sale,Dhaka,,,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
