area,balconies,baths,bedroom,location,price,property_type,property_url,purpose,City,Area,Address,Mosque/Prayer Room-amenity,Parks-amenity,Telephone line-amenity,Solar panels-amenity,Bazaar-amenity,Garden-amenity,Generator-amenity,Hot water and heating-amenity,Security Alarm System-amenity,Inter com-amenity,School-amenity,Guest Parking-amenity,Satellite or cable TV-amenity,Fire Services-amenity,Graveyard-amenity,Gas Connection-amenity,Civil Defense-amenity,Pool-amenity,Play Ground-amenity,Lakes-amenity,null-amenity,Water Supply-amenity,Gas-amenity,Gymnasium-amenity,Police Box-amenity,Universities-amenity,Banks-amenity,CCTV-amenity,Cylinder Gas-amenity,Self Water supply-amenity,Fire exit-amenity,WASA connection-amenity,Servent Room-amenity,Electronic security-amenity,Electricity-amenity,Security-amenity,College-amenity,Eid congregation place-amenity,Fire Protection-amenity,Hospital-amenity,Servent Toilet-amenity,Post Office-amenity,Wi-Fi connectivity-amenity,Lift-amenity,Mosque-amenity
3600.0,,,,"Banasree , Dhaka",468000.0,Commercial,https://www.bdhousing.com/details/245564/3600-sqft-showroom-shop-restaurant-for-rent-at-banasree,Rent,Dhaka,Banasree,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
880.0,,,,"Uttara , Dhaka",30000.0,Commercial,https://www.bdhousing.com/details/242728/880-sqft-showroom-shop-restaurant-for-rent-at-uttara,Rent,Dhaka,Uttara,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No
1553.0,2.0,3.0,3.0,"Mirpur 13 , Dhaka",30000.0,Residential,https://www.bdhousing.com/details/245539/1553-sqft-3-beds-apartment-flats-for-rent-at-mirpur-15,Rent,Dhaka,,Mirpur 13 ,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
4600.0,,,,"Badda , Dhaka",414000.0,Commercial,https://www.bdhousing.com/details/241170/9000-sqft-office-space-for-rent-at-badda,Rent,Dhaka,Badda,,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No
1200.0,3.0,3.0,3.0,"Shyamoli , Dhaka",2500.0,Residential,https://www.bdhousing.com/details/244754/1200-sqft-3-beds-apartment-flats-rent-shyamoli,Rent,Dhaka,Shyamoli,,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No
1200.0,3.0,2.0,3.0,"Dakshin khan , Dhaka",13000.0,Residential,https://www.bdhousing.com/details/245807/1200-sqft-3-beds-apartment-flats-rent-dakshin-khan,Rent,Dhaka,Dakshin Khan,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No
1340.0,4.0,3.0,3.0,"Mirpur 12 , Dhaka",25000.0,Residential,https://www.bdhousing.com/details/244724/assure-wisteria-1340-square-feet,Rent,Dhaka,,Mirpur 12 ,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes
1130.0,3.0,3.0,3.0,"Rampura , Dhaka",18000.0,Residential,https://www.bdhousing.com/details/243801/1130-sqft-3-beds-apartment-flats-rent-rampura,Rent,Dhaka,Rampura,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
900.0,2.0,2.0,2.0,"Mohammadpur , Dhaka",16000.0,Residential,https://www.bdhousing.com/details/245492/900-sqft-2-beds-apartment-flats-for-rent-at-mohammadpur,Rent,Dhaka,Mohammadpur,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No
2200.0,3.0,4.0,4.0,"Uttara , Dhaka",60000.0,Residential,https://www.bdhousing.com/details/243829/2170-sqft-4-beds-apartment-flats-for-rent-at-uttara,Rent,Dhaka,Uttara,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes
