amenities,area,bathrooms,bedrooms,garage,location,price,pstatus,ptype,url
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit",40000 sqft,,,,"Holding No -15, Block-D, South Jarun Bazar, Konabari, Gazipur","?160,000,000",For Sale,Commercial,https://dhakahome.com/property/factory-for-sale-at-konabari-gazipur/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit",2600 sqft,4,5,1,"5th floor, house-221, Road-02, Baridhara DOHS","?31,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-4/
"Electricity Backup,Boundary Wall,Gas Supply",2.5 katha,,,,"House-I/15/A, road-4, Arifabad Housing, Mirpur, Dhaka","?35,000,000",For Sale,Residential,https://dhakahome.com/property/house-for-sale-4/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Intercom,Gas Supply,Emergency Exit",2250 sqft,4,3,1,"7th Floor, House-04, Road-06, Sector-01, Uttara","?20,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-5/
"Electricity Backup,Boundary Wall,Gas Supply",1440 sqft,,,,"5/B Malibag, Dhaka 1217","?22,000,000",For Sale,Residential,https://dhakahome.com/property/house-for-sale-5/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Intercom,Gas Supply,Emergency Exit",1175 sqft,3,3,1,"H#10, R#7, Janata housing, Agargaon, Dhaka.","?9,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-7/
"Lift,Electricity Backup,Boundary Wall,Fire Extinguisher,Parking,Gas Supply,Emergency Exit",1237 sqft,3,2,1,"H#391, R#06, Baridhara (DOHS)","?12,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-8/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit,Furnished",,,,,Gulshan-2,"Tk?6,000/150000",Serviced Apartment(Rent),Residential,https://dhakahome.com/property/service-apartment-at-gulshan-2/
"Lift,Electricity Backup,Lobby,Boundary Wall",2250 2250sqft,3,3,1,"Bashundhara, Block-D","Monthly?180,000",Serviced Apartment(Rent),Residential,https://dhakahome.com/property/service-apartment/
"Lift,Electricity Backup,Lobby,Parking,Servant Room,Kitchen Cabinet,Gas Supply,Furnished",1450 sqft,3,3,1,"Bashundhara, Block-F","Monthly?120,000",Serviced Apartment(Rent),Residential,https://dhakahome.com/property/service-apartment-3/
"Electricity Backup,Lobby,Parking,Kitchen Cabinet,Gas Supply,Furnished",1000 sqft,2,2,1,"Uttara, Sector-1,Road-06","Monthly?90,000",Serviced Apartment(Rent),Residential,https://dhakahome.com/property/service-apartment-4/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit,Furnished",2250 sqft,4,3,1,"1st floor, House-173, Road-4, block-D, bashundhara","Per Day?6,000",Serviced Apartment(Rent),Residential,https://dhakahome.com/property/service-apartment-at-d-block-bashundhara/
"Electricity Backup,Lobby,Boundary Wall,Parking,Kitchen Cabinet,Intercom,Gas Supply,Furnished",1530 sqft,4,3,1,"House-280, Road- Afroza Begume, Block-F, Bashundhara",Par Day 5000/-,Serviced Apartment(Rent),Residential,https://dhakahome.com/property/service-apartment-5/
"Lift,Electricity Backup,Lobby,Boundary Wall,Parking,Servant Room,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit,Furnished",2700 sqft,5,4,1,"House-03, Road-06, Sector-01, Uttara","Per Day?6,000",Serviced Apartment(Rent),Residential,https://dhakahome.com/property/service-apartment-at-uttara/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit,Furnished",1200 sqft,4,3,1,"House-182, Road-09, Block-I, Bashundhara",Per Day BDT 4500,Serviced Apartment(Rent),Residential,https://dhakahome.com/property/furnished-apartment/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit,Furnished",1250 sqft,2,2,,House-4 Road-6 Sector-1 Uttara,"?4,500",Serviced Apartment(Rent),Residential,https://dhakahome.com/property/2-bed-room-service-apartment-in-uttara/
"Lift,Electricity Backup,Lobby,Fire Extinguisher,Parking,Kitchen Cabinet,Intercom,Gas Supply,Furnished",1000 sqft,2,2,,"Natunbazar, Block-J","?12,500,000",For Sale,Residential,https://dhakahome.com/property/service-apartment-2/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Intercom,Gas Supply",1490 sqft,3,3,1,"Sideswari, Circular Road","?11,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-at-siddeswari/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit",3100 sqft,5,3,1,"4rh Floor, House-1/B, Road-73, Gulshan-2,Dhaka","?60,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Intercom,Emergency Exit",2612 sqft,5,3,1,"House-13, Road-41, Gulshan-2 Dhaka","?47,500,000",For Sale,Residential,https://dhakahome.com/property/luxuries-flat-for-slae/
"Electricity Backup,Boundary Wall,Parking,Gas Supply",2160 sqft,,,,"12/Kha/5, , Shudi Shamaj, Shiddeswary, Dhaka.","?60,000,000",For Sale,Residential,https://dhakahome.com/property/house-for-sale-2/
,1315 sqft,4,3,1,"House-26/2, Road-01, Kollynpur, Dhaka","?9,500,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-2/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit,Furnished",1450 sqft,3,3,,Uttara,"?4,500/90000",Serviced Apartment(Rent),Residential,https://dhakahome.com/property/service-apartment-uttara-18/
"Boundary Wall,Gas Supply",1100 sqft,2,3,,"Nirala Kutir, H-106, North Bashaboo","?16,000",To-Let,Residential,https://dhakahome.com/property/house-for-rent/
