amenities,area,bathrooms,bedrooms,garage,location,price,pstatus,ptype,url
"Parking,Servant Room,Kitchen Cabinet,Gas Supply",3000 sqft,6,4,1,"Block D, Bashundhara, Dhaka, Bangladesh","?22,000,000",For Sale,Residential,https://dhakahome.com/property/duplex-house-for-sale-in-basundhara-residential-area/
Boundary Wall,???? ???????,,,,"????? ??????, ??/?? ?????, ??? ?????, ?????? ??????, ??????????, ????-????","?14,000,000",For Sale,Plot,https://dhakahome.com/property/%e0%a6%ac%e0%a6%be%e0%a6%a1%e0%a6%bc%e0%a6%bf-%e0%a6%b8%e0%a6%b9-%e0%a6%9c%e0%a6%ae%e0%a6%bf-%e0%a6%ac%e0%a6%bf%e0%a6%95%e0%a7%8d%e0%a6%b0%e0%a6%bf%e0%a5%a4/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Intercom,Gas Supply,Emergency Exit",1130 sqft,3,3,,"House#18, Road# 29/A, Pallabi, Mirpur","?8,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-9/
"Lift,Electricity Backup,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Gas Supply,Emergency Exit,Furnished",7200 sqft,,,,"Paradise Castle Tower, For Commercial Purpose. Location - Paradise Castle Tower 37/38. DIT plot, Chasara, Balurmath Narayanganj, Dhaka - 1229.","?144,000,000",For Sale,Commercial,https://dhakahome.com/property/commercial-space-for-sale/
"Lift,Electricity Backup,Boundary Wall,Fire Extinguisher,Parking,Kitchen Cabinet,Intercom",1420 sqft,3,3,1,"building name: imperial diba tower. House:32,road:29,pallabi Mirpur, Dhaka- 7800.","?11,500,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-10/
"Lift,Electricity Backup,Boundary Wall,Gas Supply,Emergency Exit",800 sqft,2,2,,"11/4 (Ruby Garden), Pallabi, Mirpur","?6,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-6/
"Lift,Electricity Backup,Lobby,Fire Extinguisher,Parking,Kitchen Cabinet,Intercom,Emergency Exit",6200 sqft,,,,"Paradise tower, plot - 11, Road - 2, Sector - 3, uttara.","?200,000,000",For Sale,Commercial,https://dhakahome.com/property/commercial-space-for-sale-2/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Kitchen Cabinet,Intercom,Gas Supply,Furnished",1750 sqft,3,3,1,"House-10, Road-4/A, Sec-5, Uttara.","?22,500,000",For Sale,Residential,https://dhakahome.com/property/full-furnished-luxurious-apartment-for-sale/
"Lift,Electricity Backup,Lobby,Boundary Wall,Fire Extinguisher,Parking,Kitchen Cabinet,Intercom,Gas Supply,Emergency Exit",15 Katha 1786 Sqft,3,3,1,"116 Road No # 14, Gulshan, Dhaka, Bangladesh","?28,000,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-gulshan-1-%e0%a6%ac%e0%a6%be%e0%a6%a1%e0%a6%bc%e0%a6%bf-%e0%a6%ac%e0%a6%bf%e0%a6%95%e0%a7%8d%e0%a6%b0%e0%a6%bf-%e0%a6%97%e0%a7%81%e0%a6%b2%e0%a6%b6%e0%a6%be%e0%a6%a8-%e0%a7%a7/
"Lift,Electricity Backup,Lobby,Boundary Wall,Kitchen Cabinet,Intercom,Gas Supply",1200 sqft,3,3,,"KA,21/1/B, Kalachadpur, School road, Nadda, Gulshan-2, Dhaka-1212","?24,000",To-Let,Residential,https://dhakahome.com/property/flat-for-rent/
"Lift,Electricity Backup,Boundary Wall,Fire Extinguisher,Parking,Servant Room,Kitchen Cabinet,Gas Supply",2780 sqft,6,5,,"Block D, Bashundhara, Dhaka, Bangladesh","?60,000",To-Let,Residential,https://dhakahome.com/property/flat-for-rent-block-d-bashundhara/
"Lift,Electricity Backup,Lobby,Boundary Wall,Parking",1425 sqft,3,3,1,"Mohammedpur Future Town, Bosila, Dhaka, Bangladesh","?8,550,000",For Sale,Residential,https://dhakahome.com/property/flat-for-sale-6-2/
"Boundary Wall,Intercom,Gas Supply",1600 sqft,,,,"51/1 West Malibagh, Dhaka-1217","?50,000,000",For Sale,Residential,https://dhakahome.com/property/house-for-sale-3/
