area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,property_description,property_overview,property_url,purpose,city,locality,address
1350.0,Apartment,NA,3.0,3.0,1500000,"Shares of 1350 Sqft land share in Banasree M Block will be sold. There is one  car parking with a share price.,Plot: 41.17 Katha,Total number of flats 176 .,10 storey building ( G + 9),Details of the flat: 3 beds, 3 baths, 3 balconies, drawing, dining, kitchen.,Building Details: Elevators, stairs, generator, intercom, CC camera, convention hall, reception room and Car parking.",NA,https://www.bdstall.com/details/near-hatirjheel-banasree-1350-sqft-apartment-land-share-83817/,Sale,NA,,Banasree M Block.
1250.0,Apartment,NA,3.0,3.0,2500000,"Shares of 1250 Sqft land will be sold on the opposite side of the most attractive police park along Rampura Banasree C / D Avenue.,Plot: 7.5 Katha,4 units on each floor,10 storey building (G + 9),Details of the flat: 3 beds, 3 baths, 2 balconies, drawing, dining, kitchen.,Building Details: lift, stairs, CCTV camera, generator, intercom, prayer room, convention hall, reception room, fire extinguishing system, standby generator, lightning control system, solar system and car parking.",NA,https://www.bdstall.com/details/banasree-near-police-park-1250-sqft-land-share-73287/,Sale,NA,Rampura,Opposite Banasree Police Park
1252.0,Apartment,NA,3.0,3.0,5200000,"A 1252 Sqft flat will be sold in Arshi Nagar along with Mohammadpur.,** Payment facility in 30 months instalments **,4 Units on each floor,9 Storey of Building ( G + 8 ),Details of flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: Elevator, Stairs, Generator, Administrative support, CCTV security system, Prayer room, Fireplace, Intercom, Reception room and Car parking.",NA,https://www.bdstall.com/details/near-mohammadpur-1252-sqft-apartment-sale-74684/,Sale,NA,,Arshi Nagar
1200.0,Apartment,NA,3.0,3.0,5200000,"Shares of 1200 sqft  apartment  in South Keraniganj Hasnabad  Bashundhara Riverview will be sold.,Plot: 9.5  Katha ( East facing corner plot ),4 units on each floor,10 storey building ( G + 9),Details of the flat: 3 Beds, 3 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",NA,https://www.bdstall.com/details/south-keraniganj-1200-sqft-ready-apartment-sale-83342/,Sale,NA,Bashundhara Riverview, Block - A.
1500.0,Apartment,NA,3.0,3.0,6500000,"1500 Sqft flat land share will sale in important areas of capital Dhaka, Motijheel, Gulistan, Segunbagicha, Kakrail and elite areas near Bangladesh Secretariat Vijaynagar.,Plot: 10 Katha,4 units on each floor,15 storey building ( Basement and G + 14),Details of the flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",NA,https://www.bdstall.com/details/paltan-vijay-nagar-1500-sqft-apartment-land-share-83343/,Sale,Dhaka,,Bijoy Nagar
1300.0,Apartment,NA,3.0,0.0,3500000,"Shares of 1300 Sqft  land share in Aftabnagar M block will be sold.,Plot: 8 Katha,3 units on each floor,10 storey building (  G + 9),Details of the flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room, Birds Zone, Swimming Pool, Gymnasium, Barbecue corner.",NA,https://www.bdstall.com/details/aftabnagar-m-block-1300-sqft-apartment-land-share-83341/,Sale,NA,,"Aftabnagar M Block , Sector - 4."
1350.0,Apartment,NA,3.0,0.0,8500000,"1350 sqft apartments will be sold next to Rampura  Banasree Farazi Hospital in the elite area of ​​the capital. There is 1 car parking with Apratment.,Plot: 4 Katha ( south facing),2 units on each floor,7 storey building,Details of the flat: 3 Beds, 3 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, Intercom ,  Reception Room and Car Parking.",NA,https://www.bdstall.com/details/banasree-near-farazi-hospital-1350-sqft-apartment-sale-83339/,Sale,NA,,Banasree E Block.
1200.0,Apartment,NA,3.0,3.0,3500000,"Shares of 1200 sqft land share in Rampura Banasree F block will be sold.,Plot: 17.10 Katha (West and East facing plots),Total number of shares is 72.,Details of the flat: 3 Beds, 3 Baths, Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",NA,https://www.bdstall.com/details/banasree-f-block-1200-sqft-apartment-land-share-83384/,Sale,NA,,Banasree F Block.
1200.0,Apartment,NA,2.0,3.0,5200000,"1200 Sqft apartment will be sold in a noise free pleasant environment in North Nandipara Rasulbagh (Golarbari) residential area next to Trimohani Bus Stand on Rampura-Staff Quarter Highway.,Details of the flat: 3 Beds, 2 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",NA,https://www.bdstall.com/details/south-banasree-nandipara-1200-sqft-ready-apartment-83383/,Sale,NA,North  Nandipara,
1050.0,Apartment,NA,2.0,3.0,1700000,"Shares of 1050  Sqft land share in Trimohoni Masterpara  will be sold.,Plot: 10 Katha,5 units on each floor,10 storey building ( G + 9),Details of the flat: 3 Beds, 2 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details: Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",NA,https://www.bdstall.com/details/trimohoni-masterpara-1050-sqft-apartment-land-share-83515/,Sale,NA,,Trimohoni
1400.0,Apartment,NA,3.0,3.0,1500000,"Shares of 1400 Sqft land share in Mirpur DOHS  will be sold.,Details of the flat: 3 Beds, 3 Baths,  Balconies, Drawing, Dining, Kitchen.,Building Details: Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",NA,https://www.bdstall.com/details/mirpur-dohs-1400-sqft-apartment-land-share-83431/,Sale,NA,,Dohs  60 Feet
