id,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone,price_log
bproperty-14087,1100.0,Apartment,Residential,3.0,3.0,22000.0,Rent,Dhaka,Mohammadpur,0,2,2,0,5,0,4,Dhaka,Mohammadpur,9.998797732340453
bproperty-14091,1300.0,Apartment,Residential,3.0,3.0,40000.0,Rent,Dhaka,Bashundhara R-A,0,2,2,0,4,0,5,Dhaka,Bashundhara R/A,10.596634733096073
bproperty-14092,1500.0,Apartment,Residential,3.0,3.0,35000.0,Rent,Dhaka,Uttara,0,1,3,2,2,0,4,Dhaka,Uttara,10.46310334047155
bproperty-14093,1350.0,Apartment,Residential,3.0,3.0,20000.0,Rent,Dhaka,Bashundhara R-A,0,0,0,0,4,0,3,Dhaka,Bashundhara R/A,9.903487552536127
bproperty-14094,1825.0,Apartment,Residential,4.0,3.0,60000.0,Rent,Dhaka,Uttara,0,2,1,0,3,0,4,Dhaka,Uttara,11.002099841204238
bproperty-14095,650.0,Apartment,Residential,2.0,2.0,18000.0,Rent,Dhaka,Mohammadpur,0,1,2,0,2,0,4,Dhaka,Mohammadpur,9.798127036878302
bproperty-14096,1700.0,Apartment,Residential,3.0,3.0,27000.0,Rent,Dhaka,Mirpur,0,2,1,0,2,0,5,Dhaka,Mirpur,10.203592144986466
bproperty-14097,1450.0,Apartment,Residential,3.0,3.0,70000.0,Rent,Dhaka,Uttara,0,2,2,0,4,0,4,Dhaka,Uttara,11.156250521031495
bproperty-14098,1450.0,Apartment,Residential,3.0,3.0,90000.0,Rent,Dhaka,Baridhara,0,2,3,2,4,0,6,Dhaka,Gulshan,11.407564949312402
bproperty-14099,1650.0,Apartment,Residential,5.0,3.0,58000.0,Rent,Dhaka,Lalmatia,0,1,1,0,4,0,3,Dhaka,Mohammadpur,10.968198289528557
bproperty-14100,1150.0,Apartment,Residential,2.0,3.0,14000.0,Rent,Dhaka,Mohammadpur,0,1,1,1,4,0,4,Dhaka,Mohammadpur,9.546812608597396
bproperty-14101,1200.0,Apartment,Residential,3.0,3.0,12000.0,Rent,Dhaka,Mohammadpur,0,1,2,1,3,0,4,Dhaka,Mohammadpur,9.392661928770137
bproperty-14102,1300.0,Apartment,Residential,3.0,3.0,40000.0,Rent,Dhaka,Bashundhara R-A,0,2,1,0,4,0,5,Dhaka,Bashundhara R/A,10.596634733096073
bproperty-14103,1800.0,Apartment,Residential,3.0,3.0,30000.0,Rent,Chattogram,Muradpur,0,2,0,0,2,0,3,Chattogram,Chattogram City,10.308952660644293
bproperty-14104,1300.0,Apartment,Residential,3.0,3.0,40000.0,Rent,Dhaka,Bashundhara R-A,0,2,1,0,4,0,5,Dhaka,Bashundhara R/A,10.596634733096073
bproperty-14105,1600.0,Apartment,Residential,3.0,3.0,28000.0,Rent,Dhaka,Hazaribag,0,1,1,0,0,0,3,Dhaka,Hazaribagh,10.239959789157341
bproperty-14106,2400.0,Apartment,Residential,3.0,3.0,120000.0,Rent,Dhaka,Gulshan,0,2,2,0,4,0,5,Dhaka,Gulshan,11.695247021764184
bproperty-14107,1350.0,Apartment,Residential,3.0,3.0,20000.0,Rent,Dhaka,Bashundhara R-A,0,0,0,0,4,0,3,Dhaka,Bashundhara R/A,9.903487552536127
bproperty-14108,1500.0,Apartment,Residential,3.0,3.0,75000.0,Rent,Dhaka,Bashundhara R-A,0,2,2,0,4,0,5,Dhaka,Bashundhara R/A,11.225243392518447
bproperty-14109,1100.0,Apartment,Residential,2.0,3.0,17000.0,Rent,Dhaka,Mirpur,0,0,2,0,5,0,3,Dhaka,Mirpur,9.740968623038354
bproperty-14110,1250.0,Apartment,Residential,3.0,3.0,17500.0,Rent,Dhaka,Mirpur,0,1,2,0,2,0,3,Dhaka,Mirpur,9.769956159911606
bproperty-14111,1385.0,Apartment,Residential,3.0,3.0,22000.0,Rent,Dhaka,Mirpur,0,1,2,0,3,0,3,Dhaka,Mirpur,9.998797732340453
bproperty-14112,1750.0,Apartment,Residential,4.0,4.0,22000.0,Rent,Dhaka,Mohammadpur,0,2,2,2,3,0,4,Dhaka,Mohammadpur,9.998797732340453
bproperty-14113,1400.0,Apartment,Residential,2.0,3.0,22000.0,Rent,Dhaka,Bashundhara R-A,0,2,3,0,4,0,4,Dhaka,Bashundhara R/A,9.998797732340453
bproperty-14114,1400.0,Apartment,Residential,3.0,3.0,21000.0,Rent,Chattogram,Panchlaish,0,0,0,0,0,0,4,Chattogram,Sub-district of Chattogram,9.95227771670556
bproperty-14115,1300.0,Apartment,Residential,3.0,3.0,40000.0,Rent,Dhaka,Bashundhara R-A,0,2,2,0,4,0,5,Dhaka,Bashundhara R/A,10.596634733096073
bproperty-14116,2000.0,Apartment,Residential,4.0,4.0,30000.0,Rent,Dhaka,Mohammadpur,0,2,2,0,4,0,4,Dhaka,Mohammadpur,10.308952660644293
bproperty-14117,1750.0,Apartment,Residential,3.0,3.0,35000.0,Rent,Chattogram,Khulshi,0,1,0,0,1,0,4,Chattogram,Chattogram City,10.46310334047155
bproperty-14118,1350.0,Apartment,Residential,3.0,3.0,19000.0,Rent,Dhaka,Bashundhara R-A,0,0,0,0,4,0,3,Dhaka,Bashundhara R/A,9.852194258148577
bproperty-14119,1260.0,Apartment,Residential,3.0,3.0,22000.0,Rent,Dhaka,Mohammadpur,0,2,2,1,4,0,4,Dhaka,Mohammadpur,9.998797732340453
bproperty-14120,1350.0,Apartment,Residential,3.0,3.0,20000.0,Rent,Dhaka,Bashundhara R-A,0,0,0,0,4,0,3,Dhaka,Bashundhara R/A,9.903487552536127
bproperty-14121,1350.0,Apartment,Residential,3.0,3.0,65000.0,Rent,Chattogram,Khulshi,0,1,2,1,1,0,4,Chattogram,Chattogram City,11.082142548877775
bproperty-14122,1360.0,Apartment,Residential,3.0,3.0,32000.0,Rent,Dhaka,Mohammadpur,0,2,2,1,4,0,4,Dhaka,Mohammadpur,10.373491181781864
bproperty-14123,2200.0,Apartment,Residential,3.0,3.0,75000.0,Rent,Dhaka,Baridhara,0,0,2,0,1,0,3,Dhaka,Gulshan,11.225243392518447
bproperty-14124,1400.0,Apartment,Residential,3.0,3.0,25000.0,Rent,Chattogram,Khulshi,0,1,2,0,1,0,3,Chattogram,Chattogram City,10.126631103850338
bproperty-14125,1250.0,Apartment,Residential,3.0,3.0,25000.0,Rent,Dhaka,Mohammadpur,0,1,2,1,3,0,4,Dhaka,Mohammadpur,10.126631103850338
bproperty-14126,2300.0,Apartment,Residential,3.0,3.0,120000.0,Rent,Dhaka,Baridhara,0,0,0,0,1,0,3,Dhaka,Gulshan,11.695247021764184
bproperty-14127,1500.0,Apartment,Residential,3.0,3.0,55000.0,Rent,Dhaka,Uttara,0,0,2,0,2,0,4,Dhaka,Uttara,10.915088464214607
bproperty-14128,1450.0,Apartment,Residential,3.0,3.0,25000.0,Rent,Dhaka,Uttara,0,2,3,0,3,0,4,Dhaka,Uttara,10.126631103850338
bproperty-14129,750.0,Apartment,Residential,2.0,2.0,16000.0,Rent,Dhaka,Mohammadpur,0,1,2,1,2,0,4,Dhaka,Mohammadpur,9.680344001221918
bproperty-14130,2000.0,Apartment,Residential,3.0,3.0,32000.0,Rent,Dhaka,Dhanmondi,0,1,1,0,4,0,3,Dhaka,Dhanmondi,10.373491181781864
bproperty-14131,900.0,Apartment,Residential,2.0,2.0,16000.0,Rent,Dhaka,Mohammadpur,0,0,2,1,1,0,4,Dhaka,Mohammadpur,9.680344001221918
bproperty-14132,1900.0,Apartment,Residential,4.0,3.0,50000.0,Rent,Dhaka,Dhanmondi,0,2,1,0,2,0,2,Dhaka,Dhanmondi,10.819778284410283
bproperty-14133,2900.0,Apartment,Residential,3.0,3.0,80000.0,Rent,Dhaka,Uttara,0,0,2,0,1,0,3,Dhaka,Uttara,11.289781913656018
bproperty-14134,1000.0,Apartment,Residential,2.0,2.0,12000.0,Rent,Dhaka,Mirpur,0,2,0,0,3,0,3,Dhaka,Mirpur,9.392661928770137
bproperty-14135,1850.0,Apartment,Residential,4.0,3.0,23000.0,Rent,Dhaka,Bashundhara R-A,0,0,0,0,4,0,3,Dhaka,Bashundhara R/A,10.043249494911286
bproperty-14137,1415.0,Apartment,Residential,3.0,3.0,22000.0,Rent,Dhaka,Mirpur,0,1,2,0,3,0,3,Dhaka,Mirpur,9.998797732340453
bproperty-14138,2250.0,Apartment,Residential,3.0,3.0,78000.0,Rent,Dhaka,Bashundhara R-A,0,1,0,0,3,0,3,Dhaka,Bashundhara R/A,11.26446410567173
bproperty-14139,3680.0,Apartment,Residential,4.0,3.0,150000.0,Rent,Dhaka,Gulshan,0,2,2,0,4,0,3,Dhaka,Gulshan,11.918390573078392
bproperty-14140,1250.0,Apartment,Residential,3.0,2.0,35000.0,Rent,Dhaka,Hatirpool,0,1,2,0,3,0,4,Dhaka,Hatirpool,10.46310334047155
bproperty-14141,2600.0,Apartment,Residential,4.0,4.0,65000.0,Rent,Dhaka,Uttara,0,1,2,0,5,0,3,Dhaka,Uttara,11.082142548877775
bproperty-14142,1250.0,Apartment,Residential,3.0,3.0,16000.0,Rent,Dhaka,Mirpur,0,1,2,0,2,0,3,Dhaka,Mirpur,9.680344001221918
bproperty-14143,2530.0,Apartment,Residential,4.0,4.0,33000.0,Rent,Dhaka,Bashundhara R-A,0,0,0,0,4,0,3,Dhaka,Bashundhara R/A,10.404262840448617
bproperty-14144,500.0,Apartment,Residential,1.0,1.0,12000.0,Rent,Dhaka,Dhanmondi,0,1,2,0,3,0,3,Dhaka,Dhanmondi,9.392661928770137
bproperty-14145,1365.0,Apartment,Residential,3.0,3.0,20000.0,Rent,Chattogram,9 No. North Pahartali Ward,0,1,0,0,1,0,4,Chattogram,Chattogram City,9.903487552536127
bproperty-14146,1200.0,Apartment,Residential,3.0,3.0,15000.0,Rent,Dhaka,Cantonment,0,0,1,0,3,0,3,Dhaka,Dhaka Cantonment,9.615805480084347
bproperty-14147,1570.0,Apartment,Residential,3.0,3.0,35000.0,Rent,Dhaka,Uttara,0,1,1,0,2,0,3,Dhaka,Uttara,10.46310334047155
bproperty-14148,2100.0,Apartment,Residential,3.0,3.0,90000.0,Rent,Dhaka,Gulshan,0,2,2,0,4,0,3,Dhaka,Gulshan,11.407564949312402
bproperty-14149,1850.0,Apartment,Residential,4.0,3.0,23000.0,Rent,Dhaka,Bashundhara R-A,0,0,0,0,4,0,3,Dhaka,Bashundhara R/A,10.043249494911286
bproperty-14150,2201.0,Apartment,Residential,3.0,4.0,30000.0,Rent,Dhaka,Banasree,0,2,2,0,4,0,4,Dhaka,Khilgaon,10.308952660644293
bproperty-14151,2750.0,Apartment,Residential,3.0,3.0,150000.0,Rent,Dhaka,Gulshan,0,2,2,0,4,0,5,Dhaka,Gulshan,11.918390573078392
bproperty-14152,1850.0,Apartment,Residential,4.0,3.0,23000.0,Rent,Dhaka,Bashundhara R-A,0,0,0,0,4,0,3,Dhaka,Bashundhara R/A,10.043249494911286
bproperty-14153,1200.0,Apartment,Residential,3.0,3.0,22000.0,Rent,Dhaka,Cantonment,0,1,2,0,3,0,4,Dhaka,Dhaka Cantonment,9.998797732340453
bproperty-14154,1050.0,Apartment,Residential,2.0,3.0,20000.0,Rent,Dhaka,Mohammadpur,0,2,1,2,3,0,4,Dhaka,Mohammadpur,9.903487552536127
bproperty-14155,3302.0,Apartment,Residential,5.0,5.0,80000.0,Rent,Dhaka,Bashundhara R-A,0,2,3,0,4,0,5,Dhaka,Bashundhara R/A,11.289781913656018
bproperty-14156,1100.0,Apartment,Residential,2.0,3.0,16000.0,Rent,Dhaka,Mirpur,0,0,2,0,5,0,3,Dhaka,Mirpur,9.680344001221918
bproperty-14157,1300.0,Apartment,Residential,3.0,3.0,25000.0,Rent,Chattogram,Khulshi,0,1,2,0,1,0,3,Chattogram,Chattogram City,10.126631103850338
bproperty-14158,1850.0,Apartment,Residential,3.0,3.0,45000.0,Rent,Dhaka,Uttara,0,2,1,0,3,0,3,Dhaka,Uttara,10.714417768752456
bproperty-14159,1100.0,Apartment,Residential,3.0,3.0,20000.0,Rent,Dhaka,Mohammadpur,0,0,2,0,3,0,2,Dhaka,Mohammadpur,9.903487552536127
bproperty-14160,1050.0,Apartment,Residential,2.0,3.0,20000.0,Rent,Dhaka,Mohammadpur,0,2,1,2,3,0,4,Dhaka,Mohammadpur,9.903487552536127
bproperty-14161,2500.0,Apartment,Residential,2.8394139279668438,4.0,70000.0,Rent,Dhaka,Baridhara,0,1,2,0,1,0,2,Dhaka,Gulshan,11.156250521031495
bproperty-14162,1400.0,Apartment,Residential,3.0,3.0,30000.0,Rent,Chattogram,Khulshi,0,1,2,0,1,0,3,Chattogram,Chattogram City,10.308952660644293
bproperty-14164,1500.0,Apartment,Residential,2.8394139279668438,3.0,50000.0,Rent,Dhaka,Uttara,0,0,3,0,3,0,4,Dhaka,Uttara,10.819778284410283
bproperty-14165,1100.0,Apartment,Residential,2.8394139279668438,3.0,14000.0,Rent,Dhaka,Khilkhet,0,0,0,0,2,0,4,Dhaka,Khilkhet,9.546812608597396
bproperty-14166,1254.0,Apartment,Residential,3.0,3.0,16000.0,Rent,Chattogram,Double Mooring,0,0,0,0,1,0,3,Chattogram,Chattogram City,9.680344001221918
bproperty-14167,1100.0,Apartment,Residential,2.8394139279668438,3.0,17000.0,Rent,Dhaka,Mirpur,0,0,2,0,3,0,3,Dhaka,Mirpur,9.740968623038354
bproperty-14168,1170.0,Apartment,Residential,2.8394139279668438,3.0,24000.0,Rent,Dhaka,Malibagh,0,1,1,0,2,0,3,Dhaka,Ramna,10.085809109330082
bproperty-14169,1650.0,Apartment,Residential,3.0,3.0,27000.0,Rent,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A,10.203592144986466
bproperty-14170,1500.0,Apartment,Residential,2.8394139279668438,3.0,35000.0,Rent,Dhaka,Uttara,0,1,3,0,3,0,3,Dhaka,Uttara,10.46310334047155
bproperty-14171,2010.0,Apartment,Residential,3.0,3.0,42000.0,Rent,Dhaka,Bashundhara R-A,0,1,1,0,4,0,3,Dhaka,Bashundhara R/A,10.645424897265505
bproperty-14172,1388.0,Apartment,Residential,2.8394139279668438,3.0,35000.0,Rent,Dhaka,Dhanmondi,0,1,1,0,3,0,3,Dhaka,Dhanmondi,10.46310334047155
bproperty-14173,1100.0,Apartment,Residential,2.8394139279668438,4.0,18000.0,Rent,Dhaka,Mirpur,0,1,3,0,0,0,2,Dhaka,Mirpur,9.798127036878302
bproperty-14175,1800.0,Apartment,Residential,2.8394139279668438,3.0,35000.0,Rent,Dhaka,Uttara,0,1,2,0,3,0,3,Dhaka,Uttara,10.46310334047155
bproperty-14176,1200.0,Apartment,Residential,2.0,3.0,16000.0,Rent,Chattogram,4 No Chandgaon Ward,0,0,0,0,1,0,3,Chattogram,Chattogram City,9.680344001221918
bproperty-14177,1350.0,Apartment,Residential,3.0,3.0,21000.0,Rent,Dhaka,Maghbazar,0,1,2,0,5,0,3,Dhaka,Ramna,9.95227771670556
bproperty-14178,1150.0,Apartment,Residential,2.8394139279668438,3.0,25000.0,Rent,Dhaka,Mirpur,0,1,1,0,3,0,4,Dhaka,Mirpur,10.126631103850338
bproperty-14179,650.0,Apartment,Residential,2.8394139279668438,2.0,14000.0,Rent,Dhaka,Mohammadpur,0,0,2,0,2,0,3,Dhaka,Mohammadpur,9.546812608597396
bproperty-14180,1296.0,Apartment,Residential,2.8394139279668438,3.0,24000.0,Rent,Dhaka,Mohammadpur,0,1,2,0,1,0,4,Dhaka,Mohammadpur,10.085809109330082
bproperty-14181,1050.0,Apartment,Residential,2.8394139279668438,3.0,17000.0,Rent,Dhaka,Mirpur,0,2,2,1,2,0,4,Dhaka,Mirpur,9.740968623038354
bproperty-14182,2050.0,Apartment,Residential,5.0,4.0,22000.0,Rent,Dhaka,Mohammadpur,0,1,0,0,0,0,3,Dhaka,Mohammadpur,9.998797732340453
bproperty-14183,1759.0,Apartment,Residential,2.8394139279668438,3.0,17000.0,Rent,Dhaka,Mohammadpur,0,2,3,2,3,0,4,Dhaka,Mohammadpur,9.740968623038354
bproperty-14184,3000.0,Apartment,Residential,4.0,4.0,130000.0,Rent,Chattogram,Khulshi,0,1,2,1,1,0,3,Chattogram,Chattogram City,11.77528972943772
bproperty-14185,700.0,Apartment,Residential,2.8394139279668438,2.0,13000.0,Rent,Dhaka,Mirpur,0,1,1,0,3,0,4,Dhaka,Mirpur,9.472704636443673
bproperty-14186,650.0,Apartment,Residential,2.8394139279668438,2.0,14000.0,Rent,Dhaka,Mohammadpur,0,0,2,0,2,0,3,Dhaka,Mohammadpur,9.546812608597396
bproperty-14187,1990.0,Apartment,Residential,3.0,3.0,45000.0,Rent,Dhaka,Eskaton,0,2,1,0,5,0,3,Dhaka,Ramna,10.714417768752456
bproperty-14188,1500.0,Apartment,Residential,3.0,3.0,30000.0,Rent,Dhaka,Uttara,0,1,2,0,5,0,3,Dhaka,Uttara,10.308952660644293
bproperty-14189,1500.0,Apartment,Residential,3.0,2.0,115000.0,Rent,Dhaka,Baridhara,0,1,2,1,4,0,3,Dhaka,Gulshan,11.652687407345388
bproperty-14190,2300.0,Apartment,Residential,3.0,3.0,42000.0,Rent,Dhaka,Bashundhara R-A,0,2,2,0,5,0,4,Dhaka,Bashundhara R/A,10.645424897265505
bproperty-14191,2180.0,Apartment,Residential,2.8394139279668438,3.0,65000.0,Rent,Dhaka,Uttara,0,1,2,0,4,0,3,Dhaka,Uttara,11.082142548877775
bproperty-14192,1850.0,Apartment,Residential,4.0,3.0,23000.0,Rent,Dhaka,Bashundhara R-A,0,2,3,0,3,0,4,Dhaka,Bashundhara R/A,10.043249494911286
bproperty-14193,1580.0,Apartment,Residential,3.0,3.0,25000.0,Rent,Chattogram,Khulshi,0,1,2,0,1,0,3,Chattogram,Chattogram City,10.126631103850338
bproperty-14194,1476.0,Apartment,Residential,2.8394139279668438,3.0,27000.0,Rent,Dhaka,Cantonment,0,1,3,0,4,0,4,Dhaka,Dhaka Cantonment,10.203592144986466
bproperty-14195,920.0,Apartment,Residential,2.8394139279668438,3.0,16000.0,Rent,Dhaka,Ibrahimpur,0,1,2,0,3,0,5,Dhaka,Mirpur,9.680344001221918
bproperty-14196,1100.0,Apartment,Residential,2.8394139279668438,3.0,18000.0,Rent,Dhaka,Mirpur,0,1,1,0,3,0,4,Dhaka,Mirpur,9.798127036878302
bproperty-14197,1450.0,Apartment,Residential,3.0,3.0,23000.0,Rent,Chattogram,Khulshi,0,1,2,0,0,0,4,Chattogram,Chattogram City,10.043249494911286
bproperty-14198,1650.0,Apartment,Residential,4.0,3.0,30000.0,Rent,Dhaka,Bashundhara R-A,0,2,1,0,3,0,5,Dhaka,Bashundhara R/A,10.308952660644293
bproperty-14199,1840.0,Apartment,Residential,4.0,3.0,50000.0,Rent,Dhaka,Uttara,0,1,1,0,2,0,3,Dhaka,Uttara,10.819778284410283
