address,apartment_facing,balcony,basement,bath,bed,building_facing,building_registration_type,common_area_size,features,floor,front_road_size,garage_size,gas,house_rules,interior,lift,nearby_landmark,parking,preferred_tenant,price,property_type,property_url,purpose,servant_room,servant_washroom,service_charge,size,title,total_units,unit,unit_per_floor,year_built
"Road 24, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",5th Floor Available,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,02, Road 24,01, Foreigner,"BDT 250,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-brand-new-fully-furnished-flat-of-2200-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01, Not fixed yet,2200 Sq Ft,A Modern Well-planned Brand New Fully-Furnished Flat Of 2200 Sq Ft Is Up For Rent In Gulshan,16 Units,B5, 02,2023
"Road 11, Apartment Rent in Banani, Dhaka", South, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view","1st, 2nd, 5th, 8th Floor",16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 11,01, Foreigner,"BDT 110,000/-", Residential,https://rents.com.bd/property/brand-new-tastefully-designed-this-2400-sq-ft-apartment-now-vacant-for-rent-in-banani/,For Rent, 01, 01," BDT 10,000/-",2400 Sq Ft,Brand New & Tastefully Designed This 2400 SQ FT Apartment Now Vacant For Rent In Banani,18 Units,"A2, B2, A3, B3, A6, B9", 02,2023
"Road 11, Apartment Rent in Banani, Dhaka", South, 01 Balconies,,02 Bathrooms,02 Bedrooms,, Residential,120 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",9th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 11,01, Foreigner,"BDT 90,000/-", Residential,https://rents.com.bd/property/brand-new-1800-sq-ft-apartment-now-vacant-for-rent-in-banani/,For Rent, 01, 01," BDT 10,000/-",1800 Sq Ft,Brand New 1800 SQ FT Apartment Now Vacant For Rent In Banani,18 Units,10B, 02,2023
"Road 100, Apartment Rent in Gulshan, Dhaka", East, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view",4th Floor,16 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 100,02, Foreigner,"BDT 300,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-4200-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 12,000/-",4200 Sq Ft,A Modern Well-planned Flat Of 4200 Sq Ft Is Up For Rent In Gulshan,20 Units,4A, 02,2010
"Road 13, Apartment Rent in Banani, Dhaka", East, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",5th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 13,01, Foreigner,"BDT 110,000/-", Residential,https://rents.com.bd/property/brand-new-tastefully-designed-this-2050-sq-ft-apartment-now-vacant-for-rent-in-banani/,For Rent, 01, 01," BDT 12,000/-",2050 Sq Ft,Brand New & Tastefully Designed This 2050 SQ FT Apartment Now Vacant For Rent In Banani,9 Units,A5, 01,2023
"Park Road, Apartment Rent in Baridhara Diplomatic Zone, Dhaka", North, 03 Balconies,,05 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,Swimming Pool",5th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Park Road,01, Foreigner,"BDT 560,000/-", Residential,https://rents.com.bd/property/brand-new-4900-sq-ft-apartment-now-vacant-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, Including with rent,4900 Sq Ft,Brand New 4900 SQ FT Apartment Now Vacant For Rent In Baridhara Diplomatic Zone,10 Units,5A, 01,2023
"Road 24, Apartment Rent in Gulshan, Dhaka", East, 04 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",1st & 4th Floor Available,16 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 24,02, Foreigner,"BDT 250,000/-", Residential,https://rents.com.bd/property/brand-new-apartment-of-4000-sq-ft-is-up-for-rent-in-the-fine-location-of-gulshan/,For Rent, 01, 01, Including,4000 Sq Ft,Brand New Apartment Of 4000 Sq Ft Is Up For Rent In The Fine Location Of Gulshan,10 Units,A1 & A4, 01,2023
"Road 21, Apartment Rent in Gulshan, Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",7th Floor Available,24 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 21,01, Foreigner,"BDT 100,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-2250-sq-ft-is-up-for-rent-is-situated-in-gulshan/,For Rent, 01, 01," BDT 15,000/-",2250 Sq Ft,A Modern Well-planned Flat Of 2250 Sq Ft Is Up For Rent Is Situated In Gulshan,20 Units,B7, 02,2017
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 03,,, West Facing, Commercial,1250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",11th-15th floor available, 50 Ft.,600 Sq Ft.,,,Un-Furnished,03,Gulshan Avenue,05 car parking,," BDT 29,00,000/- (BDT 145/- per Sq Ft)", Commercial,https://rents.com.bd/property/brand-new-and-tastefully-designed-this-20000-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 300,000/- (BDT 15/- per Sq Ft)",20000 Sq. Ft. (Per floor 4000 Sq. Ft.),Brand New And Tastefully Designed This 20000 SQ FT Commercial Space Now Vacant For Rent In Gulshan Avenue, 21 Units,,01,2023
"Road 30, Office Space Rent in Gulshan, Dhaka",,,Basement 01,,, North Facing, Residential,1350 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Individual House,Open Space,Residential cum commercial building,Road side view,WiFi",Full Building, 30 Ft.,720 Sq Ft.,,,Un-Furnished,01,Road 30,06 car parking,," BDT 900,000/-", Residential Cum Commercial,https://rents.com.bd/property/14500-sq-ft-individual-house-is-available-for-rent-at-gulshan/,For Rent,,,At Actual,14500 Sq. Ft.,14500 Sq. Ft. Individual House Is Available For Rent At Gulshan, 6 Units,,01,2005
