address,apartment_facing,balcony,basement,bath,bed,building_facing,building_registration_type,common_area_size,features,floor,front_road_size,garage_size,gas,house_rules,interior,lift,nearby_landmark,parking,preferred_tenant,price,property_type,property_url,purpose,servant_room,servant_washroom,service_charge,size,title,total_units,unit,unit_per_floor,year_built
"Road 100, Apartment Rent in Gulshan, Dhaka", East, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view",4th Floor,16 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 100,02, Foreigner,"BDT 300,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-4000-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 12,000/-",4000 Sq Ft,A Modern Well-planned Flat Of 4000 Sq. Ft. Is Up For Rent In Gulshan,20 Units,4B, 02,2010
"Road 86, Apartment Rent in Gulshan, Dhaka", North, 05 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",6th & 7th Floor (Duplex),12 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Semi-Furnished,01, Road 86,02, Foreigner,"BDT 220,000/-", Residential,https://rents.com.bd/property/spaciously-designed-this-4500-sq-ft-apartment-now-vacant-for-rent-in-gulshan/,For Rent, 01, 01," BDT 17,000/-",4500 Sq Ft,Spaciously Designed This 4500 Sq. Ft. Apartment Now Vacant For Rent In Gulshan,14 Units,B7 & B8, 02,2012
"Park Road, Apartment Rent in Baridhara Diplomatic Zone, Dhaka", North, 06 Balconies,,09 Bathrooms,09 Bedrooms,, Residential,1450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Individual House,Open Space,Road side view",G+4,16 Ft.,720 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,01, Park Road ,06, Foreigner,"BDT 11,00,000/-", Residential,https://rents.com.bd/property/15000-sq-ft-full-building-now-vacant-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, N/A,15000 Sq Ft,15000 Sq. Ft. Full Building Now Vacant For Rent In Baridhara Diplomatic Zone,4 Units,Individual House, 01,1997
"Road 23, Apartment Rent in Banani, Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",4th Floor Available,24 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 23,01, Foreigner,"BDT 80,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-2000-sq-ft-is-up-for-rent-is-situated-in-banani/,For Rent, 01, 01," BDT 8,000/-",2000 Sq Ft,A Modern Well-planned Flat Of 2000 Sq Ft Is Up For Rent Is Situated In Banani,20 Units,A4, 02,2015
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, East Facing, Commercial,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",1st  floor, 50 Ft.,120 Sq. Ft.,,,Un-Furnished,06,Gulshan Avenue,"
",," BDT 352,000/- (BDT 160/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/uniquely-designed-2200-sq-ft-commercial-space-is-up-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 13,200/- (BDT 6/- Per Sq. Ft.)",2200 Sq Ft.,Uniquely Designed 2200 Sq Ft Commercial Space Is Up For Rent In Gulshan Avenue, 22 Units,,01,2009
"Road 12, Apartment Rent in Baridhara Diplomatic Zone, Dhaka", South, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",2nd-5th Floor Available,16 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 12,02, Foreigner,"BDT 350,000/-", Residential,https://rents.com.bd/property/stunning-luxury-home-of-3300-sq-ft-is-up-for-rent-in-the-fine-location-of-baridhara-diplomatic-zone/,For Rent, 01, 01," BDT 25,000/-",3300 Sq Ft,Stunning Luxury Home Of 3300 Sq Ft Is Up For Rent In The Fine Location Of Baridhara Diplomatic Zone,8 Units,"A2, A3, A4, A5", 01,2019
"Road 21, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",7th Floor Available,24 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,02, Road 21,01, Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/well-planned-fully-furnished-apartment-of-2250-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 15,000/-",2250 Sq Ft,Well-planned Fully-Furnished Apartment Of 2250 Sq Ft Is Up For Rent In Gulshan,20 Units,B7, 02,2017
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, East Facing, Commercial,450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",20th floor, 50 Ft.,360 Sq. Ft.,,,Un-Furnished,06,Gulshan Avenue,"
",," BDT 930,000/- (BDT 120/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/uniquely-designed-7750-sq-ft-commercial-space-is-up-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 46,500/- (BDT 6/- Per Sq. Ft.)",7750 Sq Ft.,Uniquely Designed 7750 Sq Ft Commercial Space Is Up For Rent In Gulshan Avenue, 22 Units,,01,2009
"Road 4, Office Space Rent in Banani, Dhaka",,,Basement 01,,, North Facing, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",Ground floor, 40 Ft.,240 Sq Ft.,,,Un-Furnished,01,Road 4,02 car parking,," BDT 260,000/-", Residential Cum Commercial,https://rents.com.bd/property/3600-sq-ft-nice-office-space-is-up-for-rent-at-banani/,For Rent,,,"BDT 20,000/- ",3600 Sq. Ft.,3600 Sq Ft Nice Office Space Is Up For Rent At Banani, 4 Units,,01,2000
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, East Facing, Commercial,450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",13th floor, 50 Ft.,240 Sq. Ft.,,,Un-Furnished,03,Gulshan Avenue,"
",," BDT 788,710/- (BDT 130/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-6067-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 60,670/- (BDT 10/- Per Sq. Ft.)",6067 Sq. Ft.,Spaciously Designed And Strongly Structured This 6067 Sq. Ft. Commercial Space Now Vacant For Rent In Gulshan Avenue, 10 Units,,01,2018
"Road 11, Office Space Rent in Banani, Dhaka",,,Basement 01,,, West Facing, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",1st floor, 40 Ft.,N/A,,,Un-Furnished,N/A,Road 11,N/A,," BDT 370,000/-", Residential Cum Commercial,https://rents.com.bd/property/3500-sq-ft-nice-office-space-is-up-for-rent-at-banani/,For Rent,,,"BDT 10,000/-",3500 Sq. Ft.,3500 Sq Ft Nice Office Space Is Up For Rent At Banani, 3 Units,,01,2008
"Kemal Ataturk Avenue, Commercial Space Rent in Banani, Dhaka",,,Basement 02,,, North Facing, Commercial,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",11th floor, 50 Ft.,120 Sq Ft.,,,Un-Furnished,02,Kemal Ataturk Avenue,01 car parking,," BDT 448,000/- (BDT 140/- per Sq Ft)", Commercial,https://rents.com.bd/property/tastefully-designed-this-3200-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,For Rent,,,"BDT 32,000/- (BDT 10/- per Sq Ft)",3200 Sq. Ft.,Tastefully Designed This 3200 SQ FT Commercial Space Now Vacant For Rent In Banani, 14 Units,,01,2010
"Road 6, Apartment Rent in Banani, Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",3rd Floor Available,24 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,01, Road 6,01, Foreigner,"BDT 80,000/-", Residential,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2000-sq-ft-apartment-now-vacant-for-rent-in-banani/,For Rent, 01, 01," BDT 8,500/-",2000 Sq Ft,Spaciously Designed And Strongly Structured This 2000 Sq. Ft. Apartment Now Vacant For Rent In Banani,14 Units,A3, 02,2010
"Gulshan Avenue, Apartment Rent in Gulshan, Dhaka", North, 04 Balconies,,05 Bathrooms,05 Bedrooms,, Residential,250 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view,Swimming Pool",11th – 13th Floor,36 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Gulshan Avenue,02 car parking, Foreigner,"BDT 400,000/-", Residential,https://rents.com.bd/property/brand-new-luxury-home-of-5400-sq-ft-is-up-for-rent-in-the-prestigious-community-of-gulshan/,For Rent, 01, 01, Not fixed yet.,5400 Sq Ft,Brand New Luxury Home Of 5400 Sq Ft Is Up For Rent In The Prestigious Community Of Gulshan,13 Units,"A-11, A-12, A-13", 01,2022
"Road 17, Furnished Apartment Rent in Banani, Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",13th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,02, Road 17,01 car parking, Foreigner,"BDT 150,000/-", Residential,https://rents.com.bd/property/uniquely-designed-2300-sq-ft-fully-furnished-flat-is-up-for-rent-in-banani/,For Rent, 01, 01, BDT 9000/-,2300 Sq Ft,Uniquely Designed 2300 Sq Ft Fully-Furnished Flat Is Up For Rent In Banani,26 Units,13-B, 02,2010
"Road 72, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",3rd Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,01, Road 72,01 car parking, Foreigner,"BDT 150,000/-", Residential,https://rents.com.bd/property/wonderful-fully-furnished-flat-covering-an-area-of-2200-sq-ft-is-available-for-rent-in-gulshan/,For Rent, 01, 01," BDT 13,000/-",2200 Sq Ft,Wonderful Fully-Furnished Flat Covering An Area Of 2200 Sq Ft Is Available For Rent In Gulshan,10 Units,A-3, 01,2012
"Road 18, Furnished Apartment Rent in Banani, Dhaka", East, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,220 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",9th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,02, Road 18,01 car parking, Foreigner,"BDT 165,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-fully-furnished-flat-of-3000-sq-ft-is-up-for-rent-in-banani/,For Rent, 01, 01," BDT 12,000/-",3000 Sq Ft,A Modern Well-planned Fully-Furnished Flat Of 3000 Sq Ft Is Up For Rent In Banani,18 Units,9B, 02,2010
"Gulshan Avenue, Restaurants Space Rent in Gulshan, Dhaka",,,Basement 04,,, North Facing, Commercial,280 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",Ground  floor, 50 Ft.,240 Sq. Ft.,,,Un-Furnished,03,Gulshan Avenue,"
",," BDT 15,60,000/- (BDT 300/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-5200-sq-ft-restaurant-space-now-vacant-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 52,000/- (BDT 10/- Per Sq. Ft.)",5200 Sq Ft.,Spaciously Designed And Strongly Structured This 5200 Sq. Ft Restaurant Space Now Vacant For Rent In Gulshan Avenue, 12 Units,,01,2018
"Road 11, Apartment Rent in Baridhara Diplomatic Zone, Dhaka", West, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,220 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",3rd & 4th Floor (duplex) ,16 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Semi-Furnished,01, Road 11,02 car parking, Foreigner,"BDT 200,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-2900-sq-ft-is-up-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01," BDT 12,000/-",2900 Sq Ft,A Modern Well-planned Flat Of 2900 Sq Ft Is Up For Rent In Baridhara Diplomatic Zone,10 Units,3A-4A (Duplex), 02,2010
"Road 99, Apartment Rent in Gulshan, Dhaka", North, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",5th Floor Available,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 99,01, Foreigner,"BDT 110,000/-", Residential,https://rents.com.bd/property/uniquely-designed-2100-sq-ft-flat-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 7,000/-",2100 Sq Ft,Uniquely Designed 2100 Sq Ft Flat Is Up For Rent In Gulshan,30 Units,C5, 03,2012
"Road 55, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", North, 01 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,120 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",5th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,01, Road 55,01 car parking, Foreigner,"BDT 180,000/-", Residential,https://rents.com.bd/property/wonderful-fully-furnished-apartment-covering-an-area-of-1900-sq-ft-is-available-for-rent-in-gulshan/,For Rent, 01, 01," BDT 9,000/-",1900 Sq Ft,Wonderful Fully-Furnished Apartment Covering An Area Of 1900 Sq Ft Is Available For Rent In Gulshan,10 Units,B5, 02,2008
"Road 13, Apartment Rent in Banani, Dhaka", East, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,220 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",3rd & 5th Floor Available,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,01, Road 13,01, Foreigner,"BDT 110,000/-", Residential,https://rents.com.bd/property/brand-new-2400-sq-ft-apartment-now-vacant-for-rent-in-banani-2/,For Rent, 01, 01, Not fixed yet.,2400 Sq Ft,Brand New 2400 SQ FT Apartment Now Vacant For Rent In Banani,9 Units,A3 & A5, 01,2023
"Road 113, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", North, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,120 Sq Ft.,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",12th Floor,16 Ft.,120 Sq. Ft.,L.P.G., Basic Rules, Fully-Furnished,01, Road 113,01 car parking, Foreigner,"BDT 160,000/-", Residential,https://rents.com.bd/property/brand-new-fully-furnished-apartment-covering-an-area-of-2900-sq-ft-is-available-for-rent-in-gulshan/,For Rent, 01, 01," BD15,000/-",2900 Sq Ft,Brand New Fully-Furnished Apartment Covering An Area Of 2900 Sq Ft Is Available For Rent In Gulshan,26 Units,12A, 02,2022
"Road 96, Apartment Rent in Gulshan, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view,Swimming Pool",5th Floor,16 Ft.,240 Sq. Ft.,L.P.G., Basic Rules, Un-Furnished,02, Road 96,02, Foreigner,"BDT 220,000/-", Residential,https://rents.com.bd/property/spaciously-designed-this-4300-sq-ft-apartment-now-vacant-for-rent-in-gulshan/,For Rent, 01, 01," BDT 25,000/-",4300 Sq Ft,Spaciously Designed This 4300 Sq. Ft. Apartment Now Vacant For Rent In Gulshan,20 Units,A-5, 02,2010
"Road 12, Commercial Space Rent in Banani, Dhaka",,,Basement 02,,, North Facing, Commercial,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",1st  floor, 50 Ft.,120 Sq. Ft.,,,Un-Furnished,02,Road 12,"
",," BDT 624,680/- (BDT 230/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2716-sq-ft-commercial-space-is-vacant-for-rent-in-banani/,For Rent,,,"BDT 25,000/-",2716 Sq Ft.,Spaciously Designed And Strongly Structured This 2716 Sq. Ft. Commercial Space Is Vacant For Rent In Banani, 8 Units,,01,2016
"Road 13, Office Space Rent in Banani, Dhaka",,,Basement 01,,, North Facing, Residential,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",1st floor, 30 Ft.,120 Sq. Ft.,,,Un-Furnished,01,Road 13,"
",," BDT 100,000/-", Residential Cum Commercial,https://rents.com.bd/property/this-1700-sq-ft-amazing-office-space-available-for-rent-in-banani/,For Rent,,,"BDT 9,500/-",1700 Sq. Ft.,This 1700 Sq. Ft. Amazing Office Space Available For Rent In Banani, 12 Units,,02,2010
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 10,,, West Facing, Commercial, 2700 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Full load generator,Generator Backup,Good Location,Open Space,Road side view","9th, 10th, 11th, 12th, 13th, 14th & 15th floor (per floor 4000 Sq Ft).", 50 Ft,4560 Sq Ft.,,,Un-Furnished, 03,Gulshan Avenue,"
",," BDT 44,80,000/- (BDT 160/- per Sq Ft.)", Commercial,https://rents.com.bd/property/excellent-brand-new-commercial-space-of-28000-sq-ft-is-up-for-rent-in-the-fine-location-of-gulshan-avenue/,For Rent,,," BDT 280,000/- (BDT 10/- per Sq Ft.)",28000 Sq Ft,Excellent Brand New Commercial Space Of 28000 Sq Ft Is Up For Rent In The Fine Location Of Gulshan Avenue, 23 Units,, 01,2022
