Link,Title,Price,Property ID,Area,Floor,Bedrooms,Bathrooms,Description,Latitude,Longitude,Features,Location,Status,Garages,Type
https://www.pchoicebd.com/property/6-storied-building-for-sale-at-north-banani/,6-Storied Building For Sale At North Banani,"TK  10,000,000 Ten Crore",11316,"1800,3000SqFt",6,3,3,"6-Storied Building For Sale At North Banani, Land 8 Khata14 Chetak, West & North View Corner Plot 6-Storied Building, Total 9 Apartment, Each Floor Two Flat,1800 Sft, 5th Floor Single Unit, 3000 Sft, Generator, Lift,
10 No’s Car Parking In The Ground",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Community Room', 'Concealed Phone', 'Floor Type', 'Gard Room', 'Generator', 'Intercom', 'Lift', 'Security Guard', 'Tiled Floors']",Banani,For Sale,1,Residential Apartment
https://www.pchoicebd.com/property/exclusive-brand-new-luxurious-full-furnished-apartment-for-sale/,Exclusive Brand New Luxurious Full Furnished Apartment For Sale,Price on call,11305,3650SqFt,5,4,4,"𝐄𝐱𝐜𝐥𝐮𝐬𝐢𝐯𝐞 𝐁𝐫𝐚𝐧𝐝 𝐧𝐞𝐰 𝐋𝐮𝐱𝐮𝐫𝐢𝐨𝐮𝐬 𝐅𝐮𝐥𝐥 𝐅𝐮𝐫𝐧𝐢𝐬𝐡𝐞𝐝
𝐀𝐩𝐚𝐫𝐭𝐦𝐞𝐧𝐭 𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧 : Bashundhara R/A.
South view 3650 Sft, 5th Floor, 4 Bed, with Bathroom, Excellent Dining, Drawing Space, Living Space, Two Lift & 2 Car parking
Cc/Camera Monitoring System, 24/7 Hours Security & Generator Back-Up",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'BBQ area', 'CCTV', 'Child Playground', 'Community Room', 'Concealed Phone', 'Driver Room', 'Emergency Exit', 'Fire Exit', 'Fire Extinguisher', 'Fire Hose', 'Floor Type', 'Gard Room', 'Generator', 'Intercom', 'Security Guard', 'Swimming Pool', 'Tiled Floors']",Bashundhara R/A,For Sale,1,Full Furnished
https://www.pchoicebd.com/property/land-for-sale-prime-location-north-pirerbag-mirpur/,"Land for sale Prime Location, North Pirerbag Mirpur.","TK  8,200,000 Eighty two lac per katha",11239,4 kathaSqFt,,3,4,"Prime Location, North Pirerbag Mirpur 4 Katha land FOR SALE Corner plot South and East view,  30fit & 25 fit Road, Price (Negotiable )
Please feel free to contact us.",latitude_placeholder,longitude_placeholder,[],Mirpur,For Sale,2,Land/Plot
https://www.pchoicebd.com/property/lake-view-duplex-apartment/,Excellent Duplex Pant house Lake & South view,"TK  23,000",10991,53005300 SqFt,"11th, 12th",4,4,"Absolute Excellent Duplex Pant house Full Furnished apartment , Lake view South facing , 5300 sft, 11th & 12th floor , 4 Bed, 4 Bath, 5 Balcony, all room cabinet foreigners fating, well interior every room, full Mabel floor,Two Lift , GYM , Party Hall, 2 Car parking. CC TV Whole Building,
Original photo
Prime Location : Gulshan -1",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'BBQ area', 'CCTV', 'Child Playground', 'Community Room', 'Concealed Phone', 'Driver Room', 'Emergency Exit', 'Fire Exit', 'Fire Extinguisher', 'Fire Hose', 'Gard Room', 'Garden', 'Generator', 'Geyser', 'GYM Room', 'Hot Water', 'Intercom', 'Landscape Garden', 'Lift', 'Roof Top Garden', 'Security Guard', 'Tiled Floors']",Gulshan 1,For Sale,2,Residential Apartment
https://www.pchoicebd.com/property/apartment-for-sell-2/,1873sqf Apartment for sell,"TK  20,000,000",8900,2000SqFt,5th,3,3,"2000 sqf, 3 bed, 3 bath, big drawing space, 5th floor usable  as commertial or residential  are ready for sell….",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Concealed Phone', 'Emergency Exit', 'Fire Exit', 'Fire Extinguisher', 'Fire Place', 'Floor Type', 'Gard Room', 'Generator', 'Intercom', 'Lift', 'Security Guard', 'Smoke Detector', 'Tiled Floors']",Banani,For Sale,1,Un furnished
https://www.pchoicebd.com/property/brand-new-apartment-is-fully-ready-for-sell-in-bashundhara/,Brand New Apartment is fully ready for sell in Bashundhara..,Price on call,8559,2075SqFt,8th,3,3,"A luxious apartment contains with 3 bed, single unit on 8th floor. 2075 Sqf. available space for comfortable living, which is made by BTI.",latitude_placeholder,longitude_placeholder,"['Balcony', 'Concealed Phone', 'Emergency Exit', 'Fire Exit', 'Fire Extinguisher', 'Floor Type', 'Gard Room', 'Garden', 'Generator', 'Intercom', 'Lift', 'Single Unit', 'Smoke Detector', 'Tiled Floors', 'Wi-Fi connectivity']",Bashundhara R/A,For Sale,1,Residential Apartment
https://www.pchoicebd.com/property/brand-new-apartment-for-rent/,Brand new apartment for sell,"TK  60,150,000 Six crore fifteen lac tk",8307,3600SqFt,2,4,4,"10 storied building 3600 sqft, 4 bed with drawing, dining, living, all rooms are air conditioned, swimming pool, jacuzzi bath lift & power back up.",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'BBQ area', 'CCTV', 'Child Playground', 'Concealed Phone', 'Driver Room', 'Fire Extinguisher', 'Fire Hose', 'Gard Room', 'Garden', 'Generator', 'Geyser', 'Intercom', 'Lift', 'Roof Top Garden', 'Security Guard', 'Tiled Floors']",Gulshan 2,For Sale,2,Un furnished
https://www.pchoicebd.com/property/3-bedrooms-3449-sqft-luxurious-apartment-for-sale/,Lake view luxury apartment,"TK  45,000,000",8112,3350SqFt,1st,3,3,"Lake view luxury  apartment
Exclusive interior design
1st floor
3350 sqft
3 bed rooms
3 bath rooms
1 car parking
Drawing, Dining, Leveling Space, Balcony, Lift, Generator, etc.
24 hours security",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Child Playground', 'Driver Room', 'Fire Extinguisher', 'Gard Room', 'Garden', 'Generator', 'Geyser', 'Hot Water', 'Intercom', 'Lift', 'Security Guard', 'Tiled Floors']",Dhanmondi,For Sale,2,Residential Apartment
https://www.pchoicebd.com/property/exclusive-luxurious-3211-sqft-apartment-for-sale/,South & West Facing flat for sale in Banani north,"TK  34,000,000",8076,3211SqFt,6th,3,4,"Corner plot South & West Facing Apartment ,
Exclusively Brand New Apartment , Apartment size ( 3211sqft), 03-Bed room, Drawing Space, Dining Space & family living space , 2 Attached Toilet, 1-Common Toilet, Servant Bed with bath, Kitchen Room, 5 attach Balcony,  02-Lift Available, Standard Quality Fittings, Two Car Parking,
Ground floor plan: Children’s play area , Community Hall, Reception lobby,  CCTV Monitoring Entry & Exit. Prayer Space, Office Room, Waiting lounge, Driver Waiting room, Two basement .",latitude_placeholder,longitude_placeholder,"['Balcony', 'BBQ area', 'CCTV', 'Child Playground', 'Community Room', 'Concealed Phone', 'Driver Room', 'Emergency Exit', 'Fire Exit', 'Fire Extinguisher', 'Gard Room', 'Garden', 'Generator', 'Intercom', 'Lift', 'Roof Top Garden', 'Security Guard', 'Tiled Floors']",Banani,For Sale,2,Residential Apartment
https://www.pchoicebd.com/property/5200-sqft-4-bed-lake-view-duplex-apartment-for-sale/,5200 sqft 4 bed lake view duplex apartment for sale,"TK  120,000,000",7616,5200SqFt,11th + 12th,4,4,"Gulshan-1
Lake View Duplex Apartment
5200 sqft
11th + 12th floor
4 bedrooms
4 bathrooms",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Driver Room', 'Emergency Exit', 'Fire Extinguisher', 'Gard Room', 'Generator', 'Intercom', 'Lift', 'Roof Top Garden', 'Security Guard', 'Tiled Floors']",Gulshan 1,For Sale,1,Un furnished
https://www.pchoicebd.com/property/5200-sqft-4-bed-lake-view-duplex-apartment-for-sale-2/,5200 sqft 4 bed lake view duplex apartment for sale,"TK  120,000,000",7617,5200SqFt,11th + 12th,4,4,"Gulshan-1
Lake View Duplex Apartment
5200 sqft
11th + 12th floor
4 bedrooms
4 bathrooms",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Driver Room', 'Emergency Exit', 'Fire Extinguisher', 'Gard Room', 'Generator', 'Intercom', 'Lift', 'Roof Top Garden', 'Security Guard', 'Tiled Floors']",Gulshan 1,For Sale,1,Un furnished
https://www.pchoicebd.com/property/2509-sqft-3-bedrooms-apartment-for-sale/,2509 sqft 3 bedrooms apartment for sale,"TK  42,500,000",7615,2509SqFt,4th,3,4,"Gulshan-2
2509 sqft
4th floor
3 bedrooms
4 bathrooms
Living room
Dining rooms
2 Lift
2 car parking
Generator backup",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Driver Room', 'Emergency Exit', 'Fire Extinguisher', 'Gard Room', 'Generator', 'Intercom', 'Lift', 'Roof Top Garden', 'Security Guard', 'Tiled Floors']",Gulshan 2,For Sale,2,Un furnished
https://www.pchoicebd.com/property/3000-sqft-3-bedrooms-apartment-for-sale/,3000 sqft 3 bedrooms apartment for sale,"TK  2,400",7613,3000SqFt,1st,3,3,"Baridhara Diplomatic Zone
1st floor
3000 sqft
3 bedrooms
3 bathrooms
Marbel Floor
Gym
Swimming Pool
2 Cae parking
(Dom-Inno)",latitude_placeholder,longitude_placeholder,"['Balcony', 'CCTV', 'Driver Room', 'Emergency Exit', 'Fire Extinguisher', 'Gard Room', 'Generator', 'GYM Room', 'Intercom', 'Lift', 'Marble Floors', 'Roof Top Garden', 'Security Guard', 'Swimming Pool']",Baridhara Diplomatic Zone,For Sale,2,Un furnished
https://www.pchoicebd.com/property/exclusive-land-for-sale-at-green-road/,"Exclusive Land for Sale at Green road ,","TK  155,000,000",7159,6000SqFt,2.5,6,4,"Exclusive Land for Sale at Green road ,
2.5 Storied Independent house ,
07-Katha Land
Price-.2.50.00.000/- per katha
All Paper Updated
Electricity Connection, Water Connection, Gas Connection, please call for details.",latitude_placeholder,longitude_placeholder,"['Balcony', 'BBQ area', 'Gard Room', 'Garden', 'Hot Water', 'Landscape Garden', 'Tiled Floors']",Dhanmondi,For Sale,2,Independent House-Villa
https://www.pchoicebd.com/property/lake-view-south-facing-furnished-flat-for-sale/,Lake view & South facing Furnished flat for sale,"TK  140,000,000",4201,6700SqFt,5,4,5,"6- Storied house , Luxurious Apartment Lake view & South facing Semi Furnished flat, 6700 sft , 5th floor, 4 Bed with attach Bath, 5 Balcony, 4 Big Lift , Marble Floors , 3 Car parking. Full Generator backup , Swimming Pool, GYM room, BBQ area. prayer room .
Prime Location : Gulshan 2 North.
Total Package Sell Price 14 Core Tk only",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'Balcony', 'BBQ area', 'CCTV', 'Child Playground', 'Community Room', 'Concealed Phone', 'Driver Room', 'Gard Room', 'Garden', 'Generator', 'Geyser', 'GYM Room', 'Hot Water', 'Intercom', 'Landscape Garden', 'Laundry Room', 'Lift', 'Marble Floors', 'Roof Top Garden', 'Security Guard', 'Swimming Pool', 'Tiled Floors', 'Washing Matchine', 'Water Sprinkler', 'Wi-Fi connectivity']",Gulshan 2,For Sale,3,Residential Apartment
https://www.pchoicebd.com/property/home-in-coral-gables/,Home in Coral Gables,"TK  850,000",49,3800Sq Ft,,4,4.5,"Elegant retreat in a quiet Coral Gables setting. This home provides wonderful entertaining spaces with a chef’s kitchen opening to a large family room with a working fireplace and voluminous ceilings in addition to formal dining and living areas. Another highlight is the spacious master suite with an office, gym and a separate sitting area. The yard offers plenty of shade thanks to the luscious palm and fruit trees. Other benefits include a gas range and dryer and a water treatment system.",latitude_placeholder,longitude_placeholder,"['Air-Condition', 'CCTV', 'Central Heating', 'Driver Room', 'Dual Sinks', 'Fire Place', 'Gard Room', 'Garden', 'Geyser', 'Home Theater', 'Laundry Room', 'Lawn', 'Marble Floors', 'Swimming Pool']",Banani,For Sale,2,Independent House-Villa
