,price,area,num_bath_rooms,num_bed_rooms,zone,price_log
0,6100000.0,1185.0,2.8650871997367555,3.0,Khilgaon,15.623799329143539
1,28900000.0,2464.0,4.0,3.0,Dhanmondi,17.17935215308266
2,7500000.0,1140.0,2.8650871997367555,3.0,Mirpur,15.830413578506539
3,20000000.0,1920.0,3.0,3.0,Bashundhara R/A,16.811242831518264
4,10800000.0,1445.0,3.0,3.0,Khilgaon,16.195056692094447
5,5000000.0,925.0,2.8650871997367555,2.0,Khilgaon,15.424948470398375
6,36500000.0,2468.0,3.0,3.0,Banani,17.41282281855272
7,10500000.0,1475.0,3.0,3.0,Uttara,16.166885815127753
8,8000000.0,1066.0,2.0,3.0,Sutrapur,15.89495209964411
9,5000000.0,950.0,2.0,2.0,Mirpur,15.424948470398375
11,5700000.0,1075.0,3.0,3.0,Badda,15.555976732804778
12,13100000.0,1600.0,3.0,3.0,Khilgaon,16.38812278817138
14,4900000.0,750.0,2.0,3.0,Mirpur,15.404745763080856
15,11000000.0,1522.0,3.0,3.0,Mirpur,16.213405830762646
16,8600000.0,1150.0,3.0,3.0,Khilgaon,15.967272761223736
17,12500000.0,1735.0,3.0,3.0,Mohammadpur,16.34123920227253
19,6800000.0,1002.0,2.0,2.0,Khilgaon,15.732433170146335
20,28000000.0,2190.0,3.0,3.0,Uttara,17.14771506813948
21,12000000.0,1722.0,2.8650871997367555,3.0,Turag,16.300417207752275
22,12000000.0,1758.0,2.8650871997367555,3.0,Turag,16.300417207752275
23,10000000.0,1700.0,4.0,4.0,Mirpur,16.11809565095832
24,22500000.0,2000.0,3.0,3.0,Bashundhara R/A,16.929025867174648
25,12000000.0,1368.0,3.0,3.0,Shyamoli,16.300417207752275
26,21000000.0,2318.0,4.0,4.0,Bashundhara R/A,16.860032995687696
28,5200000.0,900.0,2.8650871997367555,2.0,Badda,15.464169183551656
35,13799999.999999998,1735.0,3.0,4.0,Khilgaon,16.440179150127435
37,22000000.0,2320.0,2.8650871997367555,4.0,Bashundhara R/A,16.90655301132259
38,8400000.0,1132.0,2.8650871997367555,3.0,Sutrapur,15.943742263813542
39,12200000.0,1550.0,3.0,3.0,Khilgaon,16.316946509703484
40,9500000.0,1620.0,2.8650871997367555,4.0,Mohammadpur,16.06680235657077
42,12200000.0,1550.0,3.0,3.0,Khilgaon,16.316946509703484
43,17400000.0,1627.0,3.0,3.0,Uttara,16.671980764184756
44,8900000.0,1150.0,3.0,3.0,Khilgaon,16.00156183470237
45,11000000.0,1522.0,3.0,3.0,Mirpur,16.213405830762646
46,6200000.0,1120.0,3.0,3.0,Mohammadpur,15.64005985001532
47,22000000.0,2215.0,4.0,3.0,Bashundhara R/A,16.90655301132259
48,12000000.0,1400.0,3.0,3.0,Bashundhara R/A,16.300417207752275
49,8900000.0,1170.0,3.0,3.0,Khilgaon,16.00156183470237
51,24000000.0,2120.0,2.8650871997367555,3.0,Bashundhara R/A,16.99356438831222
52,4250000.0,800.0,2.0,2.0,Mohammadpur,15.2624295409006
53,11700000.0,1650.0,3.0,3.0,Khilgaon,16.275099399767985
54,9000000.0,1150.0,2.8650871997367555,3.0,Bashundhara R/A,16.012735135300492
55,13500000.0,1480.0,2.8650871997367555,3.0,Badda,16.41820024340866
56,11200000.000000002,1550.0,3.0,3.0,Khilgaon,16.231424336265324
57,8200000.0,1250.0,2.8650871997367555,3.0,Mirpur,15.919644712234481
58,6500000.0,1009.0,3.0,3.0,Mirpur,15.687312734865866
59,14300000.0,1872.0,2.8650871997367555,3.0,Mirpur,16.475770095230136
60,11299999.999999998,1499.0,3.0,3.0,Khilgaon,16.240313283682568
61,8500000.0,1350.0,2.8650871997367555,2.0,Turag,15.955576721460545
63,5200000.0,850.0,2.0,2.0,Mirpur,15.464169183551656
64,8000000.0,1250.0,2.8650871997367555,3.0,Turag,15.89495209964411
65,18500000.0,1650.0,3.0,3.0,Uttara,16.733281290048552
66,8600000.0,1450.0,2.8650871997367555,3.0,Turag,15.967272761223736
67,9600000.0,1164.0,3.0,3.0,Mirpur,16.077273656438063
