city,address,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,parking-spaces-amenity,property_description,property_overview
Dhaka,"Motijheel, Old Town ",100.0,Commerical - Other,Commercial,0.0,0.0,2000000.0,Sale,0.0,,
Dhaka,Green Road ,1150.0,Apartment,Residential,3.0,3.0,6900000.0,Sale,1.0,,
Dhaka,"Baridhara, Bashundhara, Kalachadpur ",850.0,Apartment,Residential,2.0,2.0,3357500.0,Sale,1.0,,
Dhaka,"Motijheel, Paltan, Segun Bagicha, Shantinagar, Siddeshwari ",2650.0,Apartment,Residential,3.0,3.0,22525000.0,Sale,1.0,,
Dhaka,"Motijheel, Paltan, Segun Bagicha, Shantinagar, Siddeshwari ",2650.0,Apartment,Residential,3.0,4.0,22525000.0,Sale,1.0,,
Dhaka,"Motijheel, Paltan, Segun Bagicha, Shantinagar, Siddeshwari ",2650.0,Apartment,Residential,4.0,3.0,22525000.0,Sale,1.0,,
Dhaka,"Motijheel, Paltan, Segun Bagicha, Shantinagar, Siddeshwari ",2650.0,Apartment,Residential,4.0,4.0,22525000.0,Sale,1.0,,
Dhaka,Gulshan ,7556.0,Commerical - Other,Commercial,0.0,0.0,302240000.0,Sale,2.0,,
Dhaka,"Dhanmondi, Old Town ",820.0,"Apartment, Commercial",Apartment,0.0,0.0,3280000.0,Sale,1.0,,
Dhaka,"Dhanmondi, Old Town ",820.0,"Apartment, Commercial",Commercial,0.0,0.0,3280000.0,Sale,1.0,,
Dhaka,"Motijheel, Paltan, Segun Bagicha, Shantinagar ",1150.0,Commerical - Other,Commercial,0.0,0.0,18400000.0,Sale,1.0,,
Dhaka,"Segun Bagicha, Shantinagar, Siddeshwari ",1590.0,Apartment,Residential,3.0,3.0,16000000.0,Sale,1.0,,
Dhaka,"Dhanmondi, Mohammadpur ",91.0,Commerical - Other,Commercial,0.0,0.0,3640000.0,Sale,0.0,,
Dhaka,Mirpur ,1405.0,Apartment,Residential,3.0,3.0,6322500.0,Sale,1.0,,
Dhaka,Dhanmondi ,2759.0,Apartment,Residential,5.0,4.0,45523500.0,Sale,2.0,,
Dhaka,"Khilgaon, Motijheel, Shantinagar, Siddeshwari ",1920.0,Apartment,Residential,3.0,3.0,15360000.0,Sale,1.0,,
Dhaka,Tejgaon ,1229.0,Apartment,Residential,3.0,3.0,8500000.0,Sale,0.0,,
Dhaka,"Dhanmondi, Mohammadpur ",1217.0,Apartment,Residential,3.0,3.0,9736000.0,Sale,1.0,,
Dhaka,Bashundhara ,1650.0,Apartment,Residential,3.0,3.0,11550000.0,Sale,1.0,,
Dhaka,Mohammadpur ,1500.0,Apartment,Residential,4.0,3.0,12000000.0,Sale,1.0,,
Dhaka,Banani ,1873.0,Apartment,Residential,0.0,3.0,21000000.0,Sale,1.0,,
Dhaka,Uttara ,1898.0,Apartment,Residential,4.0,3.0,15184000.0,Sale,1.0,,
Dhaka,"Badda, Baridhara, Bashundhara, Kalachadpur ",850.0,Apartment,Residential,2.0,2.0,4500000.0,Sale,0.0,,
Dhaka,Siddeshwari ,1370.0,Apartment,Residential,3.0,3.0,8220000.0,Sale,1.0,,
Dhaka,Bashundhara ,2385.0,Apartment,Residential,5.0,4.0,16695000.0,Sale,1.0,,
