title,num_bed,num_bath,area,location,building_type,purpose,price,description,listing_url,Elevator-amenity,Security Guard-amenity,Govt. Gas-amenity,Emergency Exit-amenity,Hot Water-amenity,Intercom-amenity,Landscape Garden-amenity,Swimming Pool-amenity,Child Allowed-amenity,Visitor's Car Parking-amenity,Wi-Fi-amenity,Community Center-amenity,Guard's Room-amenity,Driver Room-amenity,Gymnasium-amenity,WASA-amenity,Internet-amenity,Electricity-amenity,Safety Grill-amenity,CCTV-amenity,Fire Alarm-amenity,Rooftop Garden-amenity,Pet Allowed-amenity,building_nature,city,area,address,balcony-amenity,service charge-amenity,servent room-amenity,staff toilet-amenity,kitchen-amenity,property condition-amenity,drawing room-amenity,car parking-amenity,furnished status-amenity,nagotiable-amenity,floor number-amenity,available for-amenity,advance deposit-amenity,living room-amenity,dining room-amenity,floor type-amenity
A FULLY FURNISHED APARTMENT @Gulshan, 3 bd, 4 ba,2800.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,210000.0,"The furnished apartment is now up for rent that just need your touch to make it your comfort home. Consisting with 3 bedrooms, 4 bathrooms, 1 servant room with bathroom, 1 drawing-dining space, 1 kitchen this 2800SQFT apartment at Banani, the upper-class area is just what you require. This nicely furnished apartment is ready for you to move in and make the best homely place you have ever experienced. With 24/7 guarded, CCTV surveillance, generator backup, 1 car parking, secured neighbourhood etc. will help you feel secured while your stay here. For more details contact us right away.",http://www.rentalhomebd.com/properties/a-fully-furnished-apartment-at-gulshan/493,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,12000,,,1,new,yes,available,furnished,yes,11,family,420000,yes,yes,
A furnished apartment of 3800 SQFT @Gulshan, 3 bd, 3 ba,3800.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,190000.0,"The furnished apartment is now up for rent that just need your touch to make it your comfort home. Consisting with 3 bedrooms, 3 bathrooms, 1 servant room with bathroom, 1 drawing-dining space, 1 kitchen this 3800SQFT apartment at Banani, the upper-class area is just what you require. This nicely furnished apartment is ready for you to move in and make the best homely place you have ever experienced. With 24/7 guarded, CCTV surveillance, generator backup, 1 car parking, secured neighbourhood etc. will help you feel secured while your stay here. 
For more details contact us right away.",http://www.rentalhomebd.com/properties/a-furnished-apartment-of-3800-sqft-at-gulshan/484,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,,,,1,new,yes,available,furnished,yes,4,family,280000,yes,yes,
A furnished apartment of 2300SQFT @Gulshan area, 3 bd, 3 ba,2300.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,170000.0,"A 2300 SQFT nicely viewed apartment at Gulshan is now up for rent. Consisting of 03 bedrooms, 03 bathrooms, 01 drawing-dining space, 01 kitchen etc. But what makes this place the best and perfect choice for you is fully furnished status, the whole apartment is furnished with all the finest furniture and electronic appliances. All you need to do is move in this place and live comfortably with your family or even if you are single person. Gulshan is one of the finest places to live a secured life. The plus point here is 24/7 CCTV surveillance, 24/7 guarded, protected neighbourhood, car parking facility. For more details about the place feel free to contact us.",http://www.rentalhomebd.com/properties/a-furnished-apartment-of-2300sqft-at-gulshan-area/479,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,10000,,,1,new,yes,available,furnished,yes,4,family,340000,yes,yes,
2500 SQFT FURNISHED APARTMENT @GULSHAN-2, 3 bd, 3 ba,2500.0,"Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent,200000.0,"A furnished apartment at Gulshan is now available only for foreigners. Gulshan is an upper-class society in Dhaka city that surrounded with highly secured neighbourhood. With 24/7 CCTV surveillance, 24/7 guarded, highly secured society this place is perfect for any foreigner. This 2500 sqft apartment consists of 3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 kitchen and 1 servant bathroom as well. As the apartment is fully furnished all you need is to move in and live comfortably. 
For more details feel free to contact us right away.",http://www.rentalhomebd.com/properties/2500-sqft-furnished-apartment-at-gulshan-2/478,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-2,,10000,,,1,new,yes,available,furnished,yes,1,family,400000,yes,yes,
An unfurnished 2165 SQFT apartment up for rent @Banani, 3 bd, 3 ba,2165.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,140000.0,"An unfurnished apartment of 2165 SQFT is now up for rent at Gulshan-1. This apartment consists of 3 beds, 3 baths, 1 drawing-dining space, 1 kitchen that has been constructed and furnished with cabinets professionally for you. We will help you to decorate the whole place the way you want with all the classy furniture and branded home electronic appliances to make your life easier in every way. It has every security measures that would be needed for a secured stay like 24/7 CCTV, 24/7 guarded, secured neighbourhood, 1 car parking. 
For more details please feel free to contact us right away.",http://www.rentalhomebd.com/properties/an-unfurnished-2165-sqft-apartment-up-for-rent-at-banani/482,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,8000,,,1,new,yes,available,unfurnished,yes,2,family,280000,yes,yes,
An unfurnished 2165 SQFT apartment up for rent @Banani, 3 bd, 3 ba,2165.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,145000.0,"An unfurnished apartment of 2165 SQFT is now up for rent at Gulshan-1. This apartment consists of 3 beds, 3 baths, 1 drawing-dining space, 1 kitchen that has been constructed and furnished with cabinets professionally for you. We will help you to decorate the whole place the way you want with all the classy furniture and branded home electronic appliances to make your life easier in every way. It has every security measures that would be needed for a secured stay like 24/7 CCTV, 24/7 guarded, secured neighbourhood, 1 car parking. 
For more details please feel free to contact us right away.",http://www.rentalhomebd.com/properties/an-unfurnished-2165-sqft-apartment-up-for-rent-at-banani/481,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,10000,,,1,new,yes,available,unfurnished,yes,5,family,290000,yes,yes,
A SEMI FURNISHED APARTMENT @GULSHAN, 3 bd, 3 ba,1550.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,120000.0,"The semi-furnished apartment is now up for rent that just need your touch to make it your comfort home. Consisting with 3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 kitchen this apartment at Gulshan, the upper-class area is just what you require. It already has beautiful cabinets but we will help you decorate your home with finest furniture and top branded appliances. With 24/7 guarded, CCTV surveillance, generator backup, car parking, secured neighbourhood etc. will help you feel secured while your stay here. 
For more details contact us right away.",http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-at-gulshan/480,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,7000,,,1,new,yes,available,semi-furnished,yes,1,family,240000,yes,yes,
An unfurnished 2600 SQFT apartment is now up for rent @Gulshan, 3 bd, 3 ba,2600.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,135000.0,"An unfurnished apartment of 2600 SQFT is now up for rent at Gulshan-1. This apartment consists of 3 beds, 3 baths, 1 drawing-dining space, 1 kitchen that has been constructed professionally for you. We will help you to decorate the whole place the way you want with all the classy furniture and branded home electronic appliances to make your life easier in every way. It has every security measures that would be needed for a secured stay like 24/7 CCTV, 24/7 guarded, secured neighbourhood, 1 car parking. 
For more details please feel free to contact us right away.",http://www.rentalhomebd.com/properties/an-unfurnished-2600-sqft-apartment-is-now-up-for-rent-at-gulshan/485,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,12000,,,1,new,yes,available,unfurnished,yes,4,family,270000,yes,yes,
Furnished apartment up for rent @Gulshan, 3 bd, 3 ba,2200.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,130000.0,"A 2200 SQFT nicely viewed apartment at Gulshan is now up for rent. Consisting of 03 bedrooms, 03 bathrooms, 01 drawing-dining space, 01 kitchen etc. But what makes this place the best and perfect choice for you is fully furnished status, the whole apartment is furnished with all the finest furniture and electronic appliances. All you need to do is move in this place and live comfortably with your family or even if you are single person. Gulshan is one of the finest places to live a secured life. The plus point here is 24/7 CCTV surveillance, 24/7 guarded, protected neighbourhood, car parking facility. 
For more details about the place feel free to contact us.",http://www.rentalhomebd.com/properties/furnished-apartment-up-for-rent-at-gulshan/483,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,10000,,,1,new,yes,available,furnished,yes,2,family,260000,yes,yes,
A FINELY FURNISHED APARTMENT OF 2400 SQFT @Gulshan-01, 3 bd, 3 ba,2400.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,150000.0,"A furnished apartment at Gulshan is now available only for foreigners. Gulshan is an upper-class society in Dhaka city that surrounded with highly secured neighbourhood. With 24/7 CCTV surveillance, 24/7 guarded, highly secured society this place is perfect for any foreigner. This 2400 sqft apartment consists of 3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 kitchen and 1 servant bathroom as well. As the apartment is fully furnished all you need is to move in and live comfortably. For more details feel free to contact us right away.",http://www.rentalhomebd.com/properties/a-finely-furnished-apartment-of-2400-sqft-at-gulshan-01/487,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,9500,,,1,new,yes,available,furnished,yes,3,family,300000,yes,yes,
