title,num_bed,num_bath,area,location,building_type,purpose,price,description,listing_url,Elevator-amenity,Security Guard-amenity,Govt. Gas-amenity,Emergency Exit-amenity,Hot Water-amenity,Intercom-amenity,Landscape Garden-amenity,Swimming Pool-amenity,Child Allowed-amenity,Visitor's Car Parking-amenity,Wi-Fi-amenity,Community Center-amenity,Guard's Room-amenity,Driver Room-amenity,Gymnasium-amenity,WASA-amenity,Internet-amenity,Electricity-amenity,Safety Grill-amenity,CCTV-amenity,Fire Alarm-amenity,Rooftop Garden-amenity,Pet Allowed-amenity,building_nature,city,area,address,balcony-amenity,service charge-amenity,servent room-amenity,staff toilet-amenity,kitchen-amenity,property condition-amenity,drawing room-amenity,car parking-amenity,furnished status-amenity,nagotiable-amenity,floor number-amenity,available for-amenity,advance deposit-amenity,living room-amenity,dining room-amenity,floor type-amenity
An unfurnished apartment is now up for rent @Gulshan 01, 3 bd, 3 ba,2680.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,180000.0,"An unfurnished apartment of 2680SQFT is now up for rent at Gulshan-1. This apartment consists of 3 beds, 3 baths, 1 drawing-dining space, 1 kitchen that has been constructed and furnished with cabinets professionally for you. We will help you to decorate the whole place the way you want with all the classy furniture and branded home electronic appliances to make your life easier in every way. It has every security measures that would be needed for a secured stay like 24/7 CCTV, 24/7 guarded, secured neighbourhood, 1 car parking. 
For more details please feel free to contact us right away.",http://www.rentalhomebd.com/properties/an-unfurnished-apartment-is-now-up-for-rent-at-gulshan-01/489,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,,,,1,new,yes,available,unfurnished,yes,6,family,260000,yes,yes,
A semi furnished apartment @Gulshan-1, 3 bd, 3 ba,2700.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,210000.0,"A 2700 SQFT apartment consisting of 3 bedrooms, 3 bathrooms, 1 drawing dining space, 1 servant room with bathroom, 1 kitchen is planned such a way that is perfect for your family to move in. This semi furnished apartment could be furnished just the way you want it to be. With the top-class community, security system, 24/7 generator backup, 24/7 CCTV monitoring, car parking facility will help you feel just the homely vibe, so you don’t miss your own home. Contact us right away to rent the place.",http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-at-gulshan-1/486,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,12000,,,1,new,yes,available,semi-furnished,yes,2,family,420000,yes,yes,
AN UNFURNISHED APARTMENT @Gulshan, 3 bd, 4 ba,2600.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,140000.0,"An unfurnished apartment at Gulshan consisting of 03 bedrooms, 04 bathrooms, 01 drawing-dining space, 01 kitchen is now up for rent. It has every security measures that is required like 24/7 CCTV surveillance, 24/7 guarded to be the perfect place for any foreigner. We will help you to make it your dream home so that you feel belonged here in this country. We will furnish the apartment with finest furniture and branded electronic appliances with your requirements. 
For more details please feel free to contact us.",http://www.rentalhomebd.com/properties/an-unfurnished-apartment-at-gulshan/490,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,15000,,,1,new,yes,available,unfurnished,yes,4,family,280000,yes,,
A 1900SQFT Furnished Apartment is up for rent @Gulshan, 3 bd, 4 ba,1900.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,200000.0,"A 1900SQFT apartment in Gulshan is now up for rent for foreigners only. Furnished 3 bedrooms, 4 bathrooms, 1 drawing-dining space, 1 kitchen apartment is your place to live a comfortable life while your stay in this country. A fully secured place with 24/7 CCTV surveillance, 24/7 security guarded, protected neighbourhood, 1 car parking will be your perfect home. Gulshan is the finest place to live with comfortableness and safety. Let's help you move in in this decored place right now.",http://www.rentalhomebd.com/properties/a-1900sqft-furnished-apartment-is-up-for-rent-at-gulshan/492,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,10000,,,1,new,yes,available,furnished,yes,2,family,400000,yes,yes,
A 2000 SQFT APARTMENT @Gulshan-01, 3 bd, 3 ba,2000.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,125000.0,"This furnished apartment in Gulshan area, one of the most secured and classy area in the heart of Dhaka, will be your choice in the first glance. Consists of 03 beds, 03 baths, 01 drawing-dining space, 01 kitchen of 2000 SQFT apartment is now up for rent. The fully secured apartment with car parking facility, 24/7 CCTV, 24/7 guarded place can be your comfortable stay while your stay in Bangladesh. Perfectly furnished and ready for you to move in right away. 
Let us help you move in this place.",http://www.rentalhomebd.com/properties/a-2000-sqft-apartment-at-gulshan-01/488,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,7000,,,1,new,yes,available,furnished,yes,5,family,250000,yes,yes,
A furnished apartment of 2200SQFT @Gulshan area, 3 bd, 3 ba,2200.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,115000.0,"A 2200 SQFT apartment in Gulshan is now up for rent for foreigners only. Furnished 3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 kitchen apartment is your place to live a comfortable life while your stay in this country. A fully secured place with 24/7 CCTV surveillance, 24/7 security guarded, protected neighbourhood, 1 car parking will be your perfect home. Gulshan is the finest place to live with comfortableness and safety. Let's help you move in in this decored place right now.",http://www.rentalhomebd.com/properties/a-furnished-apartment-of-2200sqft-at-gulshan-area/469,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,9000,,,1,new,yes,available,furnished,yes,5,family,230000,yes,yes,
A 6200SQFT APARTMENT @Gulshan area, 5 bd, 5 ba,6200.0,"Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent,300000.0,"A classy looking family apartment is now up for rent at Gulshan. This 6200SQFT huge apartment consists of 5 bedrooms, 5 bathrooms, 1 living room, 1 drawing-dining space, servant room and bathroom etc. You will definitely love this apartment as it is already furnished for you so you just need to move in to make it your dream home. All the facilities including 24/7 CCTV surveillance, 24/7 guarded, a secured neighbourhood, car parking facilities makes this place your first priority. 
Let us give you the finest services while your stay here so contact us right away for details.",http://www.rentalhomebd.com/properties/a-6200sqft-apartment-at-gulshan-area/470,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-2,,24000,yes,yes,1,new,yes,,furnished,yes,2,family,600000,yes,yes,
A HUGE UNFURNISHED APARTMENT @Gulshan, 4 bd, 4 ba,6000.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,470000.0,"An unfurnished apartment at Gulshan consisting of 04 bedrooms, 04 bathrooms, 01 drawing-dining space, 01 kitchen is now up for rent. It has every security measures that is required like 24/7 CCTV surveillance, 24/7 guarded to be the perfect place for any foreigner. We will help you to make it your dream home so that you feel belonged here in this country. We will furnish the apartment with finest furniture and branded electronic appliances with your requirements. For more details please feel free to contact us.",http://www.rentalhomebd.com/properties/a-huge-unfurnished-apartment-at-gulshan/491,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,35000,,,1,new,yes,available,unfurnished,yes,6,family,940000,yes,yes,
AN UNFURNISHED 3000 SQFT APARTMENT IS NOW UP FOR RENT @ GULSHAN, 4 bd, 4 ba,3000.0,"Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent,210000.0,"An unfurnished apartment of 3500 SQFT is now up for rent at Gulshan. This apartment consists of 4 beds, 4 baths, 1 drawing-dining space, 1 kitchen that has been constructed professionally for you. We will help you to decorate the whole place the way you want with all the classy furniture and branded home electronic appliances to make your life easier in every way. It has every security measures that would be needed for a secured stay like 24/7 CCTV, 24/7 guarded, secured neighbourhood, 2 car parking. 
For more details please feel free to contact us right away.",http://www.rentalhomebd.com/properties/an-unfurnished-3000-sqft-apartment-is-now-up-for-rent-at-gulshan/471,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-2,,7000,,,1,new,yes,available,unfurnished,yes,2,family,420000,yes,yes,
An unfurnished 4500 SQFT apartment @Gulshan, 4 bd, 4 ba,4500.0,"Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent,270000.0,"An unfurnished apartment at Gulshan consisting of 04 bedrooms, 04 bathrooms, 01 drawing-dining space, 01 kitchen is now up for rent. It has every security measures that is required like 24/7 CCTV surveillance, 24/7 guarded to be the perfect place for any foreigner. We will help you to make it your dream home so that you feel belonged here in this country.  We will furnish the apartment with finest furniture and branded electronic appliances with your requirements.
For more details please feel free to contact us.",http://www.rentalhomebd.com/properties/an-unfurnished-4500-sqft-apartment-at-gulshan/474,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-2,,25000,,,1,new,yes,available,unfurnished,yes,5,family,540000,yes,yes,
A semi-furnished apartment of 4000 SQFT is now up for rent @Gulshan, 5 bd, 5 ba,4000.0,"Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent,360000.0,"The semi-furnished apartment is now up for rent that just need your touch to make it your comfort home. Consisting with 5 bedrooms, 5 bathrooms, 1 drawing-dining space, 1 kitchen this apartment at Gulshan, the upper-class area is just what you require. It already has beautiful cabinets but we will help you decorate your home with finest furniture and top branded appliances. With 24/7 guarded, CCTV surveillance, generator backup, car parking, secured neighbourhood etc. will help you feel secured while your stay here. 
For more details contact us right away.",http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-of-4000-sqft-is-now-up-for-rent-at-gulshan/473,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-2,,30000,,,1,new,yes,available,semi-furnished,yes,4,family,720000,yes,yes,
A 4500 SQFT APARTMENT @GULSHAN, 4 bd, 4 ba,4500.0,"Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent,350000.0,"A furnished apartment at Gulshan is now available only for foreigners. Gulshan is an upper-class society in Dhaka city that surrounded with highly secured neighbourhood. With 24/7 CCTV surveillance, 24/7 guarded, highly secured society this place is perfect for any foreigner. This 4500 sqft apartment consists of 04 bedrooms, 04 bathrooms, 01 drawing-dining space, 01 kitchen and 01 servant bathroom as well. As the apartment is fully furnished all you need is to move in and live comfortably. 
For more details feel free to contact us right away.",http://www.rentalhomebd.com/properties/a-4500-sqft-apartment-at-gulshan/472,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-2,,11000,,,1,new,yes,,furnished,yes,4,family,700000,yes,yes,
2888 SQFT furnished apartment @Gulshan, 4 bd, 4 ba,2888.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,160000.0,"An unfurnished that you can decor or furnish just the way you want. This 2888 SQFT huge apartment consists of 4 bedrooms, 4 bathrooms, 1 drawing-dining space, 1 kitchen will be a perfect selection for your whole family's comfortable stay. Gulshan area is one of the best places to live a secured life. 24/7 guarded, 24/7 CCTV surveillance, perfectly protected neighbourhood will help you to have a sound stay. 
Please contact us for more details.",http://www.rentalhomebd.com/properties/2888-sqft-furnished-apartment-at-gulshan/462,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,12000,,,1,new,yes,available,unfurnished,yes,2,family,320000,yes,yes,
Finely Furnished Apartment is now up for rent @Gulshan, 3 bd, 3 ba,2000.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,140000.0,"A furnished apartment at Gulshan is now available only for foreigners. Gulshan is an upper-class society in Dhaka city that surrounded with highly secured neighbourhood. With 24/7 CCTV surveillance, 24/7 guarded, highly secured society this place is perfect for any foreigner. This 2000 sqft apartment consists of  3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 kitchen and 1 servant bathroom as well. As the apartment is fully furnished all you need is to move in and live comfortably. 
For more details feel free to contact us right away.",http://www.rentalhomebd.com/properties/finely-furnished-apartment-is-now-up-for-rent-at-gulshan/465,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,,,yes,1,new,yes,available,furnished,yes,5,family,280000,yes,yes,
AN UNFURNISHED APARTMENT OF 1500 SQFT @GULSHAN, 3 bd, 3 ba,1500.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,115000.0,"An unfurnished apartment at Gulshan area is now up for rent. A 1500 SQFT apartment consisting 3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 kitchen, 1 staff bathroom. This Gulshan area apartment is perfect for any foreigner as it has every security measures that is required. We will help you to decorate this apartment the way you want with all the furniture and electronic appliances.
Feel free to contact us for more.",http://www.rentalhomebd.com/properties/an-unfurnished-apartment-of-1500-sqft-at-gulshan/466,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,10000,,yes,1,new,yes,available,unfurnished,yes,3,family,230000,yes,yes,
A furnished apartment of 3300SQFT @Gulshan-2, 3 bd, 3 ba,3300.0,"Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent,150000.0,"This furnished apartment in Gulshan area, one of the most secured and classy area in the heart of Dhaka, will be your choice in the first glance. Consists of 03 beds, 03 baths, 01 drawing-dining space, 01 kitchen of 2400 SQFT apartment is now up for rent. The fully secured apartment with car parking facility, 24/7 CCTV, 24/7 guarded place can be your comfortable stay while your stay in Bangladesh. Perfectly furnished and ready for you to move in right away. 
Let us help you move in this place.",http://www.rentalhomebd.com/properties/a-furnished-apartment-of-3300sqft-at-gulshan-2/475,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-2,,7500,yes,yes,1,new,yes,available,furnished,yes,5,family,300000,yes,yes,
A 2120 SQFT APARTMENT IS UP FOR RENT @GULSHAN, 3 bd, 3 ba,2120.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,180000.0,"An unfurnished apartment of 2120 SQFT is now up for rent at Gulshan-1. This apartment consists of 3 beds, 3 baths, 1 drawing-dining space, 1 kitchen that has been constructed and furnished with cabinets professionally for you. We will help you to decorate the whole place the way you want with all the classy furniture and branded home electronic appliances to make your life easier in every way. It has every security measures that would be needed for a secured stay like 24/7 CCTV, 24/7 guarded, secured neighbourhood, 2 car parking. For more details please feel free to contact us right away.",http://www.rentalhomebd.com/properties/a-2120-sqft-apartment-is-up-for-rent-at-gulshan/468,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,11000,,,1,new,yes,available,unfurnished,yes,7,family,340000,yes,yes,
A furnished apartment of 23000 SQFT @Gulshan, 3 bd, 3 ba,2300.0,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent,140000.0,"A 2300 SQFT nicely viewed apartment at Gulshan is now up for rent. Consisting of 03 bedrooms, 03 bathrooms, 01 drawing-dining space, 01 kitchen etc.  But what makes this place the best and perfect choice for you is fully furnished status, the whole apartment is furnished with all the finest furniture and electronic appliances. All you need to do is move in this place and live comfortably with your family or even if you are single person. Gulshan is one of the finest places to live a secured life. The plus point here is 24/7 CCTV surveillance, 24/7 guarded, protected neighbourhood, car parking facility.
For more details about the place feel free to contact us.",http://www.rentalhomebd.com/properties/a-furnished-apartment-of-23000-sqft-at-gulshan/464,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Residential,Dhaka,Gulshan, Gulshan-1,,7000,,,1,new,yes,available,furnished,yes,3,family,280000,yes,yes,
A fully furnished apartment is up for rent @ Gulshan, 3 bd, 3 ba,2200.0,"Gulshan, Gulshan-2, Dhaka",Apartment/Flats,Rent,180000.0,"A furnished apartment at Gulshan is now available only for foreigners. Gulshan is an upper-class society in Dhaka city that surrounded with highly secured neighbourhood. With 24/7 CCTV surveillance, 24/7 guarded, highly secured society this place is perfect for any foreigner. This 2200 sqft apartment consists of 3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 kitchen and 1 servant bathroom as well. As the apartment is fully furnished all you need is to move in and live comfortably. 
For more details feel free to contact us right away.",http://www.rentalhomebd.com/properties/a-fully-furnished-apartment-is-up-for-rent-at-gulshan/476,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Residential,Dhaka,Gulshan, Gulshan-2,,10000,,,1,new,yes,available,furnished,yes,,family,360000,yes,yes,
