title,building_type,area,num_bed,num_bath,location,price,amenities,purpose,listing_url
সিপাহীবাগে ১১১০ স্কয়ার ফিটের রেডি ফ্ল্যাট বিক্রয়, Apartment , 1110 sqft , 3 Bed(s) , 2 Bath(s) ," Khilgoan, Dhaka",BDT 6100000 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%B8%E0%A6%BF%E0%A6%AA%E0%A6%BE%E0%A6%B9%E0%A7%80%E0%A6%AC%E0%A6%BE%E0%A6%97%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A6%BC
"Used flat For Sale in Uttara, Sector-5@1566 sqft", Apartment , 1566 sqft , 3 Bed(s) , 4 Bath(s) , Dhaka,BDT 13000000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator,parking, 5 Balcony ",Sale,https://homefairbd.com/ad/used-flat-for-sale-in-uttara-sector5
Ready Apartment Sale in Kazipara Khezurtola @ 1760 Sqft, Apartment , 1760 sqft , 4 Bed(s) , 4 Bath(s) ," Kazi Para, Dhaka",BDT 8500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Parking, 2 Balcony ",Sale,https://homefairbd.com/ad/ready-apartment-sale-in-kazipara-khezurtola
Semi ready flat for sale in Bosila@1500 sqft, Apartment , 1500 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 6000000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,generator,Parking,Parking, 3 Balcony ",sale,https://homefairbd.com/ad/semi-ready-flat-for-sale-in-bosila
চন্দ্রিমা মডেল টাউনে ১২৫০ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট, Apartment , 1250 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 6500000 , 3 Balcony ,,https://homefairbd.com/ad/%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AE%E0%A6%BE-%E0%A6%AE%E0%A6%A1%E0%A7%87%E0%A6%B2-%E0%A6%9F%E0%A6%BE%E0%A6%89%E0%A6%A8%E0%A7%87-%E0%A6%A6%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%A8-%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A6%BF-%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
South facing used flat for sale in Uttara@2400 sqft, Apartment , 2400 sqft , 4 Bed(s) , 4 Bath(s) , Dhaka,BDT 35000000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",sale,https://homefairbd.com/ad/used-flat-for-sale-in-uttara-sector-7
কেরানীগঞ্জের জিনজিরায় কিস্তিতে রেডি প্লট @ ৬ শতাংশ  , Land ,  sothok ,,," Keranigonj, Dhaka",BDT 4800000 ,[None],,https://homefairbd.com/ad/%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%95%E0%A7%87%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%BF%E0%A6%A8%E0%A6%9C%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A7%9F-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%9F
Used flat for sale in Rayer Bazar@1100 sqft, Apartment , 1100 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 7000000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 2 Balcony ",sale,https://homefairbd.com/ad/used-flat-sale-in-rayer-bazar
কেরানীগঞ্জের জিনজিরায় সহজ কিস্তিতে রেডি প্লট @ ৭ শতাংশ, Land ,  katha ,,," Keranigonj, Dhaka",BDT 5600000 ,[None],,https://homefairbd.com/ad/%E0%A6%95%E0%A7%87%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%BF%E0%A6%A8%E0%A6%9C%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A7%9F-%E0%A6%B8%E0%A6%B9%E0%A6%9C-%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%9F
পশ্চিম ধানমন্ডিতে ১১০০ স্কয়ার ফিটের রেডি ফ্ল্যাট বিক্রয়, Apartment , 1100 sqft , 3 Bed(s) , 2 Bath(s) , Dhaka,BDT 8250000 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%AA%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%AE-%E0%A6%A7%E0%A6%BE%E0%A6%A8%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
All most ready flat for sale in Banani@3190 sqft, Apartment , 3190 sqft , 4 Bed(s) , 4 Bath(s) , Dhaka,BDT 51040000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator,Parking,Parking, 4 Balcony ",sale,https://homefairbd.com/ad/semi-ready-flat-for-sale-in-banani
Used flat for sale in North Badda@1800 sqft, Apartment , 1800 sqft , 4 Bed(s) , 3 Bath(s) , Dhaka,BDT 9900000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking,Parking, 2 Balcony ",sale,https://homefairbd.com/ad/north-facing-used-flat-for-sale-in-north-badda
Used Apartment Sale in Uttara @ 1777 Sqft, Apartment , 1777 sqft , 3 Bed(s) , 3 Bath(s) ," Uttara, Dhaka",BDT 16000000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,Generator,Parking, 3 Balcony ",Sale,https://homefairbd.com/ad/used-apartment-sale-in-uttara
বসিলা গার্ডেন সিটিতে ১১৪০ স্কয়ার ফিটের পশ্চিম মুখি ফ্ল্যাট, Apartment , 1140 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 4500000 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%AC%E0%A6%B8%E0%A6%BF%E0%A6%B2%E0%A6%BE-%E0%A6%97%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%A8-%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%AA%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%AE-%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
গ্রীন রোডে ১৪২৫ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট বিক্রয় , Apartment , 1425 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 14962500 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%A8-%E0%A6%B0%E0%A7%8B%E0%A6%A1%E0%A7%87-%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A6%BC
"South facing flat for Sale in Aftabnagar, Block-F@1250 sqft", Apartment , 1250 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 6875000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator, 3 Balcony ",Sale,https://homefairbd.com/ad/south-facing-flat-for-sale-in-aftabnagar-block-f
Semi Ready Flat For Sale in Chandrima model town @ 1175 Sqft, Apartment , 1175 sqft , 3 Bed(s) , 3 Bath(s) ," Mohammadpur, Dhaka",BDT 5600000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 2 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-flat-for-sale-in-chandrima-model-town
Apartment For Sale in Shymoli @ 1180 Sqft, Apartment , 1180 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 8614000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,generator, 2 Balcony ",Sale,https://homefairbd.com/ad/apartment-for-sale-in-shymoli
Used flat sale in Shahjadpur@1600 sqft, Apartment , 1600 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 10000000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator,parking, 2 Balcony ",sale,https://homefairbd.com/ad/used-flat-sale-in-shahjadpur
South facing property sale in Khilgaon@1100 sqft, Apartment , 1100 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 6600000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Parking,Parking, 3 Balcony ",sale,https://homefairbd.com/ad/south-facing-property-sale-in-khilgaon
 বসিলায় ১৫৩৫ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট, Apartment , 1535 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 7214500 , 3 Balcony ,,https://homefairbd.com/ad/%E0%A6%AC%E0%A6%B8%E0%A6%BF%E0%A6%B2%E0%A6%BE%E0%A7%9F-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A7%9F
 ঢাকা সান সিটিতে কিস্তিতে কর্মাশিয়াল প্লট @ ৫ কাঠা, Land ,  katha ,,," Keranigonj, Dhaka",BDT 4000000 ,[None],,https://homefairbd.com/ad/%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%A8-%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%BE%E0%A6%B6%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%B2-%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%9F
Semi ready flat sale in Middle Badda@1600 sqft, Apartment , 1600 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 12000000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator,parking,Parking, 5 Balcony ",sale,https://homefairbd.com/ad/semi-ready-flat-sale-in-middle-badda
Semi ready flat for sale in North Gulshan@3300 sqft, Apartment , 3300 sqft , 4 Bed(s) , 5 Bath(s) , Dhaka,BDT 82500000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator,parking,Parking,parking, 4 Balcony ",sale,https://homefairbd.com/ad/semi-ready-flat-for-sale-in-north-gulshan
Semi ready apartment for sale in Uttara@1825 sqft, Apartment , 1825 sqft , 3 Bed(s) , 4 Bath(s) , Dhaka,BDT 18300000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",sale,https://homefairbd.com/ad/semi-ready-apartment-for-sale-in-uttara
West facing semi ready flat sale in Rayer Bazar@1243 sqft, Apartment , 1243 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 12181400 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator,Parking,Parking, 3 Balcony ",sale,https://homefairbd.com/ad/west-facing-semi-ready-flat-sale-in-rayer-bazar
উত্তরায় ১৯০০ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট বিক্রয়, Apartment , 1900 sqft , 4 Bed(s) , 4 Bath(s) , Dhaka,BDT 22800000 , 4 Balcony ,,https://homefairbd.com/ad/%E0%A6%89%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A6%BE%E0%A7%9F-%E0%A6%AA%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%AE-%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A6%BF-%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
South Facing Apartment Sale in Mohammadpur @ 1440 Sqft, Apartment , 1440 sqft , 3 Bed(s) , 4 Bath(s) ," Mohammadpur, Dhaka",BDT 7000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/south-facing-apartment-for-sale-in-mohammadpur
Used Flat Sale in KhilgaonTilpapara @ 700 Sqft, Apartment , 700 sqft , 2 Bed(s) , 1 Bath(s) ," Khilgoan, Dhaka",BDT 4500000 ,"Balcony,Drawing,Dining,Electricity,Water, 1 Balcony ",Sale,https://homefairbd.com/ad/used-flat-sale-in-khilgaon-tilpapara
চন্দ্রিমা মডেল টাউনে ১২৫০ স্কয়ার ফিটের দক্ষিন মুখি ফ্ল্যাট, Apartment , 1250 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 6000000 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AE%E0%A6%BE-%E0%A6%AE%E0%A6%A1%E0%A7%87%E0%A6%B2-%E0%A6%9F%E0%A6%BE%E0%A6%89%E0%A6%A8%E0%A7%87-%E0%A6%A6%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%A8-%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
Used Flat Sale in Niketon@1440 sqft, Apartment , 1440 sqft , 2 Bed(s) , 3 Bath(s) , Dhaka,BDT 13000000 ,"Drawing,Dining,Parking,Electricity,Water,Lift,generator, 2 Balcony ",Sale,https://homefairbd.com/ad/used-flat-for-sale-in-niketon
নূরজাহান রোডে ১৫০০ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট বিক্রয়, Apartment , 1500 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 12500000 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%A8%E0%A7%82%E0%A6%B0%E0%A6%9C%E0%A6%BE%E0%A6%B9%E0%A6%BE%E0%A6%A8-%E0%A6%B0%E0%A7%8B%E0%A6%A1%E0%A7%87-%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A6%BC
All most ready flat sale in Dhanmondi@1300 sqft, Apartment , 1300 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 24000000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator,Parking, 2 Balcony ",sale,https://homefairbd.com/ad/all-most-ready-flat-sale-in-dhanmondi
Used Apartment Sale in Chandrima Uddan @ 1800 Sqft, Apartment , 1800 sqft , 3 Bed(s) , 3 Bath(s) ," Mohammadpur, Dhaka",BDT 9000000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,generator, 4 Balcony ",Sale,https://homefairbd.com/ad/used-apartment-sale-in-chandrima-uddan
All most ready property sale in Khilgaon@1090 sqft, Apartment , 1090 sqft , 3 Bed(s) , 2 Bath(s) , Dhaka,BDT 5995000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 2 Balcony ",sale,https://homefairbd.com/ad/all-most-ready-property-sale-in-khilgaon
Flat for sale in Sector 7 Uttara@2041 sqft, Apartment , 2041 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 29594500 ,"Balcony,Drawing,Dining,Parking,Electricity,Water,lift,Generator,Parking, 3 Balcony ",sale,https://homefairbd.com/ad/flat-for-sale-in-sector-7-uttara
Full ready flat Sale in Mogbazar@1558 Sqft, Apartment , 1558 sqft , 3 Bed(s) , 4 Bath(s) , Dhaka,BDT 13243000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator,parking,Parking, 3 Balcony ",Sale,https://homefairbd.com/ad/full-ready-flat-sale-in-mogbazar
South Facing semi ready flat Sale in Adabor @ 1340 Sqft, Apartment , 1340 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 9000000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-flat-for-sale-in-adabor
Ready Flat Sale in West Dhanmondi Housing @ 1265 Sqft, Apartment , 1265 sqft , 3 Bed(s) , 3 Bath(s) ," Bosila, Dhaka",BDT 6325000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,generator, 2 Balcony ",Sale,https://homefairbd.com/ad/ready-flat-sale-in-west-dhanmondi-housing
South facing semi ready flat Sale in Mirpur-12@1125 Sqft, Apartment , 1125 sqft , 3 Bed(s) , 2 Bath(s) , Dhaka,BDT 9000000 ,"balcony,Drawing,dining,Electricity,Water,Lift,Generator, 2 Balcony ",Sale,https://homefairbd.com/ad/south-facing-semi-ready-flat-sale-in-mirpur-12
Full Ready Apartment Sale in Chandrima Uddan @ 1150 Sqft, Apartment , 1150 sqft , 3 Bed(s) , 2 Bath(s) ," Mohammadpur, Dhaka",BDT 5300000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,generator,Parking, 1 Balcony ",Sale,https://homefairbd.com/ad/full-ready-apartment-sale-in-chandrima-uddan
"Semi ready Apartment sale in Doyal Housing, Bosila@1167 sqft", Apartment , 1167 sqft , 3 Bed(s) , 4 Bath(s) , Dhaka,BDT 7002000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,generator, 2 Balcony ",sale,https://homefairbd.com/ad/semi-ready-apartment-sale-in-doyal-housing-bosila
Semi ready apartment sale in Sector 4 Uttara@2280 sqft, Apartment , 2280 sqft , 4 Bed(s) , 4 Bath(s) , Dhaka,BDT 26000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 4 Balcony ",sale,https://homefairbd.com/ad/semi-ready-apartment-sale-in-sector-4-uttara
Used Apartment For Sale in Uttar Badda @ 1120 Sqft, Apartment , 1120 sqft , 3 Bed(s) , 3 Bath(s) ," Badda, Dhaka",BDT 5700000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,Generator, 3 Balcony ",Sale,https://homefairbd.com/ad/used-apartment-for-sale-in-uttar-badda
Land Sale in Dhaka Golden City @ 3 Katha, Land ,  katha ,,," Keranigonj, Dhaka",BDT 2100000 ,[None],Sale,https://homefairbd.com/ad/land-sale-in-dhaka-golden-city
