title,building_type,area,num_bed,num_bath,location,price,amenities,purpose,listing_url
Apartment For Sale in Mirpur Ahmednagar @ 1350 Sqft , Apartment , 1350 sqft , 3 Bed(s) , 3 Bath(s) ," Mirpur-1, Dhaka",BDT 7000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift, 2 Balcony ",Sale,https://homefairbd.com/ad/apartment-for-sale-in-mirpur-ahmednagar
Used Apartment Sale in Uttara @ 1200 Sqft, Apartment , 1200 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 7500000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,parking, 2 Balcony ",Sale,https://homefairbd.com/ad/apartment-sale-in-uttara
South facing used apartment sale in Mogbazar@1200 sqft , Apartment , 1200 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 9000000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 3 Balcony ",sale,https://homefairbd.com/ad/south-facing-used-apartment-sale-in-mogbazar
 সিপাহীবাগের শাহেরুনবাগে ১০৭৪ স্কয়ার ফিটের ফ্ল্যাট , Apartment , 1074 sqft , 3 Bed(s) , 2 Bath(s) ," Khilgoan, Dhaka",BDT 5700000 , 1 Balcony ,,https://homefairbd.com/ad/%E0%A6%B8%E0%A6%BF%E0%A6%AA%E0%A6%BE%E0%A6%B9%E0%A7%80%E0%A6%AC%E0%A6%BE%E0%A6%97%E0%A7%87%E0%A6%B0-%E0%A6%B6%E0%A6%BE%E0%A6%B9%E0%A7%87%E0%A6%B0%E0%A7%81%E0%A6%A8%E0%A6%AC%E0%A6%BE%E0%A6%97%E0%A7%87-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
"Semi ready apartment sale in Aftabnagar,Block-E@1850 sqft", Apartment , 1850 sqft , 3 Bed(s) , 4 Bath(s) , Dhaka,BDT 13875000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking,Parking, 4 Balcony ",sale,https://homefairbd.com/ad/semi-ready-apartment-sale-in-aftabnagar-block-e
চন্দ্রিমা মডেল টাউনে ১৬৫০ স্কয়ার ফিটের ফ্ল্যাট, Apartment , 1650 sqft , 4 Bed(s) , 4 Bath(s) , Dhaka,BDT 7425000 , 4 Balcony ,,https://homefairbd.com/ad/%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AE%E0%A6%BE-%E0%A6%AE%E0%A6%A1%E0%A7%87%E0%A6%B2-%E0%A6%9F%E0%A6%BE%E0%A6%89%E0%A6%A8%E0%A7%87-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
Full ready apartment sale in Dhanmondi@2445 sqft, Apartment , 2445 sqft , 4 Bed(s) , 4 Bath(s) , Dhaka,BDT 51000000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",sale,https://homefairbd.com/ad/full-ready-apartment-sale-in-dhanmondi
Used Apartment Sale in Shekhertek @ 750 Sqft, Apartment , 750 sqft , 2 Bed(s) , 2 Bath(s) ," Mohammadpur, Dhaka",BDT 3600000 ,"Balcony,Drawing,Dining,Electricity,Water, 1 Balcony ",Sale,https://homefairbd.com/ad/used-apartment-sale-in-shekhertek
বসিলায় ১১৪০ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট, Apartment , 1140 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 6840000 , 3 Balcony ,,https://homefairbd.com/ad/%E0%A6%AC%E0%A6%B8%E0%A6%BF%E0%A6%B2%E0%A6%BE%E0%A7%9F-%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
ঢাকা সান সিটিতে কমার্শিয়াল প্লট @ ৫ কাঠা, Land ,  katha ,,," Keranigonj, Dhaka",BDT 3750000 ,[None],,https://homefairbd.com/ad/%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%B8%E0%A6%BE%E0%A6%A8-%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%95%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%B2-%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%9F
মিরপুর কাজীপাড়ায় ৭৬৫ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট, Apartment , 765 sqft , 2 Bed(s) , 2 Bath(s) ," Kazi Para, Dhaka",BDT 3000000 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%AE%E0%A6%BF%E0%A6%B0%E0%A6%AA%E0%A7%81%E0%A6%B0-%E0%A6%95%E0%A6%BE%E0%A6%9C%E0%A7%80%E0%A6%AA%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
Ready apartment sale in Chandrima Model Town@1820 sqft, Apartment , 1820 sqft , 3 Bed(s) , 4 Bath(s) , Dhaka,BDT 9500000 ,"balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 4 Balcony ",sale,https://homefairbd.com/ad/ready-apartment-sale-in-chandrima-model-town-mohammadpur
Semi ready flat for sale in Future town@1400 sqft, Apartment , 1400 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 6300000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,Parking,Parking, 3 Balcony ",sale,https://homefairbd.com/ad/semi-ready-flat-for-sale-in-future-town
Semi ready property sale in Khilgaon@1294 sqft, Apartment , 1294 sqft , 3 Bed(s) , 2 Bath(s) , Dhaka,BDT 9705000 ,"balcony,Drawing,Dining,Electricity,Water,Lift, 2 Balcony ",sale,https://homefairbd.com/ad/semi-ready-property-sale-in-khilgaon
Semi Ready Flat Sale in Chandrima model town @ 1175 Sqft, Apartment , 1175 sqft , 3 Bed(s) , 2 Bath(s) ," Mohammadpur, Dhaka",BDT 4000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 2 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-flat-sale-in-chandrima-model-town
