address,num_bath_rooms,num_bed_rooms,property_overview,price,purpose,property_url,area,property_description,building_type,cctv-security-amenity,parking-spaces-amenity,electricity-backup-amenity,balcony-or-terrace-amenity,maintenance-staff-amenity,swimming-pool-amenity,furnished-amenity,building_nature,city,locality
"Gulshan Dhaka,Bangladesh",1.0,1.0,"Luxury service apartment rent per room basis for corporate clients ,it has all facilities like as five stare hotel",8000.0,Rent,https://sharif.com.bd/dhaka/10344/luxury-service-apartment-gulshan,325,luxury service apartment gulshan,Apartment,Yes,,,,Yes,,No,Residential,Dhaka,
"Banani Dhaka,Bangladesh",4.0,3.0,Luxury furnished apartment for rent Banani,200000.0,Rent,https://sharif.com.bd/dhaka/10343/service-apartment-banani,2400,service-apartment-banani,Apartment,Yes,1.0,Yes,Yes,Yes,,Yes,Residential,Dhaka,
Bashundhara,0.0,1.0,"1 & 2 Room Furnished Serviced Apartment Rent in Bashundhara.
Short-Term Rentals with Kitchen, TV, Refrigerator, Wifi, Microwave oven, A/C.
Facilities Available :
· Grocery Shop, BBQ corner
· Swimming Pool, Theatre room
· Gym with 24/7 and Jogging track
· Daily Room & Bathroom Cleaning
· Multi-purpose Hall Room With Full AC
· Steam Bath, Thermal massager
· Landscape With Sitting Arrangement",30000.0,Rent,https://sharif.com.bd/dhaka/10338/short-term-furnished-apartment-bashundhara,300,Short-term furnished apartment bashundhara,Apartment,Yes,1.0,Yes,Yes,Yes,Yes,Yes,Residential,Dhaka,
"Banani Dhaka,Bangladesh",3.0,3.0,Very nice and clean furnished apartment for foreigner people,130000.0,Rent,https://sharif.com.bd/dhaka/10349/short-term-furnished-apartment-dhaka,2200,Short-term furnished apartment dhaka,Apartment,Yes,1.0,Yes,,Yes,,Yes,Residential,Dhaka,
,0.0,0.0,"If you are looking for more spacious commercial office space, visit this  office space located in Mohakhali up for rent. This space is well planned and tastefully designed besides you will stay relaxed concentrated on running your business as utilities and other services for this building is readily available.",45000.0,Rent,https://sharif.com.bd/dhaka/10337/rakesh-ibrahim,1150 sft,Rakesh Ibrahim,Office,,,,,,,No,Commercial,Dhaka,Mohakhali
"Gulshan Dhaka,Bangladesh",4.0,6.0,The nice service apartment Gulshan Dhaka,160000.0,Rent,https://sharif.com.bd/dhaka/10348/service-apartment-dhaka,2800,service apartment dhaka,Apartment,Yes,1.0,Yes,,Yes,,No,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",3.0,3.0,Furnished apartment for rent Gulshan-1 for foreign people,150000.0,Rent,https://sharif.com.bd/dhaka/10330/service-apartment-gulshan,2500,service apartment gulshan,Apartment,Yes,1.0,Yes,,Yes,,Yes,Residential,Dhaka,
Bashundhara,0.0,1.0,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara.
Short-Term Rentals with Kitchen, TV, Refrigerator, Wifi, Microwave oven, A/C.
Facilities Available :
· Grocery Shop, BBQ corner
· Swimming Pool, Theatre room,
· Gym with 24/7 and Jogging track
· Daily Room & Bathroom Cleaning
· Multi-purpose Hall Room With Full AC
· Steam Bath, Thermal massager
· Landscape With Sitting Arrangement",35000.0,Rent,https://sharif.com.bd/dhaka/10321/cozy-studio-apartment-rent-in-bashundhara,375,Cozy Studio Apartment Rent In Bashundhara,Apartment,Yes,1.0,Yes,Yes,Yes,,Yes,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",4.0,3.0,Luxury furnished apartment Gulshan-2,150000.0,Rent,https://sharif.com.bd/dhaka/10335/service-apartment-gulshan,2200,service apartment gulshan,Apartment,Yes,1.0,Yes,,Yes,Yes,Yes,Residential,Dhaka,
Bashundhara,0.0,1.0,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available :
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track
> Daily Room & Bathroom Cleaning
> Multi-purpose Hall Room With Full AC
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
.",30000.0,Rent,https://sharif.com.bd/dhaka/10297/one-bedroom-furnished-apartments-for-rent-in-dhaka,300,One Bedroom Furnished Apartments For Rent In Dhaka,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Bashundhara,0.0,1.0,"Full Furnished Studio Apartment
100% Ready & Full Fitted 300/375 sqft Available.
You can use as short-term or long-term days
Apartment-
•	One Bath, Verandah, and Kitchen with ready Cabinets
•	Closet, AC & Heater
•	Safety Locker
•	43” Mi Android Smart TV
•	Wi-Fi
•	Fridge and Geyser
•	Infrared Burner with 7set Nonstick cooking set
•	Double Bed, With Mattress, Quilt, Pillow Bedsheet
•	Zero light passing Curtain, Fan, Table-Chair set
•	Two seated sofa set for 300 sq. ft.
•	Four seater sofa-come bed for 375 sq.ft
•	Interior Lighting, Bin, Towel
•	fireball
Amenities-
•	Swimming pool
•	Multi-purpose hall room with full AC
•	Theatre room
•	Gym
•	Steam bath
•	Thermal body massager
•	BBQ corner
•	Jogging track
•	Landscape with sitting arrangement
At ground floor
•	Restaurant
•	Full CCTV coverage
•	Lounge at Reception Area
•	Grocery Shop and Photocopy services
•	Extra services
•	Room & Bathroom Cleaning services available
•	Fireball at each apartment
Location: Bashundhara R/A
✅Very near to Ever Care Hospital, NSU & just 20 minutes drive from Hazrat Shahjalal international airport)",35000.0,Rent,https://sharif.com.bd/dhaka/10298/two-room-furnished-serviced-apartments-for-rent-in-dhaka,375,Two Room Furnished Serviced Apartments For Rent In Dhaka,Apartment,,1.0,Yes,Yes,Yes,Yes,Yes,Residential,Dhaka,
