address,num_bath_rooms,num_bed_rooms,property_overview,price,purpose,property_url,area,property_description,building_type,cctv-security-amenity,parking-spaces-amenity,electricity-backup-amenity,balcony-or-terrace-amenity,maintenance-staff-amenity,swimming-pool-amenity,furnished-amenity,building_nature,city,locality
Gulshan Dhaka,0.0,0.0,Commercial Building rent gulshan and it's first floor for showroom and other floor for office space,250.0,Rent,https://sharif.com.bd/dhaka/10245/office-space-for-rent-gulshan,4400,Office Space for Rent gulshan,Shop,,1.0,Yes,,,,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,3.0,Furnished apartment gulshan for rent and preferred Foreigner family,200000.0,Rent,https://sharif.com.bd/dhaka/10247/furnished-apartment-for-rent-gulshan,3000,Furnished Apartment For Rent Gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,"Furnished apartment rent gulshan for foreign family only, it's very silent area of Gulshan-2",200000.0,Rent,https://sharif.com.bd/dhaka/10248/furnished-apartment-for-rent-gulshan,3000,Furnished apartment For Rent Gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,Furnished apartment gulshan for rent and preferred Foreigner family,200000.0,Rent,https://sharif.com.bd/dhaka/10246/furnished-apartment-for-rent-gulshan,3000,Furnished Apartment For Rent Gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
,0.0,0.0,Commercial Building rent Tejgaon for office,100.0,Rent,https://sharif.com.bd/dhaka/10232/office-space-for-rent-tejgaon,6000,Office Space for Rent Tejgaon,Office,,2.0,Yes,,,,No,Commercial,Dhaka,Tejgaon
"Gulshan Dhaka,Bangladesh",0.0,0.0,It is a big size commercial space and single floor is 14000 sqf for foreign office only,180.0,Rent,https://sharif.com.bd/dhaka/10235/khondoker-tower-gulshan,14000,Khondoker Tower Gulshan,Office,,5.0,Yes,,,,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,3.0,"Furnished apartment rent gulshan for foreign, the apartment will fully furnished by property management company",140000.0,Rent,https://sharif.com.bd/dhaka/10236/furnished-apartment-for-rent-gulshan,2200,Furnished Apartment For Rent Gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
,0.0,0.0,Commercial Building rent Tejgaon for office,100.0,Rent,https://sharif.com.bd/dhaka/10231/office-space-for-rent-tejgaon,8500,Office Space for Rent Tejgaon,Office,,2.0,Yes,,,,No,Commercial,Dhaka,Tejgaon
Gulshan Dhaka,0.0,0.0,Furnished Office rent gulshan for foreign office only,100.0,Rent,https://sharif.com.bd/dhaka/10237/furnished-office-rent-gulshan,5800,Furnished Office rent gulshan,Office,,2.0,Yes,,,,Yes,Commercial,Dhaka,
Banani Dhaka,0.0,0.0,Commercial Building Banani for rent,120.0,Rent,https://sharif.com.bd/dhaka/10230/office-space-for-rent-banani,6000,Office Space for Rent Banani,Office,,2.0,Yes,,,,No,Commercial,Dhaka,
"Gulshan Dhaka,Bangladesh",0.0,0.0,High facility commercial property rent in five star hotel at Gulshan-2,250.0,Rent,https://sharif.com.bd/dhaka/10234/real-estate-broker-dhaka,6000,real estate broker dhaka,Office,,2.0,Yes,,,Yes,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,0.0,Office space for rent in Dhaka for MNC5,150.0,Rent,https://sharif.com.bd/dhaka/10238/office-space-for-rent-in-dhaka,7000,Office space for rent in Dhaka,Office,,4.0,Yes,,,,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,3.0,"Non furnished apartment rent gulshan for foreign family only and its nearly pink city and very nice place of Gulshan-2
If you are looking for a non-furnished apartment in Gulshan 2, you have come to the right place. We will provide you with the best non-furnished apartments in Gulshan 2. Gulshan 2 is a busy hub separated by a wide roundabout between Banani and Baridhara in two directions. There are plenty of restaurants, stores, companies, and the surrounding Gulshan 1 and Banani areas are reminiscent. Gulshan 2 is a lovely and well-built site on the northern side. But the most impressive thing here is that there are several embassies. This provided the need for a highly protected location and for you to reside in a fantastic area.

This non-furnished apartment in Gulshan 2 costs 100000 BDT per month. We can include a variety of services to ensure your happiness. We hope that this apartment meets all of your requirements. The apartment is 2200 square feet and comes unfurnished. The non-furnished apartments seem to be very lavish. This apartment has a Gas Link, Cable Connection, 1 Car Parking Space, Generator power supply facilities, Electricity Access, Internet Connection, Lift, and 3-bed quarters. These amenities are included in this non-furnished apartment.",100000.0,Rent,https://sharif.com.bd/dhaka/10241/non-furnished-apartment-rent-gulshan,2200,Non furnished apartment rent gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,"Furnished apartment for rent Gulshan it's luxury apartment and first floor apartment for foreigner family only
If you are looking for a furnished apartment in Gulshan, you have come to the right place. We will provide you with many fascinating and appealing amenities to make your stay in Gulshan furnished apartments quite enjoyable. Gulshan furnished apartments have everything you need for a comfortable lifestyle. We will provide you with the best-furnished apartment in Gulshan that you will enjoy. A furnished apartment means those that have every amenity accessible. Everybody prefers a furnished apartment because it meets all of their requirements. We can have many amenities for your living in furnished apartments. The furnished apartment has intriguing and appealing features that will blow your mind. You will have all of the functionality you like in one spot, making your life easier.

Gulshan is, without a doubt, one of Dhaka's busiest business areas. The area is well-known for being an excellent location for the headquarters of various companies and fabulous eateries, and, of course, DCC Market. But there's more to it than that. Gulshan has an excellent residential component, both in the heart of the development and the gated Niketan Housing district. Many that are fortunate enough to remain here have nothing to worry about since they have connections to a wide range of facilities and an abundance of transit alternatives to all areas of the world.


This furnished apartment in Gulshan costs 100000 BDT per month. We can include a variety of services to ensure your happiness. We hope that this apartment meets all of your requirements. The apartment is 1900 square feet and comes furnished. The furnished apartments seem to be very lavish. This apartment has a Gas Link, Cable Connection, 1 Car Parking Space, Generator power supply facilities, Electricity Access, Internet Connection, Lift, and 3-bed quarters. These amenities are included in this furnished apartment. The most beautiful part is this apartment suited on the first floor. So, it's straightforward for you to communicate.",100000.0,Rent,https://sharif.com.bd/dhaka/10240/furnished-apartment-for-rent-gulshan,1900,Furnished Apartment for Rent Gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,"Luxurious furnished apartments for rent gulshan for foreign family only
If you are looking for a furnished apartment in Gulshan, you have come to the right place. We will provide you with many fascinating and appealing amenities to make your stay in Gulshan furnished apartments quite enjoyable. Gulshan furnished apartments have everything you need for a comfortable lifestyle. We will provide you with the best-furnished apartment in Gulshan that you will enjoy. A furnished apartment means those that have every amenity accessible. Everybody prefers a furnished apartment because it meets all of their requirements. We can have many amenities for your living in furnished apartments. The furnished apartment has intriguing and appealing features that will blow your mind. You will have all of the functionality you like in one spot, making your life easier.

Gulshan is, without a doubt, one of Dhaka's busiest business areas. The area is well-known for being an excellent location for the headquarters of various companies and fabulous eateries, and, of course, DCC Market. But there's more to it than that. Gulshan has an excellent residential component, both in the heart of the development and the gated Niketan Housing district. Many that are fortunate enough to remain here have nothing to worry about since they have connections to a wide range of facilities and an abundance of transit alternatives to all areas of the world.


This furnished apartment in Gulshan costs 150000 BDT per month. We can include a variety of services to ensure your happiness. We hope that this apartment meets all of your requirements. The apartment is 2200 square feet and comes furnished. The furnished apartments seem to be very lavish. This apartment has a Gas Link, Cable Connection, 1 Car Parking Space, Generator power supply facilities, Electricity Access, Internet Connection, Lift, and 3-bed quarters. These amenities are included in this furnished apartment.",150000.0,Rent,https://sharif.com.bd/dhaka/10239/furnished-apartment-rent-gulshan,2200,Furnished apartment rent gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Baridhara Diplomatic Zone,0.0,4.0,"Non furnished apartment rent Baridhara for foreign family only and its nearly Embassy with very security area
If you are looking for a non-furnished apartment in Baridhara, you have come to the right place. We will provide you with the best non-furnished apartments in Baridhara. In Dhaka, Baridhara is a high-end residential zone. It is situating across Lake Gulshan-Baridhara in the northeast and the east from Gulshan. It has separate areas reserved for ambassadors, and there are several international embassies and high committees—US-Bangla Airlines headquarters located in the Baridhara Diplomatic Zone.  American International School still resides in Baridhara. So, we can say that Baridhara is one of the best places to live. This provided the need for a highly protected location and for you to reside in a fantastic area. 

This non-furnished apartment in Baridhara has several main features. So, if you rent a non-furnished apartment in Baridhara, you would be able to fulfill all of your needs. It is a large space for you and your family to live in with all of the amenities that make you happy. A non-furnished apartment in Baridhara costs 300000 BDT per month. We can include a variety of services to ensure your happiness. We hope that this apartment meets all of your requirements. The apartment is 4300 square feet and comes unfurnished. The non-furnished apartments seem to be very lavish. This apartment has a Gas Link, Cable Connection, 1 Car Parking Space, Electricity Access, Internet Connection, Lift, and 4-bed quarters. These amenities are included in this non-furnished apartment.",300000.0,Rent,https://sharif.com.bd/dhaka/10242/non-furnished-apartment-for-rent-baridhara,4300,Non furnished apartment for rent Baridhara,Apartment,,1.0,,,,,Yes,Residential,Dhaka,
Banani Dhaka,0.0,0.0,Commercial Building rent Banani,120.0,Rent,https://sharif.com.bd/dhaka/10229/office-space-for-rent-banani,6000,Office Space for Rent Banani,Office,,2.0,Yes,,,,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,3.0,Furnished apartment rent gulshan,110000.0,Rent,https://sharif.com.bd/dhaka/10228/furnished-apartment-for-rent-gulshan,2000,Furnished apartment for rent gulshan,Apartment,,1.0,,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,Fully furnished apartment rent gulshan for foreign family,100000.0,Rent,https://sharif.com.bd/dhaka/10227/furnished-apartment-for-rent-gulshan,2000,Furnished apartment for rent gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Banani Dhaka,0.0,3.0,"Furnished apartment for rent Banana for foreign family
Furnished apartment for rent at Banani North , South view , 2850 sft, 10th floor, 3 bed, 4 bath 4 Balcony, Drawing , Dining, space, family Living , Two lift , Car parking , Generator back up.
Prime Location :",140000.0,Rent,https://sharif.com.bd/dhaka/10220/apartment-for-rent-banani,2500,apartment for rent banani,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Banani Dhaka,0.0,3.0,Laxary apartment specially for the foreigner family.,140000.0,Rent,https://sharif.com.bd/dhaka/10223/apartment-rent-banani,2600,apartment  rent banani,Apartment,,1.0,Yes,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,4.0,Luxury apartment for rent gulshan it's very prime place of Gulshan-2 near Gulshan-2 Club,320000.0,Rent,https://sharif.com.bd/dhaka/10222/non-furnished-apartment-rent-gulshan,4200,Non furnished apartment rent gulshan,Apartment,,2.0,Yes,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,Non furnished apartment rent gulshan for foreign family only,100000.0,Rent,https://sharif.com.bd/dhaka/10226/non-furnished-apartment-rent-gulshan,2400,Non furnished apartment rent gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Banani Dhaka,0.0,3.0,Laxary apartment specially for the foreigner family.,140000.0,Rent,https://sharif.com.bd/dhaka/10224/apartment-rent-banani,2600,apartment  rent banani,Apartment,,1.0,Yes,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,"Furnish apartment rent in 
G



Furnish apartment rent in 
Gulshan.",100000.0,Rent,https://sharif.com.bd/dhaka/10225/apartment-rent-gulshan,2000,Apartment  Rent Gulshan,Apartment,,1.0,Yes,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,Luxury apartment for rent gulshan and it's for foreign family only,200000.0,Rent,https://sharif.com.bd/dhaka/10217/luxury-apartment-for-rent-gulshan,3000,Luxury apartment for rent gulshan,Apartment,,1.0,Yes,,,,No,Residential,Dhaka,
Banani Dhaka,0.0,3.0,"Furnished apartment for rent at Banani North , South view , 2800 sft, 3rd floor, 3 bed, 4 bath Balcony, Drawing , Dining, space, family Living , Two lift , Car parking , GYM, play garden , comenity pay space Generator back up.
Prime Location",150000.0,Rent,https://sharif.com.bd/dhaka/10219/furnished-office-for-rent-banani,2800,Furnished Office For Rent Banani,Office,,1.0,Yes,,,,Yes,Commercial,Dhaka,
,0.0,0.0,Factory rent Tongi Gazipur,20.0,Rent,https://sharif.com.bd/dhaka/10218/factory-rent-tongi-gazipur,36000,Factory rent Tongi Gazipur,Factory,,5.0,,,,,No,Commercial,Dhaka,
Ashulia,0.0,0.0,Here you will find advanced communication and beautiful arranged facilities.,22.0,Rent,https://sharif.com.bd/dhaka/10207/industrial-shed-in-ashulia,25000,Industrial Shed IN Ashulia,Factory,,5.0,,,,,No,Commercial,Dhaka,
Banani Dhaka,0.0,3.0,Fully furnished apartment rent Banani near road 11,180000.0,Rent,https://sharif.com.bd/dhaka/10209/furnished-apartment-for-rent-banani,1800,Furnished Apartment For Rent Banani,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Ashulia,0.0,0.0,Warehouse rent Ashulia for foreign company. Its very protective and communicative area. You can chose your business hear.,25.0,Rent,https://sharif.com.bd/dhaka/10206/warehouse-rent-ashulia,30000,Warehouse Rent  Ashulia,Warehouse,,5.0,,,,,No,Commercial,Dhaka,
Baridhara Diplomatic Zone,0.0,3.0,Furnished apartment rent Baridhara,300000.0,Rent,https://sharif.com.bd/dhaka/10210/furnished-apartment-for-rent-baridhara,3000,Furnished Apartment For Rent Baridhara,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
,0.0,0.0,Commercial Building rent Tejgaon,120.0,Rent,https://sharif.com.bd/dhaka/10208/office-rent-tejgaon,10800,Office Rent Tejgaon,Office,,2.0,,,,,No,Commercial,Dhaka,Tejgaon
Gulshan Dhaka,0.0,0.0,"It is brand new property in Gulshan for office space only and this is a modern commercial building
Building Name-Aakash Tower
1	Location of the Project	Gulshan Avenue , Dhaka
2	Address	Tower of Aakash. 54, Gulshan South Commercial Avenue  Dhaka 1212
3.Building condition -Brand New
4.Main Usage -Commercial Office only
5.Building Made By -Aakash Developer (As a developer) 
6.Number of Lift-3 exclusive lift per lift-14 person 
7.Number of Stair	-2 Stair 
8.Generator Support-Full backup Generator 
9.Lessor	-Mr. Abir Owner
10.Typical Floor-4600 SFT per floor of the building
11	Tenant Acceptance for 100 % of floor  size	Full floor -4600 sqf
12	Monthly Rental per Sft	120 BDT Per Month
13.Car Parking slots-1 Parking for per floor
14.Lease Term-5 years 
15-Advance (adjustable)-12 Month
16.Lock in Period-3 Years &The Lessee will agree to not serve any notice to terminate the agreement during the lock in period.
17.Rent Free Period-The Lessor will allow the Lessee 1 Month of Rent Free Period to complete interior decoration and other required activities by the Lessee.
18-Rent Escalation-After expiry of every 36 months (3 years) of the lease agreement, the rent will escalate by 15%
19-Service Charge-For the purpose of using common facility the Lessee will pay Taka 12/sft to the Lessor or directly to Building Management Authority.
20-Security Deposit-Security Deposit The Lessee will pay 6 months rental to Lessor as Security, Deposit which will be adjusted at the end of the lease agreement (without interest).
21.Value Added Tax (VAT)- All the applicable Value Added Tax (VAT) will be on account of the Lessee. Lessor will not take any responsibility.
22Advance Income Tax (AIT)-At the time of making any / all payments to Lessor by the Lessee, the Lessee will deduct Advance Income Tax (AIT) Source.
23.Notice Period-6 (Six) months lead time in way of certified notice after expiry of the lock in period
24.Lease Commencement Date-From the day of signing the lease which will include the rent free period mentioned above
25.Renewal of Lease-The Lessee shall give written notice to Lessor of his/her
intention to renew the Lease at least three months Before expiry of the lease period. Should the Lessee and Lessor agree upon extending the lease under new and mutually agreed upon terms and conditions, the like will be communicated in writing within Thirty (30) days of receiving the said notice from the Lessee",120.0,Rent,https://sharif.com.bd/dhaka/10212/office-rent-gulshan,4600,Office Rent Gulshan,Office,,1.0,Yes,,,,No,Commercial,Dhaka,
Banani Dhaka,0.0,0.0,Independent House Banani for office space and it's only for foreign company,1500000.0,Rent,https://sharif.com.bd/dhaka/10211/independent-house-rent-banani,17000,Independent House Rent Banani,Duplex,,5.0,Yes,,,,No,Residential,Dhaka,
"Ashulia,Bangladesh",0.0,0.0,Industrial Warehouse for rent at Ashulia.,25.0,Rent,https://sharif.com.bd/dhaka/10205/30000--sft--warehouse-rent-ashulia,30000(Sft),30000-(Sft)-Warehouse rent Ashulia,Warehouse,,5.0,,,,,No,Commercial,Dhaka,
Banani Dhaka,0.0,0.0,Furnished Office rent Banani Dhaka,150.0,Rent,https://sharif.com.bd/dhaka/10214/furnished-office-for-rent-banani,5900,Furnished Office For Rent Banani,Office,,1.0,Yes,,,,Yes,Commercial,Dhaka,
Ashulia,0.0,0.0,Warehouse rent Ashulia for small factory for material stock,25.0,Rent,https://sharif.com.bd/dhaka/10204/warehouse-rent-ashulia,20000,Warehouse Rent Ashulia,Warehouse,,3.0,,,,,No,Commercial,Dhaka,
Banani Dhaka,0.0,0.0,Commercial Building rent Banani for office only,100.0,Rent,https://sharif.com.bd/dhaka/10216/office-space-for-rent-banani,7000,Office Space for Rent Banani,Office,,2.0,Yes,,,,No,Commercial,Dhaka,
,0.0,0.0,Commercial Building rent Tejgaon for office space only and its very large size single floor,70.0,Rent,https://sharif.com.bd/dhaka/10215/office-space-for-rent-tejgaon,40000,Office Space for Rent Tejgaon,Office,,5.0,Yes,,,,No,Commercial,Dhaka,Tejgaon
Banani Dhaka,0.0,0.0,The building is near the road side. The space of building is very comfortable for you .You can decorate it easily.,120.0,Rent,https://sharif.com.bd/dhaka/10201/office-space-rent-at-banani,12000,Office Space Rent at Banani,Office,,3.0,Yes,,,,No,Commercial,Dhaka,
,0.0,0.0,Fully commercial well-renowned building according to Rajuk. Prime location. Ideal place for Bank/financial or any multinational chain/company.,1350000.0,Rent,https://sharif.com.bd/dhaka/10202/5200-sqft-commercial-space-at-dhanmondi,5200 gross,5200 sqft commercial space at Dhanmondi,Office,,2.0,Yes,,,,No,Commercial,Dhaka,Dhanmondi
Baridhara Diplomatic Zone,0.0,3.0,"Apartment Rent Baridhara that you can visit for your family  only but it is offer for foreign family 
the apartment has 3 bed and better dining with drawing and nice kitchen.
Every man expect a beautiful house. Because, It's gives us peace of eyes and mind. We know it's like your mind. It is located on the side of road. Here you will find all kinds of benefits. It will give you comfort and keep you happy.",150000.0,Rent,https://sharif.com.bd/dhaka/10203/furnished-apartment-rent-baridhara,2500,Furnished Apartment Rent Baridhara,Apartment,,1.0,Yes,,,,No,Residential,Dhaka,
Baridhara Diplomatic Zone,0.0,4.0,Luxury Apartment rent Baridhara,2500000.0,Rent,https://sharif.com.bd/dhaka/10193/luxury-apartment-rent-baridhara,4100,Luxury Apartment Rent Baridhara,Apartment,,2.0,,,,,No,Residential,Dhaka,
Baridhara Diplomatic Zone,0.0,3.0,Apartment rent Baridhara for foreigner family,250000.0,Rent,https://sharif.com.bd/dhaka/10195/apartment-rent-baridhara,3000,Apartment Rent Baridhara,Apartment,,1.0,Yes,,,,No,Residential,Dhaka,
Baridhara Diplomatic Zone,0.0,4.0,"Furnished Apartment rent Baridhara for foreigner family only 
it has 4 bed drawing and dining and family living ,all wall cabinet by wood
»The location is a safe area of Diplomat zone.
»The property type is only for residential
»property size and number of bedrooms are available right side of property image. 
»The out views of the apartment is very nice.
»Here is a king-size bed and queen size bed.
»You will get have luxurious or antique furniture.
»You can Holiday makers don’t want to get in your car too much.
»Better amenities are great for families and kids with short distance.
»Local sporting attractions (tennis courts, gyms), art festivals, museums, galleries, historical sites are very nearly presented.
»Suitable for elderly, children or wheelchair users available
»Closed to school and hospitals and super shops with common market.
»Seasonal attractions? Indoor heated pool? Nearby Christmas market?
»Skiing holiday – exactly how far is it to the gondolas/lifts. Info about when slopes are open.
»Unique features and amenities of furniture. 
»Any current specials you may be offering
»Security and smart home features
»Parking details by image 
»Special services -for visiting time question 
»Neighborhood features is available in the listing.",300000.0,Rent,https://sharif.com.bd/dhaka/10192/furnished-apartment-rent-baridhara,4200,Furnished Apartment Rent Baridhara,Apartment,,2.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,6.0,Independent house rent Gulshan for foreigner and foreign office only,550000.0,Rent,https://sharif.com.bd/dhaka/10196/house-rent-gulshan,6500,House Rent Gulshan,Duplex,,4.0,,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,0.0,Independent house rent Gulshan for office and foreigner preferred,500000.0,Rent,https://sharif.com.bd/dhaka/10194/house-rent-gulshan-dhaka,7000,House Rent Gulshan Dhaka,Duplex,,4.0,,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,0.0,"Apartment office rent Gulshan-2 
for foreign company only and very secured & silent place in Gulshan",160000.0,Rent,https://sharif.com.bd/dhaka/10198/apartment-office-rent-gulshan,3000,Apartment Office Rent Gulshan,Office,,1.0,Yes,,,,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,3.0,"Apartment  rent Gulshan-2 for residential purpose it is a luxury apartment
for foreign family only and very secured & silent place in Gulshan",250000.0,Rent,https://sharif.com.bd/dhaka/10199/apartment-rent-gulshan,3700,Apartment Rent Gulshan,Apartment,,2.0,Yes,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,0.0,"Independent house rent for foreign office only 
you may contact if you are foreign company",600000.0,Rent,https://sharif.com.bd/dhaka/10197/independent-house-rent-gulshan,6500,Independent House Rent Gulshan,Duplex,,4.0,,,,,No,Residential,Dhaka,
Banani Dhaka,0.0,0.0,Apartment office for rent   in Banani . Its a beautiful place near the road side. we expect that it fulfill your wish and help you to achieve your success.,150000.0,Rent,https://sharif.com.bd/dhaka/10200/apartment-office-rent-banani,2800,Apartment office Rent Banani,Office,,1.0,Yes,,,,No,Commercial,Dhaka,
Banani Dhaka,0.0,2.0,Very good ventilated,50000.0,Rent,https://sharif.com.bd/dhaka/10191/apartment-rent-banani-dohs,1400,Apartment Rent Banani DOHS,Apartment,,1.0,Yes,,,,No,Residential,Dhaka,
Banani Dhaka,0.0,3.0,"Furnished apartment rent Banani
for foreigner family only",85000.0,Rent,https://sharif.com.bd/dhaka/10190/apartment-rent-banani,2000,Apartment Rent Banani,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,"The furnished apartment is Gulshan-2 very secured area of Gulshan ,it is 10th floor apartment 3 bed drawing and dining and family living for foreigner family only",140000.0,Rent,https://sharif.com.bd/dhaka/10187/apartment-rent-gulshan-2,2100,Apartment Rent Gulshan-2,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,0.0,"The apartment is very prime place of Gulshan-2 for office rent
Near Embassy and diplomatic area",260000.0,Rent,https://sharif.com.bd/dhaka/10188/office-rent-gulshan,4100,Office rent Gulshan,Office,,2.0,Yes,,,,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,0.0,Ground floor Showroom rent Gulshan,360.0,Rent,https://sharif.com.bd/dhaka/10181/sharowroom-rent-gulshan,2000,Sharowroom Rent Gulshan,Shop,,,,,,,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,0.0,"Furnished office rent Gulshan Avenue for foreign company
it is a luxury office building in Gulshan
100% comply building 3 lift and 2 stair with nice looking",200.0,Rent,https://sharif.com.bd/dhaka/10189/office-rent-gulshan,7000,Office Rent Gulshan,Office,,5.0,Yes,,,,Yes,Commercial,Dhaka,
Banani Dhaka,5.0,4.0,"Furnished apartment rent Banani for foreigner it is 4 bed apartment and very nice out view and indoor furniture
extra facilities is Gym and swimming pool.",200000.0,Rent,https://sharif.com.bd/dhaka/10186/apartment-rent-banani,3600,Apartment Rent Banani,Apartment,Yes,2.0,Yes,,Yes,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,0.0,"Furnished office rent Gulshan avenue
for foreign company",120.0,Rent,https://sharif.com.bd/dhaka/10182/office-rent-gulshan-dhaka,5000,Office Rent Gulshan Dhaka,Office,,2.0,Yes,,,,Yes,Commercial,Dhaka,
Gulshan Dhaka,0.0,4.0,"Luxury furnished apartment rent Gulshan-2
it is 4 bed drawing and dining and wooden work wall very shining floor 
modern fittings
»The location is a safe area of Diplomat zone.
»The property type is only for residential
»property size and number of bedrooms are available right side of property image. 
»The out views of the apartment is very nice.
»Here is a king-size bed and queen size bed.
»You will get have luxurious or antique furniture.
»You can Holiday makers don’t want to get in your car too much.
»Better amenities are great for families and kids with short distance.
»Local sporting attractions (tennis courts, gyms), art festivals, museums, galleries, historical sites are very nearly presented.
»Suitable for elderly, children or wheelchair users available
»Closed to school and hospitals and super shops with common market.
»Seasonal attractions? Indoor heated pool? Nearby Christmas market?
»Skiing holiday – exactly how far is it to the gondolas/lifts. Info about when slopes are open.
»Unique features and amenities of furniture. 
»Any current specials you may be offering
»Security and smart home features
»Parking details by image 
»Special services -for visiting time question 
»Neighborhood features is available in the listing.",250000.0,Rent,https://sharif.com.bd/dhaka/10183/luxury-furnished-apartment-rent-gulshan,3000,Luxury Furnished Apartment Rent Gulshan,Apartment,,2.0,Yes,,,,Yes,Residential,Dhaka,
Banani Dhaka,0.0,6.0,Independent house rent Banani,800000.0,Rent,https://sharif.com.bd/dhaka/10184/banani-property-for-rent,5500,Banani Property For Rent,Duplex,,3.0,,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,"Furnished Apartment rent Gulshan
3 bed drawing and dining and servant",80000.0,Rent,https://sharif.com.bd/dhaka/10180/furnished-apartment-rent-gulshan,2000,Furnished Apartment Rent Gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
"Gulshan Dhaka,Bangladesh",0.0,0.0,"Commercial space for rent Gulshan
Main Usage commercial office 
Building Condition – Brand New 
Building Made By – Owner
Land Owner – The space is Land Owner portion
Rental offering floor – 5th floors & size-14000 approx including common space lift & stair.
Carpeting Area for work station-10,000 approximate .
Number of Lift-2 exclusive lift per lift-21 person  
Number of Stair -2  
Fire sensor and instrument available of each floor.
Parking for per floor-7
Per sqf- Rent-120 BDT
Service Charge –15 BDT
Advance-12 Month 
Agreement Period-5 years 
Increasing Rent 15% after every 2 years  
Floor agreement by stamp papers and follows by Bangladesh Government laws.",180.0,Rent,https://sharif.com.bd/dhaka/10185/gulshan-property-for-rent,14000,Gulshan Property For Rent,Office,,7.0,Yes,,,,No,Commercial,Dhaka,
Gulshan Dhaka,0.0,8.0,"Independent house for rent only office and foreign company 
it is two storied building",500000.0,Rent,https://sharif.com.bd/dhaka/10178/house-rent-gulshan,7500,House Rent Gulshan,Duplex,,8.0,,,,,No,Residential,Dhaka,
Gulshan Dhaka,0.0,3.0,"Furnished Apartment rent Gulshan Dhaka ,It has 3 bed drawing and dining",80000.0,Rent,https://sharif.com.bd/dhaka/10177/furnished-apartment-dhaka,1900,Furnished Apartment Dhaka,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,4.0,"The furnished apartment rent at Gulshan-2 Lake park view area 
it has 4 bed drawing dinning drawing family living 
the apartment is 7th floor of the building",250000.0,Rent,https://sharif.com.bd/dhaka/10174/furnished-apartment-rent-gulshan,4000,Furnished Apartment Rent Gulshan,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
Gulshan Dhaka,0.0,0.0,"It is 2000 sqf size office space Gulshan Avenue 
Semi furnished office for better company",120.0,Rent,https://sharif.com.bd/dhaka/10175/office-space-rent-gulshan-dhaka,2000,Office Space Rent Gulshan Dhaka,Office,,1.0,Yes,,,,Yes,Commercial,Dhaka,
Gulshan Dhaka,0.0,4.0,"It is semi furnished apartment at Gulshan-2 for foreigner only
and it has four bed and drawing and dining with open space 
nice garden entrench ,family program place at ground floor",300000.0,Rent,https://sharif.com.bd/dhaka/10176/apartment-rent-in-gulshan-dhaka,3700,Apartment Rent in Gulshan Dhaka,Apartment,,1.0,Yes,,,,Yes,Residential,Dhaka,
