amenities,area,balconies,baths,bedroom,location,price,property_type,property_url,purpose
,3600 sqft,No balcony,,,"Banasree , Dhaka",468000,Showroom/Shop/Restaurant,https://www.bdhousing.com/details/245564/3600-sqft-showroom-shop-restaurant-for-rent-at-banasree,Rent
"Security,Lift,Fire exit,Self Water supply,Cylinder Gas,Generator,Inter com,CCTV,Electronic security,Fire Protection",880 sqft,No balcony,,,"Uttara , Dhaka",30000,Showroom/Shop/Restaurant,https://www.bdhousing.com/details/242728/880-sqft-showroom-shop-restaurant-for-rent-at-uttara,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Fire Protection",1553 sqft,2,03,03,"Mirpur 13 , Dhaka",30000,Apartment/Flats,https://www.bdhousing.com/details/245539/1553-sqft-3-beds-apartment-flats-for-rent-at-mirpur-15,Rent
"Security,Lift,WASA connection,Self Water supply,Electricity,Generator,CCTV,Security Alarm System,Fire Protection",4600 sqft,No balcony,,,"Badda , Dhaka",414000,Office Space,https://www.bdhousing.com/details/241170/9000-sqft-office-space-for-rent-at-badda,Rent
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Electronic security,Pool,Solar panels",1200 sqft,3,03,03,"Shyamoli , Dhaka",2500,Apartment/Flats,https://www.bdhousing.com/details/244754/1200-sqft-3-beds-apartment-flats-rent-shyamoli,Rent
"Security,Lift,Fire exit,WASA connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Solar panels",1450 sqft,3,03,03,"Rayerbazar , Dhaka",2 Mont,Apartment/Flats,https://www.bdhousing.com/details/244726/1450-sqft-3-beds-apartment-flats-for-rent-at-rayerbazar,Rent
"Security,Lift,Fire exit,WASA connection,Self Water supply,Cylinder Gas,Electricity,CCTV,Garden",1200 sqft,3,02,03,"Dakshin khan , Dhaka",13000,Apartment/Flats,https://www.bdhousing.com/details/245807/1200-sqft-3-beds-apartment-flats-rent-dakshin-khan,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Garden,Solar panels,Fire Protection",1340 sqft,4,03,03,"Mirpur 12 , Dhaka",25000,Apartment/Flats,https://www.bdhousing.com/details/244724/assure-wisteria-1340-square-feet,Rent
"Mosque/Prayer Room,Security,WASA connection,Cylinder Gas,Electricity,CCTV",1130 sqft,3,03,03,"Rampura , Dhaka",18000,Apartment/Flats,https://www.bdhousing.com/details/243801/1130-sqft-3-beds-apartment-flats-rent-rampura,Rent
"Security,Lift,WASA connection,Gas Connection,Electricity,Generator,Inter com,CCTV,Satellite or cable TV",900 sqft,2,02,02,"Mohammadpur , Dhaka",16000,Apartment/Flats,https://www.bdhousing.com/details/245492/900-sqft-2-beds-apartment-flats-for-rent-at-mohammadpur,Rent
