amenities,area,balconies,baths,bedroom,location,price,property_type,property_url,purpose
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2200 sqft,3,04,04,"Uttara , Dhaka",60000,Apartment/Flats,https://www.bdhousing.com/details/243829/2170-sqft-4-beds-apartment-flats-for-rent-at-uttara,Rent
"Security,Lift,Electricity,Generator,Servent Room",2000 sqft,2,03,03,"Khulshi , Chittagong",32000,Apartment/Flats,https://www.bdhousing.com/details/245688/sunny-apartment-2000-sqft-3-beds-rent-khulshi,Rent
"Security,Lift,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Inter com,CCTV,Electronic security,Servent Room,Servent Toilet",1600 sqft,1,03,03,"Dhanmondi , Dhaka",37000,Apartment/Flats,https://www.bdhousing.com/details/245681/1600-sqft-3-beds-apartment-flats-rent-dhanmondi,Rent
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Electronic security,Solar panels,Guest Parking,Servent Toilet,Fire Protection",1200 sqft,3,02,03,"Motijheel , Dhaka",18000,Apartment/Flats,https://www.bdhousing.com/details/243764/apartment-flats-rent-prestigious-gopibagh-area,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2310 sqft,4,06,06,"Mohammadpur , Dhaka",1.02 Cr.,Apartment/Flats,https://www.bdhousing.com/details/244931/2310-sqft-6-beds-under-construction-apartment-flats-for-sale-at-mohammadpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1200 sqft,2,03,03,"Pirerbag , Dhaka",63.20 Lac,Apartment/Flats,https://www.bdhousing.com/details/245511/3-beds-ready-apartment-flats-sale-pirerbag,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Satellite or cable TV,Servent Toilet",1400 sqft,4,03,03,"Rampura , Dhaka",30000,Apartment/Flats,https://www.bdhousing.com/details/244624/1400-sqft-3-beds-apartment-flats-rent-rampura,Rent
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Satellite or cable TV,Garden",1600 sqft,3,03,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245321/1600-sqft-3-beds-apartment-flats-sale-bashundhara,Sale
"Security,Lift,WASA connection,Gas Connection,Electricity,Generator,Telephone line,Inter com,Garden,Servent Toilet",1550 sqft,3,03,03,"Bashundhara R/A , Dhaka",1.10 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245436/1550-sqft-3-beds-used-apartment-flats-for-sale-at-bashundhara-r-a,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",3200 sqft,4,03,04,"Dhanmondi , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/243663/3200-sqft-4-beds-ready-apartment-flats-for-sale-at-dhanmondi,Sale
,1350 sqft,2,02,04,"Kolatoli , Coxs Bazar",,Apartment/Flats,https://www.bdhousing.com/details/245013/1350-sqft-4-beds-ready-apartment-flats-sale-kolatoli,Rent
"Mosque/Prayer Room,Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Satellite or cable TV",1200 sqft,3,03,03,"Mirpur 1 , Dhaka",15000,Apartment/Flats,https://www.bdhousing.com/details/243550/1200-sqft-3-beds-apartment-flats-for-rent-at-mirpur-1,Rent
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Servent Room,Servent Toilet,Fire Protection",2250 sqft,4,04,03,"Banani , Dhaka",43000,Apartment/Flats,https://www.bdhousing.com/details/245317/2250-sqft-3-beds-apartment-flats-rent-banani,Rent
"Mosque/Prayer Room,Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,CCTV,Fire Protection",1150 sqft,2,02,03,"Khulshi , Chittagong",,Apartment/Flats,https://www.bdhousing.com/details/244185/1150-sqft-3-beds-under-construction-apartment-flats-for-sale-at-khulshi,Sale
,2000 sqft,No balcony,,,"Agrabad , Chittagong",40000,Industrial Space,https://www.bdhousing.com/details/245488/space-floors-for-rent,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Fire Protection",700 sqft,No balcony,,,"Shyamoli , Dhaka",70000,Showroom/Shop/Restaurant,https://www.bdhousing.com/details/243981/700-sqft-showroom-shop-restaurant-rent-shyamoli,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",700 sqft,2,02,02,"Monipur , Dhaka",40.50 Lac,Apartment/Flats,https://www.bdhousing.com/details/245764/2-beds-apartment-flats-sale-monipur,Sale
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Inter com",1495 sqft,3,03,03,"Mohammadpur , Dhaka",30000,Apartment/Flats,https://www.bdhousing.com/details/245571/1495-sqft-3-beds-flats-rent-near-lalmatia-city-hospital,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2130 sqft,3,03,03,"Uttara , Dhaka",2.76 Cr.,Apartment/Flats,https://www.bdhousing.com/details/244314/2130-sqft-3-beds-ready-apartment-flats-for-sale-at-uttara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1750 sqft,3,04,04,"Mohammadpur , Dhaka",76.25 Lac,Apartment/Flats,https://www.bdhousing.com/details/244468/4-beds-apartment-flats-sale-mohammadpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1771 sqft,1,03,03,"Lalmatia , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/233108/1771-sqft-3-beds-under-construction-flats-for-sale-at-lalmatia,Sale
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,Satellite or cable TV,Garden",1175 sqft,3,03,03,"Aftab Nagar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/242223/1320-sqft-3-beds-under-construction-flats-for-sale-at-aftab-nagar,Sale
,230 sqft,No balcony,,,"Nasirbad , Chittagong",38000,Showroom/Shop/Restaurant,https://www.bdhousing.com/details/244270/showroom-shop-restaurant%20rent-nasirbad,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1450 sqft,3,03,03,"Dakshin khan , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245781/3-beds-almost-ready-apartment-flats-sale-dakshin-khan,Sale
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV",1610 sqft,3,04,03,"Uttara , Dhaka",1.21 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245545/1610-sqft-3-beds-ready-apartment-flats-for-sale-at-uttara,Sale
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Guest Parking",18 sqft,4,03,03,"Mohammadpur , Dhaka",18000,Apartment/Flats,https://www.bdhousing.com/details/244551/1650-sqft-3-beds-luxurious-apartment-flats-rent-mohammadpur,Rent
"Mosque/Prayer Room,Security,Lift,WASA connection,Self Water supply,Cylinder Gas,Electricity,Generator,Inter com",1100 sqft,2,02,03,"Mirpur 2 , Dhaka",16500,Apartment/Flats,https://www.bdhousing.com/details/245454/1100-sqft-3-beds-apartment-flats-rent-mirpur-2,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2062 sqft,1,03,03,"Lalmatia , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/232961/property-size-2054-2062-sqft,Sale
"Security,Lift,Fire exit,WASA connection,Gas Connection,Generator,Telephone line,CCTV,Electronic security,Garden,Guest Parking,Fire Protection",2200 sqft,No balcony,,,"Uttara , Dhaka",176000,Showroom/Shop/Restaurant,https://www.bdhousing.com/details/245495/2200-sqft-ready-showroom-shop-office-sale-uttara,Rent
"Security,Lift,Fire exit,WASA connection,Gas Connection,Electricity,Generator,Inter com,CCTV,Servent Room,Servent Toilet",2250 sqft,2,03,03,"Banani , Dhaka",75000,Apartment/Flats,https://www.bdhousing.com/details/244765/2250-sqft-3-beds-apartment-flats-rent-banani,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1250 sqft,2,03,03,"Pirerbag , Dhaka",17000,Apartment/Flats,https://www.bdhousing.com/details/244031/apartment-flat-rent-1250sft-south-pirerbag-mirpur-dhaka,Rent
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Generator,Telephone line,Inter com,Garden,Guest Parking,Servent Room,Servent Toilet",1787 sqft,4,04,04,"Dakshin khan , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245776/apartment-flats-sale-dakshin-khan,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1080 sqft,3,03,03,"Rupnagar , Dhaka",59.24 Lac,Apartment/Flats,https://www.bdhousing.com/details/245648/1080-sqft-3-beds-ready-apartment-sale-rupnagar,Sale
"Security,WASA connection,Gas Connection,Electricity,Garden,Guest Parking,Servent Toilet",1500 sqft,1,03,03,"Mirpur 1 , Dhaka",22000,Apartment/Flats,https://www.bdhousing.com/details/245537/1500-sqft-3-beds-apartment-flats-rent-mirpur-1,Rent
"Security,Lift,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Satellite or cable TV,Garden,Solar panels",1440 sqft,3,03,03,"Basila , Dhaka",15000,Apartment/Flats,https://www.bdhousing.com/details/244208/1440-sqft-3-beds-apartment-flats-for-rent-at-basila,Rent
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Inter com,CCTV",1230 sqft,2,03,03,"Mirpur 10 , Dhaka",16000,Apartment/Flats,https://www.bdhousing.com/details/244033/1230-sqft-3-beds-apartment-flats-for-rent-at-mirpur-10,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Electricity,Generator,Telephone line,Inter com,Fire Protection",3800 sqft,No balcony,,,"Motijheel , Dhaka",323000,Office Space,https://www.bdhousing.com/details/244421/3800-sqft-office-space-rent-motijheel,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Servent Toilet,Fire Protection",1600 sqft,2,04,03,"Dhanmondi , Dhaka",36000,Apartment/Flats,https://www.bdhousing.com/details/243381/1600-sqft-3-beds-apartment-flats-for-rent-at-dhanmondi,Rent
"Security,Lift,WASA connection,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels",1370 sqft,3,03,03,"Bashundhara R/A , Dhaka",23000,Apartment/Flats,https://www.bdhousing.com/details/244291/1370-sqft-3-beds-apartment-flats-for-rent-at-bashundhara-r-a,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Inter com,CCTV,Security Alarm System,Gymnasium,Garden,Fire Protection",1431 sqft,2,02,03,"Badda , Dhaka",30000,Apartment/Flats,https://www.bdhousing.com/details/237603/%E0%A6%AE%E0%A6%A7-%E0%A6%AF%E0%A6%AC-%E0%A6%A1-%E0%A6%A1-%E0%A6%AA-%E0%A6%B0%E0%A6%97%E0%A6%A4-%E0%A6%B8%E0%A6%B0%E0%A6%A3-%E0%A6%AE-%E0%A6%87%E0%A6%A8-%E0%A6%B0-%E0%A6%A1-%E0%A6%85%E0%A6%A4-%E0%A6%AF-%E0%A6%A7-%E0%A6%A8-%E0%A6%95-%E0%A6%AB-%E0%A6%AF-%E0%A6%AE-%E0%A6%B2-%E0%A6%AB-%E0%A6%B2-%E0%A6%AF-%E0%A6%9F-%E0%A6%AD-%E0%A7%9C-%E0%A6%B9%E0%A6%AC,Rent
"Security,WASA connection,Gas Connection,Electricity,Telephone line,Inter com,CCTV,Servent Room,Servent Toilet",1700 sqft,2,04,03,"Uttara , Dhaka",35000,Apartment/Flats,https://www.bdhousing.com/details/243610/rental-adjacent-to-south-br-school,Rent
"Security,Lift,Self Water supply,Cylinder Gas,Electricity,Generator,Fire Protection",8500 sqft,No balcony,,,"sadar , Mymensingh",297500,Showroom/Shop/Restaurant,https://www.bdhousing.com/details/243240/8500-sqft-showroom-shop-restaurant-for-rent-at-sadar,Rent
,1500 sqft,2,03,03,"Uttara , Dhaka",22000,Apartment/Flats,https://www.bdhousing.com/details/244918/3-beds-apartment-flats-rent-uttara-5,Rent
"Lift,WASA connection,Self Water supply,Electricity,Generator,Inter com,CCTV,Servent Toilet",1390 sqft,2,04,03,"Green Road , Dhaka",30000,Apartment/Flats,https://www.bdhousing.com/details/242280/1390-sqft-3-beds-flats-for-rent-at-green-road,Rent
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1350 sqft,2,03,03,"Badda , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245192/1200-sqft-3-beds-ready-apartment-flats-sale-badda,Sale
,400 sqft,No balcony,01,02,"Uttar Khan , Dhaka",5000,Apartment/Flats,https://www.bdhousing.com/details/245143/400-sqft-2-beds-apartment-flats-rent-uttar-khan,Rent
"Mosque/Prayer Room,Security,Lift,WASA connection,Electricity,Generator,Telephone line,Inter com,CCTV,Satellite or cable TV,Solar panels,Fire Protection",1770 sqft,No balcony,,,"Mirpur 12 , Dhaka",120000,Showroom/Shop/Restaurant,https://www.bdhousing.com/details/245139/1770-sqft-office-showroom-shop-restaurant-school-college-atm-booth-for-rent-at-mirpur-12,Rent
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Garden,Servent Room,Servent Toilet",3400 sqft,6,06,06,"Bashundhara R/A , Dhaka",,Duplex Home,https://www.bdhousing.com/details/245278/3390-sqft-6-beds-duplex-home-sale-bashundhara,Sale
"Security,Lift,Fire exit,WASA connection,Gas Connection,Electricity,Generator,Telephone line,CCTV",1225 sqft,1,03,03,"Pahartali , Chittagong",49.00 Lac,Apartment/Flats,https://www.bdhousing.com/details/244809/1225-sqft-3-beds-almost-ready-apartment-flats-sale-pahartali,Sale
"Security,Lift,WASA connection,Gas Connection,Electricity,Generator,Inter com,Servent Room,Servent Toilet",1950 sqft,4,03,03,"Banani , Dhaka",45000,Apartment/Flats,https://www.bdhousing.com/details/243692/1950%20sqft%2C%20Banani%20-%20concot,Rent
"Security,Lift,Fire exit,WASA connection,Self Water supply,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Guest Parking,Servent Room,Servent Toilet",1150 sqft,2,02,03,"Agargaon , Dhaka",0,Apartment/Flats,https://www.bdhousing.com/details/244052/1150-sft-semi-furnished-apt-mirpur-60-feet,Sale
"Security,Lift,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Electronic security,Servent Room,Servent Toilet,Fire Protection",2200 sqft,3,04,03,"Gulshan 02 , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245784/2200-sqft-3-beds-ready-apartment-flats-sale-gulshan-02,Sale
,3 Katha,,,,"Bashundhara R/A , Dhaka",,Residential Plot,https://www.bdhousing.com/details/245336/3-katha-ready-residential-plot-sale-bashundhara,Sale
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Generator,Telephone line,Inter com,Satellite or cable TV,Electronic security,Garden,Servent Room,Servent Toilet",2100 sqft,4,04,03,"Aftab Nagar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245279/2100-sqft-3-beds-apartment-flats-sale-bashundhara,Sale
"Lift,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet",3400 sqft,6,06,06,"Bashundhara R/A , Dhaka",,Duplex Home,https://www.bdhousing.com/details/245322/3400-sqft-6-beds-sale-bashundhara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",6152 sqft,6,06,05,"Gulshan 02 , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/230620/6152-sqft-5-beds-under-construction-flat-for-sale-at-gulshan,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1890 sqft,3,03,03,"Uttara , Dhaka",1.71 Cr.,Apartment/Flats,https://www.bdhousing.com/details/243553/1890-sqft-3-beds-under-construction-apartment-flats-for-sale-at-uttara,Sale
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Generator,Telephone line,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Servent Toilet",1700 sqft,3,04,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245390/almost-ready-apartment-flats-sale-bashundhara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2935 sqft,5,04,04,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245309/4-beds-apartment-flats-sale-bashundhara,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Mohammadpur , Dhaka",20.00 Lac,Residential Plot,https://www.bdhousing.com/details/245780/3-katha-under-development-residential-plot-sale-mohammadpur,Sale
"Mosque/Prayer Room,Security,WASA connection,Self Water supply,Gas Connection,Electricity,CCTV,Wi-Fi connectivity",12000 sqft,6,06,06,"test , Chittagong",300000,Independent House,https://www.bdhousing.com/details/243929/12000-sqft-6-beds-independent-house-rent-test,Rent
"WASA connection,Gas Connection,Electricity",700 sqft,No balcony,01,03,"Mirpur 6 , Dhaka",12000,Independent House,https://www.bdhousing.com/details/244060/700-sqft-3-beds-independent-house-rent-mirpur-6,Rent
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Uttara , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244852/3-katha-ready-residential-plot-sale-uttara-15,Sale
"Security,WASA connection,Self Water supply,Electricity,CCTV",2200 sqft,No balcony,,,"Tikatuli , Dhaka",65000,Office Space,https://www.bdhousing.com/details/243773/2200-sqft-office-space-for-rent-at-tikatuli,Rent
"Mosque/Prayer Room,Security,Self Water supply,Cylinder Gas,Electricity,CCTV",3000 sqft,No balcony,,,"Narayangonj Sadar , Narayanganj",60000,Office Space,https://www.bdhousing.com/details/244655/3000-sqft-office-space-rent-narayangonj-sadar,Rent
"Security,WASA connection,Gas Connection,Electricity,Satellite or cable TV",1200 sqft,1,02,03,"Kamalapur , Dhaka",20000,Apartment/Flats,https://www.bdhousing.com/details/244525/1200-sqft-3bed-family-flat-july,Rent
"Lift,WASA connection,Cylinder Gas,Electricity,Generator,CCTV",1600 sqft,3,04,03,"Bashundhara R/A , Dhaka",40000,Apartment/Flats,https://www.bdhousing.com/details/244537/1600-sqft-3-beds-apartment-flats-rent-bashundhara,Rent
"Mosque/Prayer Room,Security,Lift,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Pool,Garden,Guest Parking",1500 sqft,1,02,02,"Baridhara , Dhaka",60000,Apartment/Flats,https://www.bdhousing.com/details/244626/1500-sqft-2-beds-apartment-flats-rent-baridhara,Rent
