price,currency,area[sqft],num_bed_rooms,building_nature,city
320000000.0,BDT,12000 ,5 ,Residential,Dhaka
157500000.0,BDT,6300 ,4 ,Residential,Dhaka
150000000.0,BDT,7604 ,6 ,Residential,Dhaka
120000000.0,BDT,6500 ,4 ,Residential,Dhaka
110000000.0,BDT,3600 ,8 ,Residential,Dhaka
77000000.0,BDT,3600 ,3 ,Residential,Dhaka
75000000.0,BDT,3612 ,4 ,Residential,Dhaka
75000000.0,BDT,3612 ,4 ,Residential,Dhaka
75000000.0,BDT,3612 ,4 ,Residential,Dhaka
75000000.0,BDT,3612 ,4 ,Residential,Dhaka
75000000.0,BDT,3612 ,4 ,Residential,Dhaka
75000000.0,BDT,3612 ,4 ,Residential,Dhaka
73500000.0,BDT,4100 ,5 ,Residential,Dhaka
72000000.0,BDT,4104 ,4 ,Residential,Dhaka
66000000.0,BDT,4735 ,3 ,Residential,Dhaka
65500000.0,BDT,3183 ,3 ,Residential,Dhaka
65000000.0,BDT,3500 ,3 ,Residential,Dhaka
65000000.0,BDT,3250 ,4 ,Residential,Dhaka
65000000.0,BDT,3462 ,4 ,Residential,Dhaka
65000000.0,BDT,3360 ,3 ,Residential,Dhaka
65000000.0,BDT,2405 ,3 ,Residential,Dhaka
65000000.0,BDT,2405 ,3 ,Residential,Dhaka
65000000.0,BDT,2405 ,3 ,Residential,Dhaka
65000000.0,BDT,2405 ,3 ,Residential,Dhaka
65000000.0,BDT,2405 ,3 ,Residential,Dhaka
65000000.0,BDT,3500 ,4 ,Residential,Dhaka
65000000.0,BDT,3450 ,4 ,Residential,Dhaka
64500000.0,BDT,3183 ,3 ,Residential,Dhaka
61600000.0,BDT,5148 ,6 ,Residential,Dhaka
61000000.0,BDT,3120 ,4 ,Residential,Dhaka
60000000.0,BDT,3150 ,4 ,Residential,Dhaka
60000000.0,BDT,2650 ,4 ,Residential,Dhaka
60000000.0,BDT,3300 ,4 ,Residential,Dhaka
60000000.0,BDT,3363 ,4 ,Residential,Dhaka
60000000.0,BDT,3165 ,3 ,Residential,Dhaka
59000000.0,BDT,6800 ,5 ,Residential,Dhaka
55000000.0,BDT,3040 ,3 ,Residential,Dhaka
54000000.0,BDT,2788 ,3 ,Residential,Dhaka
54000000.0,BDT,2788 ,3 ,Residential,Dhaka
54000000.0,BDT,3000 ,4 ,Residential,Dhaka
52000000.0,BDT,3470 ,4 ,Residential,Dhaka
51000000.0,BDT,2881 ,3 ,Residential,Dhaka
50000000.0,BDT,2750 ,4 ,Residential,Dhaka
50000000.0,BDT,2400 ,4 ,Residential,Dhaka
50000000.0,BDT,2400 ,4 ,Residential,Dhaka
50000000.0,BDT,2400 ,4 ,Residential,Dhaka
50000000.0,BDT,2602 ,3 ,Residential,Dhaka
50000000.0,BDT,2500 ,4 ,Residential,Dhaka
50000000.0,BDT,2300 ,4 ,Residential,Dhaka
50000000.0,BDT,3500 ,4 ,Residential,Dhaka
50000000.0,BDT,2750 ,4 ,Residential,Dhaka
50000000.0,BDT,2900 ,4 ,Residential,Dhaka
50000000.0,BDT,3109 ,4 ,Residential,Dhaka
50000000.0,BDT,3000 ,4 ,Residential,Dhaka
50000000.0,BDT,3000 ,4 ,Residential,Dhaka
50000000.0,BDT,3200 ,4 ,Residential,Dhaka
48000000.0,BDT,2720 ,4 ,Residential,Dhaka
48000000.0,BDT,2800 ,4 ,Residential,Dhaka
47000000.0,BDT,3044 ,3 ,Residential,Dhaka
46500000.0,BDT,4200 ,4 ,Residential,Dhaka
46500000.0,BDT,4200 ,4 ,Residential,Dhaka
46500000.0,BDT,4200 ,4 ,Residential,Dhaka
46500000.0,BDT,4200 ,4 ,Residential,Dhaka
46000000.0,BDT,2930 ,3 ,Residential,Dhaka
46000000.0,BDT,2930 ,3 ,Residential,Dhaka
46000000.0,BDT,2850 ,3 ,Residential,Dhaka
46000000.0,BDT,2080 ,3 ,Residential,Dhaka
46000000.0,BDT,2930 ,3 ,Residential,Dhaka
45000000.0,BDT,2700 ,3 ,Residential,Dhaka
45000000.0,BDT,3000 ,4 ,Residential,Dhaka
45000000.0,BDT,3060 ,3 ,Residential,Dhaka
45000000.0,BDT,3060 ,3 ,Residential,Dhaka
45000000.0,BDT,3060 ,3 ,Residential,Dhaka
45000000.0,BDT,3500 ,4 ,Residential,Dhaka
45000000.0,BDT,2645 ,4 ,Residential,Dhaka
45000000.0,BDT,2092 ,3 ,Residential,Dhaka
45000000.0,BDT,2469 ,3 ,Residential,Dhaka
45000000.0,BDT,2700 ,3 ,Residential,Dhaka
45000000.0,BDT,2600 ,4 ,Residential,Dhaka
45000000.0,BDT,2500 ,4 ,Residential,Dhaka
45000000.0,BDT,2810 ,3 ,Residential,Dhaka
45000000.0,BDT,2600 ,4 ,Residential,Dhaka
45000000.0,BDT,1850 ,3 ,Residential,Dhaka
45000000.0,BDT,2778 ,3 ,Residential,Dhaka
45000000.0,BDT,2230 ,3 ,Residential,Dhaka
45000000.0,BDT,2700 ,4 ,Residential,Dhaka
45000000.0,BDT,2428 ,4 ,Residential,Dhaka
45000000.0,BDT,3300 ,4 ,Residential,Dhaka
45000000.0,BDT,2600 ,4 ,Residential,Dhaka
45000000.0,BDT,3229 ,4 ,Residential,Dhaka
45000000.0,BDT,2500 ,4 ,Residential,Dhaka
45000000.0,BDT,2600 ,3 ,Residential,Dhaka
45000000.0,BDT,2600 ,3 ,Residential,Dhaka
45000000.0,BDT,2835 ,3 ,Residential,Dhaka
45000000.0,BDT,2430 ,4 ,Residential,Dhaka
45000000.0,BDT,2650 ,4 ,Residential,Dhaka
45000000.0,BDT,2650 ,4 ,Residential,Dhaka
45000000.0,BDT,2387 ,3 ,Residential,Dhaka
44100000.0,BDT,2450 ,4 ,Residential,Dhaka
43000000.0,BDT,2405 ,3 ,Residential,Dhaka
43000000.0,BDT,3150 ,4 ,Residential,Dhaka
42775999.99999999,BDT,2636 ,3 ,Residential,Dhaka
42088000.0,BDT,2593 ,3 ,Residential,Dhaka
41000000.0,BDT,2982 ,4 ,Residential,Dhaka
40599999.99999999,BDT,2474 ,3 ,Residential,Dhaka
40500000.0,BDT,2835 ,3 ,Residential,Dhaka
40000000.0,BDT,2700 ,3 ,Residential,Dhaka
40000000.0,BDT,2500 ,4 ,Residential,Dhaka
40000000.0,BDT,2675 ,3 ,Residential,Dhaka
40000000.0,BDT,2200 ,3 ,Residential,Dhaka
40000000.0,BDT,2602 ,4 ,Residential,Dhaka
40000000.0,BDT,2400 ,3 ,Residential,Dhaka
40000000.0,BDT,2550 ,4 ,Residential,Dhaka
40000000.0,BDT,1800 ,3 ,Residential,Dhaka
40000000.0,BDT,1800 ,3 ,Residential,Dhaka
40000000.0,BDT,2400 ,3 ,Residential,Dhaka
40000000.0,BDT,2550 ,4 ,Residential,Dhaka
40000000.0,BDT,2150 ,3 ,Residential,Dhaka
40000000.0,BDT,2200 ,3 ,Residential,Dhaka
39600000.0,BDT,2200 ,3 ,Residential,Dhaka
39600000.0,BDT,2200 ,3 ,Residential,Dhaka
39000000.0,BDT,3021 ,3 ,Residential,Dhaka
38000000.0,BDT,2211 ,3 ,Residential,Dhaka
38000000.0,BDT,2300 ,4 ,Residential,Dhaka
38000000.0,BDT,2675 ,3 ,Residential,Dhaka
38000000.0,BDT,3229 ,4 ,Residential,Dhaka
38000000.0,BDT,4350 ,6 ,Residential,Dhaka
38000000.0,BDT,2765 ,3 ,Residential,Dhaka
37500000.0,BDT,2642 ,3 ,Residential,Dhaka
37500000.0,BDT,2642 ,3 ,Residential,Dhaka
37060000.0,BDT,2180 ,3 ,Residential,Dhaka
37060000.0,BDT,2180 ,3 ,Residential,Dhaka
37060000.0,BDT,2180 ,3 ,Residential,Dhaka
37000000.0,BDT,3308 ,5 ,Residential,Dhaka
37000000.0,BDT,2150 ,3 ,Residential,Dhaka
37000000.0,BDT,2250 ,3 ,Residential,Dhaka
37000000.0,BDT,2250 ,3 ,Residential,Dhaka
36500000.0,BDT,2355 ,3 ,Residential,Dhaka
36500000.0,BDT,2355 ,3 ,Residential,Dhaka
36000000.0,BDT,2665 ,3 ,Residential,Dhaka
36000000.0,BDT,1960 ,3 ,Residential,Dhaka
35500000.0,BDT,3163 ,3 ,Residential,Dhaka
35000000.0,BDT,2305 ,3 ,Residential,Dhaka
35000000.0,BDT,2642 ,3 ,Residential,Dhaka
35000000.0,BDT,2650 ,4 ,Residential,Dhaka
35000000.0,BDT,2250 ,3 ,Residential,Dhaka
35000000.0,BDT,2700 ,4 ,Residential,Dhaka
35000000.0,BDT,2200 ,3 ,Residential,Dhaka
35000000.0,BDT,2200 ,3 ,Residential,Dhaka
34000000.0,BDT,2310 ,4 ,Residential,Dhaka
34000000.0,BDT,2642 ,3 ,Residential,Dhaka
34000000.0,BDT,2308 ,4 ,Residential,Dhaka
34000000.0,BDT,2308 ,4 ,Residential,Dhaka
34000000.0,BDT,2308 ,4 ,Residential,Dhaka
34000000.0,BDT,2900 ,3 ,Residential,Dhaka
33000000.0,BDT,2160 ,3 ,Residential,Dhaka
33000000.0,BDT,3300 ,4 ,Residential,Dhaka
33000000.0,BDT,2850 ,4 ,Residential,Dhaka
33000000.0,BDT,2850 ,4 ,Residential,Dhaka
33000000.0,BDT,2850 ,3 ,Residential,Dhaka
33000000.0,BDT,2850 ,3 ,Residential,Dhaka
33000000.0,BDT,2850 ,4 ,Residential,Dhaka
33000000.0,BDT,2850 ,4 ,Residential,Dhaka
33000000.0,BDT,3150 ,4 ,Residential,Dhaka
32500000.0,BDT,3000 ,3 ,Residential,Dhaka
32000000.0,BDT,2144 ,4 ,Residential,Dhaka
32000000.0,BDT,2450 ,4 ,Residential,Dhaka
32000000.0,BDT,2466 ,3 ,Residential,Dhaka
32000000.0,BDT,2684 ,3 ,Residential,Dhaka
31500000.0,BDT,2850 ,4 ,Residential,Dhaka
31500000.0,BDT,2850 ,3 ,Residential,Dhaka
31500000.0,BDT,2850 ,3 ,Residential,Dhaka
31000000.0,BDT,4000 ,3 ,Residential,Dhaka
30000000.0,BDT,2200 ,3 ,Residential,Dhaka
30000000.0,BDT,2200 ,3 ,Residential,Dhaka
30000000.0,BDT,2200 ,3 ,Residential,Dhaka
30000000.0,BDT,2200 ,3 ,Residential,Dhaka
30000000.0,BDT,2200 ,3 ,Residential,Dhaka
30000000.0,BDT,1765 ,3 ,Residential,Dhaka
30000000.0,BDT,1650 ,3 ,Residential,Dhaka
30000000.0,BDT,2019 ,3 ,Residential,Dhaka
30000000.0,BDT,2302 ,4 ,Residential,Dhaka
30000000.0,BDT,2580 ,4 ,Residential,Dhaka
30000000.0,BDT,2000 ,3 ,Residential,Dhaka
30000000.0,BDT,2000 ,3 ,Residential,Dhaka
30000000.0,BDT,2000 ,3 ,Residential,Dhaka
30000000.0,BDT,2400 ,3 ,Residential,Dhaka
30000000.0,BDT,3000 ,5 ,Residential,Dhaka
30000000.0,BDT,3000 ,4 ,Residential,Dhaka
30000000.0,BDT,2300 ,3 ,Residential,Dhaka
29500000.0,BDT,2030 ,3 ,Residential,Dhaka
29000000.0,BDT,2300 ,3 ,Residential,Dhaka
29000000.0,BDT,2230 ,3 ,Residential,Dhaka
29000000.0,BDT,1935 ,3 ,Residential,Dhaka
29000000.0,BDT,1935 ,3 ,Residential,Dhaka
29000000.0,BDT,1935 ,3 ,Residential,Dhaka
29000000.0,BDT,3000 ,4 ,Residential,Dhaka
28500000.0,BDT,2100 ,3 ,Residential,Dhaka
28000000.0,BDT,3000 ,5 ,Residential,Dhaka
28000000.0,BDT,2180 ,4 ,Residential,Dhaka
28000000.0,BDT,3008 ,4 ,Residential,Dhaka
27500000.0,BDT,2181 ,3 ,Residential,Dhaka
27500000.0,BDT,2450 ,4 ,Residential,Dhaka
27300000.0,BDT,2464 ,3 ,Residential,Dhaka
27000000.0,BDT,1955 ,3 ,Residential,Dhaka
27000000.0,BDT,2104 ,3 ,Residential,Dhaka
27000000.0,BDT,2000 ,3 ,Residential,Dhaka
27000000.0,BDT,2470 ,4 ,Residential,Dhaka
27000000.0,BDT,2470 ,3 ,Residential,Dhaka
27000000.0,BDT,2840 ,3 ,Residential,Dhaka
27000000.0,BDT,2012 ,3 ,Residential,Dhaka
26500000.0,BDT,2200 ,3 ,Residential,Dhaka
26000000.0,BDT,2374 ,3 ,Residential,Dhaka
26000000.0,BDT,2374 ,3 ,Residential,Dhaka
26000000.0,BDT,2374 ,3 ,Residential,Dhaka
