air_conditioning-amenity,area,balcony-or-terrace-amenity,building_type,cctv-security-amenity,central-heating-amenity,elevators-in-building-amenity,emergency_stairs-amenity,fitness_center-amenity,floor,garage,lawn-or-garden-amenity,generator-amenity,government_gas-amenity,interior,land_size,num_balcony,num_bath_rooms,num_bed_rooms,parking-spaces-amenity,pets_allow-amenity,price,property_url,reception-amenity,security-amenity,servant_room-amenity,purpose,swimming-pool-amenity,tv_cable-amenity,unit,wifi-amenity,year_built,building_nature,city,address,property_description,property_overview
,1380.0,,Apartment,yes,,yes,yes,,5th,1.0,,yes,,Un-Furnished,3.5 Katha,4.0,3,3,yes,,9800000.0,https://iqibd.com/properties/306,yes,yes,,Sale,,yes,Single Unit,yes,2019.0,Residential,,Aftabnagar,,
,1470.0,,Apartment,,,yes,yes,,9th,1.0,,yes,,Un-Furnished,5 Katha,3.0,3,3,yes,,9500000.0,https://iqibd.com/properties/295,yes,yes,,Sale,,yes,9A & 9B,,2023.0,Residential,,Mirpur,,
,1500.0,,Apartment,yes,,yes,yes,,4th,1.0,,yes,yes,Un-Furnished,3 Katha,4.0,4,3,yes,,10500000.0,https://iqibd.com/properties/298,yes,yes,,Sale,,yes,4A,yes,2023.0,Residential,,Mohammadpur,,
yes,5100.0,yes,Apartment,yes,yes,yes,yes,yes,6th,4.0,yes,yes,yes,Un-Furnished,11.5 Katha,4.0,6,5,yes,yes,139150000.0,https://iqibd.com/properties/300,yes,yes,,Sale,yes,yes,C6,yes,2023.0,Residential,,Baridhara,,
,710.0,,Apartment,,,,yes,,5th,,,yes,yes,Un-Furnished,12 Katha,2.0,2,2,,,4500000.0,https://iqibd.com/properties/297,yes,yes,,Sale,,,,,2010.0,Residential,,Mohammadpur,,
,1400.0,,Apartment,yes,,yes,yes,,8th,1.0,,yes,,Un-Furnished,3 Katha,3.0,3,3,yes,,8500000.0,https://iqibd.com/properties/296,yes,yes,,Sale,,yes,8A,yes,2022.0,Residential,,Mohammadpur,,
,2080.0,,Apartment,,,yes,yes,,5th,1.0,,yes,,Un-Furnished,3.5 Katha,4.0,4,4,yes,,18000000.0,https://iqibd.com/properties/301,yes,yes,,Sale,,yes,,yes,2023.0,Residential,,Aftabnagar,,
,1900.0,,Apartment,,,yes,yes,,4th,1.0,,yes,yes,Un-Furnished,8 Katha,2.0,5,4,yes,,14000000.0,https://iqibd.com/properties/302,,yes,,Sale,,yes,"A4,B4",yes,2010.0,Residential, Dhaka,Malibagh,,
,1390.0,,Apartment,yes,,yes,yes,,4th,1.0,,yes,,Un-Furnished,16 Katha,2.0,3,3,yes,,9500000.0,https://iqibd.com/properties/299,yes,yes,,Sale,,yes,4C,yes,2023.0,Residential,,Mohammadpur,,
,1095.0,,Apartment,,,yes,yes,,3rd,1.0,,yes,,Un-Furnished,5.33 Katha,3.0,3,3,yes,,9000000.0,https://iqibd.com/properties/303,yes,yes,,Sale,,yes,A3,yes,2023.0,Residential,,Mogbazar,,
,1250.0,,Apartment,,,yes,yes,,1st,1.0,,yes,,Un-Furnished,4 Katha,2.0,3,3,yes,,10500000.0,https://iqibd.com/properties/304,yes,yes,,Sale,,,B1,,2024.0,Residential,,Mogbazar,,
,1847.0,,Apartment,yes,,yes,yes,,9th,1.0,,yes,,Un-Furnished,22 Katha,4.0,4,3,yes,,14500000.0,https://iqibd.com/properties/305,yes,yes,,Sale,,yes,G9,yes,2017.0,Residential,,Mogbazar,,
,1300.0,,Apartment,,,yes,yes,,6th,1.0,,yes,,Un-Furnished,4.36 Katha,3.0,3,3,yes,,11200000.0,https://iqibd.com/properties/283,yes,yes,,Sale,,yes,B6,yes,2018.0,Residential,,Banasree,,
,1275.0,,Apartment,yes,,yes,yes,,4th,1.0,,yes,,Un-Furnished,8.46 Katha,3.0,3,3,,,10600000.0,https://iqibd.com/properties/284,yes,yes,,Sale,,,4B,,2023.0,Residential,,Banasree,,
,1600.0,,Apartment,yes,,yes,yes,,9th,1.0,,yes,,Un-Furnished,8.46 Katha,4.0,3,3,,,13200000.0,https://iqibd.com/properties/285,yes,yes,,Sale,,,9A,,2023.0,Residential,,Banasree,,
,1395.0,,Apartment,,,,yes,,6th,1.0,,yes,,Un-Furnished,8.46 Katha,2.0,3,3,,,11600000.0,https://iqibd.com/properties/286,yes,yes,,Sale,,,6c,,2023.0,Residential,,Banasree,,
yes,4790.0,,Apartment,yes,yes,yes,yes,,6th,2.0,,yes,yes,Un-Furnished,14 Katha,3.0,4,4,yes,,73000000.0,https://iqibd.com/properties/287,yes,yes,,Sale,,yes,6A,yes,2009.0,Residential,,Gulshan,,
,1470.0,,Apartment,,,yes,yes,,6th,1.0,,yes,,Un-Furnished,5 Katha,3.0,3,3,,,10000000.0,https://iqibd.com/properties/288,yes,yes,,Sale,,,,,2023.0,Residential,,Mirpur,,
,720.0,,Apartment,,,yes,yes,,5th,,,yes,yes,Un-Furnished,12 Katha,2.0,2,2,,,4500000.0,https://iqibd.com/properties/289,yes,yes,,Sale,,,,,2010.0,Residential,,Mohammadpur,,
,2300.0,,Apartment,,,yes,yes,,3rd,1.0,,yes,,Un-Furnished,,,4,4,yes,,23000000.0,https://iqibd.com/properties/290,yes,yes,,Sale,,yes,,yes,2022.0,Residential,,Mohammadpur,,
,1972.0,,Apartment,yes,,yes,yes,,2nd,1.0,,yes,,Un-Furnished,11 Katha,3.0,3,3,yes,,9900000.0,https://iqibd.com/properties/291,yes,yes,,Sale,,yes,2C,yes,2023.0,Residential, Dhaka,Dhanmondi,,
,1290.0,,Apartment,yes,,yes,yes,,2nd,1.0,,yes,,Un-Furnished,"5,5 Katha",2.0,3,3,,,15500000.0,https://iqibd.com/properties/292,yes,yes,,Sale,,yes,2B,yes,2023.0,Residential, Dhaka,Dhanmondi,,
,975.0,,Apartment,,,yes,yes,,2nd,,,yes,,Un-Furnished,"5,75 Katha",2.0,2,2,yes,,9200000.0,https://iqibd.com/properties/293,yes,yes,,Sale,,yes,2C,yes,2020.0,Residential, Dhaka,Dhanmondi,,
,2110.0,,Apartment,,,yes,yes,,8th & 9th,1.0,,yes,,Un-Furnished,3.63 Katha,3.0,4,4,yes,,21000000.0,https://iqibd.com/properties/282,yes,yes,,Sale,,yes,Single,yes,2024.0,Residential,,Banasree,,
,1650.0,,Apartment,yes,,yes,yes,,9th,1.0,,yes,,Un-Furnished,5 Katha,2.0,3,3,yes,,11000000.0,https://iqibd.com/properties/294,yes,yes,,Sale,,,9A,yes,2023.0,Residential,,Mirpur,,
,1071.0,,Apartment,,,yes,,,4th,,,yes,,Un-Furnished,16 katha,,2,3,,,5500000.0,https://iqibd.com/properties/270,,yes,,Sale,,,,yes,2018.0,Residential,,Badda,,
,832.0,,Apartment,,,yes,yes,,5th,,,yes,,Un-Furnished,5.5 katha,2.0,2,2,,,3800000.0,https://iqibd.com/properties/272,yes,yes,,Sale,,yes,c5,yes,2018.0,Residential,,Badda,,
,1296.0,,Apartment,,,yes,yes,,7th,,,yes,,Un-Furnished,5.5 katha,2.0,3,3,,,6000000.0,https://iqibd.com/properties/273,,yes,,Sale,,yes,,yes,2018.0,Residential,,Badda,,
yes,1300.0,,Apartment,,,yes,yes,,6th & 7th,1.0,,yes,,Un-Furnished,,2.0,3,3,yes,,12500000.0,https://iqibd.com/properties/274,yes,yes,,Sale,,yes,,yes,2023.0,Residential, Dhaka,Khilgaon,,
,1550.0,,Apartment,yes,,yes,yes,,6th,1.0,,yes,,Un-Furnished,30 Sotangsho,2.0,3,3,yes,,8500000.0,https://iqibd.com/properties/275,yes,yes,,Sale,,,5C,yes,2016.0,Residential,,Uttara,,
,5400.0,,Commercial property,,,yes,yes,,"1st,2nd,3rd,4th,5th,6th,7th,8th",,,yes,,Un-Furnished,10 Katha,,0,0,,,86400000.0,https://iqibd.com/properties/276,,yes,,Sale,,,Single,yes,2025.0,Commercial,,Shagun Bagicha,,
,1830.0,yes,Apartment,,,yes,yes,,4th,1.0,,yes,yes,semi-Furnished,7.5 Katha,2.0,3,3,yes,,25000000.0,https://iqibd.com/properties/278,yes,,,Sale,,yes,4B,yes,2018.0,Residential,,Uttara,,
,1820.0,,Apartment,yes,,yes,yes,,6th,1.0,,yes,,Un-Furnished,4.76 Katha,3.0,3,3,yes,,23500000.0,https://iqibd.com/properties/277,yes,yes,,Sale,,yes,A6,yes,2023.0,Residential,,Mogbazar,,
,2201.0,,Apartment,,,,yes,,2nd & 5th,1.0,,yes,,Un-Furnished,36 Katha,3.0,4,4,yes,,13000000.0,https://iqibd.com/properties/279,yes,yes,,Sale,,yes,D-2 & E-5,yes,2022.0,Residential, Dhaka,Khilgaon,,
,1490.0,,Apartment,,,,yes,,"4th,6th,8th & 10th",1.0,,yes,,Un-Furnished,12 Katha,3.0,4,3,yes,,9600000.0,https://iqibd.com/properties/280,yes,yes,,Sale,,,"A-4,B-4,A-10,B-10,C-8,C-6",,2023.0,Residential,,Rampura,,
,1200.0,,Apartment,,,yes,yes,,7th,1.0,,yes,,Un-Furnished,5.5 Katha,2.0,2,3,yes,,7500000.0,https://iqibd.com/properties/281,yes,yes,,Sale,,,7B,yes,2018.0,Residential,,Mirpur,,
,1113.0,,Apartment,,,yes,,,7th,,,yes,,Un-Furnished,16 katha,,2,3,,,5600000.0,https://iqibd.com/properties/269,,yes,,Sale,,,,yes,2018.0,Residential,,Badda,,
,1405.0,,Apartment,,,yes,yes,,1st,1.0,,yes,yes,Un-Furnished,40 Katha,4.0,3,3,yes,,9000000.0,https://iqibd.com/properties/258,yes,yes,,Sale,,yes,J1,yes,2020.0,Residential,,Rampura,,
,1369.0,,Apartment,yes,,yes,yes,,7th,1.0,,yes,,Un-Furnished,,3.0,3,3,yes,,8700000.0,https://iqibd.com/properties/260,yes,yes,,Sale,,,C7,yes,2023.0,Residential,,Badda,,
,1600.0,,Apartment,,,yes,yes,,7th,1.0,,yes,,Un-Furnished,5 Katha,3.0,3,3,yes,,11500000.0,https://iqibd.com/properties/259,yes,yes,,Sale,,yes,,yes,2022.0,Residential,,Aftabnagar,,
,1387.0,,Apartment,yes,,yes,yes,,6th,1.0,,yes,,Un-Furnished,,3.0,3,3,yes,,8800000.0,https://iqibd.com/properties/261,yes,yes,,Sale,,yes,E6,yes,2023.0,Residential,,Badda,,
,1380.0,,Apartment,,,yes,yes,,"3rd,7th & 9th",1.0,,yes,,Un-Furnished,6 Katha,2.0,3,3,yes,,8500000.0,https://iqibd.com/properties/262,yes,yes,,Sale,,yes,"3A,3B,7A,7B,9A,9B",yes,2023.0,Residential,,Mirpur,,
